open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
18.0,18.0,9.56,9.65,11638,2019-01-09 01:00:00.000000,2019-01-09,SAMA,9.65,9.7,9.65,9.63,9.63,9.58,9.63,9.63,9.63,9.63,9.65,9.6,9.6
9.65,9.7,9.65,9.7,2936,2019-01-10 01:00:00.000000,2019-01-10,SAMA,9.65,9.65,9.63,9.63,9.58,9.63,9.63,9.63,9.63,9.65,9.6,9.6,9.64
9.65,9.65,9.58,9.65,1554,2019-01-11 01:00:00.000000,2019-01-11,SAMA,12.6,9.63,9.63,9.58,9.63,9.63,9.63,9.63,9.65,9.6,9.6,9.64,9.67
12.6,12.6,9.61,9.63,5792,2019-01-14 01:00:00.000000,2019-01-14,SAMA,9.58,9.63,9.58,9.63,9.63,9.63,9.63,9.65,9.6,9.6,9.64,9.67,9.67
9.58,9.63,9.58,9.63,3578,2019-01-15 01:00:00.000000,2019-01-15,SAMA,9.59,9.58,9.63,9.63,9.63,9.63,9.65,9.6,9.6,9.64,9.67,9.67,9.67
9.59,9.59,9.58,9.58,586,2019-01-16 01:00:00.000000,2019-01-16,SAMA,10.04,9.63,9.63,9.63,9.63,9.65,9.6,9.6,9.64,9.67,9.67,9.67,9.67
10.04,10.04,9.63,9.63,255,2019-01-17 01:00:00.000000,2019-01-17,SAMA,10.04,9.63,9.63,9.63,9.65,9.6,9.6,9.64,9.67,9.67,9.67,9.67,9.67
9.65,9.65,9.65,9.65,157,2019-01-23 01:00:00.000000,2019-01-23,SAMA,9.62,9.6,9.6,9.64,9.67,9.67,9.67,9.67,9.67,9.67,9.72,9.65,9.7
9.62,9.62,9.58,9.6,14221,2019-01-24 01:00:00.000000,2019-01-24,SAMA,9.6,9.6,9.64,9.67,9.67,9.67,9.67,9.67,9.67,9.72,9.65,9.7,9.72
9.6,9.6,9.6,9.6,7091,2019-01-25 01:00:00.000000,2019-01-25,SAMA,9.64,9.64,9.67,9.67,9.67,9.67,9.67,9.67,9.72,9.65,9.7,9.72,9.72
9.64,9.64,9.64,9.64,215001,2019-01-28 01:00:00.000000,2019-01-28,SAMA,9.65,9.67,9.67,9.67,9.67,9.67,9.67,9.72,9.65,9.7,9.72,9.72,9.75
9.65,9.67,9.63,9.67,912001,2019-01-29 01:00:00.000000,2019-01-29,SAMA,9.67,9.67,9.67,9.67,9.67,9.67,9.72,9.65,9.7,9.72,9.72,9.75,9.75
9.67,9.67,9.67,9.67,12613,2019-01-30 01:00:00.000000,2019-01-30,SAMA,9.67,9.67,9.67,9.67,9.67,9.72,9.65,9.7,9.72,9.72,9.75,9.75,9.75
9.67,9.67,9.67,9.67,1603,2019-01-31 01:00:00.000000,2019-01-31,SAMA,9.67,9.67,9.67,9.67,9.72,9.65,9.7,9.72,9.72,9.75,9.75,9.75,9.75
9.7,9.72,9.7,9.72,317205,2019-02-06 01:00:00.000000,2019-02-06,SAMA,9.65,9.65,9.7,9.72,9.72,9.75,9.75,9.75,9.75,9.7,9.71,9.71,9.78
9.65,9.65,9.65,9.65,103,2019-02-07 01:00:00.000000,2019-02-07,SAMA,10.05,9.7,9.72,9.72,9.75,9.75,9.75,9.75,9.7,9.71,9.71,9.78,9.78
10.05,10.05,9.7,9.7,3443,2019-02-08 01:00:00.000000,2019-02-08,SAMA,9.72,9.72,9.72,9.75,9.75,9.75,9.75,9.7,9.71,9.71,9.78,9.78,9.78
9.72,9.72,9.72,9.72,100004,2019-02-11 01:00:00.000000,2019-02-11,SAMA,9.75,9.72,9.75,9.75,9.75,9.75,9.7,9.71,9.71,9.78,9.78,9.78,9.78
9.75,9.8,9.72,9.72,3189,2019-02-12 01:00:00.000000,2019-02-12,SAMA,9.7,9.75,9.75,9.75,9.75,9.7,9.71,9.71,9.78,9.78,9.78,9.78,9.78
9.7,9.75,9.7,9.75,901,2019-02-13 01:00:00.000000,2019-02-13,SAMA,9.7,9.75,9.75,9.75,9.7,9.71,9.71,9.78,9.78,9.78,9.78,9.78,9.78
9.7,9.7,9.7,9.7,101,2019-02-19 01:00:00.000000,2019-02-19,SAMA,9.71,9.71,9.71,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78
9.71,9.71,9.71,9.71,125166,2019-02-20 01:00:00.000000,2019-02-20,SAMA,9.71,9.71,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78
9.78,9.78,9.78,9.78,122,2019-02-22 01:00:00.000000,2019-02-22,SAMA,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.72,9.72
9.72,9.72,9.72,9.72,194,2019-03-11 01:00:00.000000,2019-03-11,SAMA,9.72,9.72,9.72,9.77,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75
9.75,9.78,9.75,9.77,320100,2019-03-14 01:00:00.000000,2019-03-14,SAMA,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75
9.75,9.75,9.75,9.75,150000,2019-03-15 01:00:00.000000,2019-03-15,SAMA,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75
9.75,9.75,9.75,9.75,100,2019-03-18 01:00:00.000000,2019-03-18,SAMA,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75
9.75,9.75,9.75,9.75,25000,2019-03-21 01:00:00.000000,2019-03-21,SAMA,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75
9.8,9.82,9.8,9.82,101001,2019-04-09 01:00:00.000000,2019-04-09,SAMA,9.8,9.82,9.82,9.82,9.82,9.82,9.82,9.83,9.83,9.88,9.88,9.88,9.85
9.84,9.98,9.83,9.83,28486,2019-04-18 01:00:00.000000,2019-04-18,SAMA,9.84,9.83,9.88,9.88,9.88,9.85,9.85,9.84,9.84,9.84,9.84,9.84,9.82
9.88,9.88,9.88,9.88,320,2019-04-22 01:00:00.000000,2019-04-22,SAMA,9.88,9.88,9.88,9.85,9.85,9.84,9.84,9.84,9.84,9.84,9.82,9.86,9.86
9.88,9.88,9.84,9.85,150200,2019-04-25 01:00:00.000000,2019-04-25,SAMA,9.88,9.85,9.84,9.84,9.84,9.84,9.84,9.82,9.86,9.86,9.86,9.86,9.86
9.84,9.84,9.84,9.84,150000,2019-04-29 01:00:00.000000,2019-04-29,SAMA,9.84,9.84,9.84,9.84,9.84,9.82,9.86,9.86,9.86,9.86,9.86,9.86,9.94
9.83,9.83,9.82,9.82,2500,2019-05-06 01:00:00.000000,2019-05-06,SAMA,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.94,9.94,9.94,9.94,9.94,9.9
9.86,9.86,9.86,9.86,70000,2019-05-07 01:00:00.000000,2019-05-07,SAMA,9.86,9.86,9.86,9.86,9.86,9.86,9.94,9.94,9.94,9.94,9.94,9.9,9.9
9.86,9.94,9.86,9.94,586,2019-05-15 01:00:00.000000,2019-05-15,SAMA,9.86,9.94,9.94,9.94,9.94,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.88,9.94,9.88,9.94,100100,2019-05-21 01:00:00.000000,2019-05-21,SAMA,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.9,9.9,9.9,9.9,100000,2019-05-22 01:00:00.000000,2019-05-22,SAMA,9.89,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.89,9.9,9.89,9.9,15001,2019-05-23 01:00:00.000000,2019-05-23,SAMA,9.89,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.9,9.9,9.9,9.9,300,2019-05-31 01:00:00.000000,2019-05-31,SAMA,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.88,9.88,9.88,9.88,9.9
9.9,9.9,9.9,9.9,300,2019-06-05 01:00:00.000000,2019-06-05,SAMA,9.9,9.9,9.9,9.9,9.9,9.88,9.88,9.88,9.88,9.9,9.9,9.9,9.9
9.9,9.9,9.9,9.9,10000,2019-06-07 01:00:00.000000,2019-06-07,SAMA,9.9,9.9,9.9,9.88,9.88,9.88,9.88,9.9,9.9,9.9,9.9,9.9,9.9
9.88,9.88,9.88,9.88,3000,2019-06-12 01:00:00.000000,2019-06-12,SAMA,9.88,9.88,9.88,9.88,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.88,9.88,9.88,9.88,87003,2019-06-13 01:00:00.000000,2019-06-13,SAMA,9.88,9.88,9.88,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.89
9.9,9.9,9.88,9.9,1344,2019-06-18 01:00:00.000000,2019-06-18,SAMA,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.89,9.89,9.91,9.91
9.89,9.9,9.89,9.9,50700,2019-06-27 01:00:00.000000,2019-06-27,SAMA,9.89,9.9,9.89,9.89,9.91,9.91,9.91,9.91,9.99,9.91,9.91,9.91,9.91
9.89,9.9,9.89,9.9,139596,2019-06-28 01:00:00.000000,2019-06-28,SAMA,9.9,9.89,9.89,9.91,9.91,9.91,9.91,9.99,9.91,9.91,9.91,9.91,9.91
9.9,9.9,9.89,9.89,11060,2019-07-01 01:00:00.000000,2019-07-01,SAMA,9.89,9.89,9.91,9.91,9.91,9.91,9.99,9.91,9.91,9.91,9.91,9.91,9.89
9.89,9.89,9.89,9.89,499,2019-07-02 01:00:00.000000,2019-07-02,SAMA,9.89,9.91,9.91,9.91,9.91,9.99,9.91,9.91,9.91,9.91,9.91,9.89,9.89
9.89,9.91,9.89,9.91,173997,2019-07-03 01:00:00.000000,2019-07-03,SAMA,9.89,9.91,9.91,9.91,9.99,9.91,9.91,9.91,9.91,9.91,9.89,9.89,9.89
10.06,10.06,9.99,9.99,268,2019-07-09 01:00:00.000000,2019-07-09,SAMA,9.91,9.91,9.91,9.91,9.91,9.91,9.89,9.89,9.89,9.95,9.95,9.95,9.95
9.91,9.91,9.91,9.91,100,2019-07-10 01:00:00.000000,2019-07-10,SAMA,9.91,9.91,9.91,9.91,9.91,9.89,9.89,9.89,9.95,9.95,9.95,9.95,9.95
9.9,9.9,9.89,9.89,6160,2019-07-17 01:00:00.000000,2019-07-17,SAMA,9.9,9.89,9.89,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.97,9.97
9.95,9.95,9.95,9.95,3600,2019-07-22 01:00:00.000000,2019-07-22,SAMA,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.97,9.97,9.97,9.95,9.93
9.92,9.97,9.92,9.97,250107,2019-08-01 01:00:00.000000,2019-08-01,SAMA,9.92,9.97,9.97,9.95,9.93,9.92,9.93,9.93,9.95,9.95,9.95,9.95,9.95
9.92,9.97,9.9,9.95,205862,2019-08-06 01:00:00.000000,2019-08-06,SAMA,9.96,9.93,9.92,9.93,9.93,9.95,9.95,9.95,9.95,9.95,9.96,9.96,9.95
9.96,9.96,9.92,9.93,334354,2019-08-07 01:00:00.000000,2019-08-07,SAMA,9.92,9.92,9.93,9.93,9.95,9.95,9.95,9.95,9.95,9.96,9.96,9.95,9.95
9.92,9.92,9.92,9.92,100536,2019-08-08 01:00:00.000000,2019-08-08,SAMA,9.93,9.93,9.93,9.95,9.95,9.95,9.95,9.95,9.96,9.96,9.95,9.95,9.95
9.93,9.93,9.93,9.93,400,2019-08-09 01:00:00.000000,2019-08-09,SAMA,9.93,9.93,9.95,9.95,9.95,9.95,9.95,9.96,9.96,9.95,9.95,9.95,9.94
