open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.94,10.0,9.84,10.0,164300,2020-01-08 01:00:00.000000,2020-01-08,SAQN,9.9,9.94,9.88,9.88,-0.0,0.0,-0.01,-0.01
10.0,10.0,9.9,9.9,27400,2020-01-09 01:00:00.000000,2020-01-09,SAQN,9.9,9.94,9.94,9.9,-0.01,-0.01,-0.01,-0.01
9.9,9.9,9.9,9.9,3700,2020-01-10 01:00:00.000000,2020-01-10,SAQN,9.94,9.88,9.88,9.9,0.0,-0.0,-0.0,0.0
9.96,10.0,9.94,9.94,107997,2020-01-13 01:00:00.000000,2020-01-13,SAQN,9.94,9.94,9.9,9.91,-0.0,-0.0,-0.01,-0.01
9.94,9.94,9.94,9.94,1200,2020-01-15 01:00:00.000000,2020-01-15,SAQN,9.88,9.88,9.9,9.92,-0.01,-0.01,-0.0,-0.0
9.88,9.88,9.88,9.88,80258,2020-01-17 01:00:00.000000,2020-01-17,SAQN,9.94,9.9,9.91,9.92,0.01,0.0,0.0,0.0
9.94,9.94,9.94,9.94,100,2020-01-23 01:00:00.000000,2020-01-23,SAQN,9.88,9.9,9.92,9.94,-0.01,-0.0,-0.0,-0.0
9.88,9.88,9.88,9.88,13194,2020-01-27 01:00:00.000000,2020-01-27,SAQN,9.9,9.91,9.92,9.94,0.0,0.0,0.0,0.01
9.91,9.91,9.9,9.9,88590,2020-01-28 01:00:00.000000,2020-01-28,SAQN,9.9,9.92,9.94,9.97,-0.0,0.0,0.0,0.01
9.89,9.9,9.89,9.9,325800,2020-01-29 01:00:00.000000,2020-01-29,SAQN,9.91,9.92,9.94,9.98,0.0,0.0,0.01,0.01
9.9,9.92,9.9,9.91,120329,2020-02-03 01:00:00.000000,2020-02-03,SAQN,9.92,9.94,9.97,9.96,0.0,0.0,0.01,0.01
9.88,9.92,9.88,9.92,33198,2020-02-04 01:00:00.000000,2020-02-04,SAQN,9.92,9.94,9.98,9.94,0.0,0.01,0.01,0.01
9.91,9.93,9.91,9.92,254811,2020-02-05 01:00:00.000000,2020-02-05,SAQN,9.94,9.97,9.96,9.93,0.0,0.01,0.0,0.0
