open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.5,0.5,0.5,0.5,100,2020-03-23 01:00:00.000000,2020-03-23,SCVX.WS,0.5,0.48,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.69
0.5,0.5,0.48,0.48,400,2020-03-24 01:00:00.000000,2020-03-24,SCVX.WS,0.45,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.69,0.69
0.45,0.45,0.4,0.4,25000,2020-03-25 01:00:00.000000,2020-03-25,SCVX.WS,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.69,0.69,0.69
0.4,0.5,0.33,0.41,429000,2020-03-26 01:00:00.000000,2020-03-26,SCVX.WS,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.69,0.69,0.69,0.69
0.41,0.41,0.4,0.4,129100,2020-03-27 01:00:00.000000,2020-03-27,SCVX.WS,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.69,0.69,0.69,0.69,0.69
0.4,0.4,0.4,0.4,200,2020-04-02 01:00:00.000000,2020-04-02,SCVX.WS,0.4,0.4,0.4,0.41,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
0.41,0.41,0.41,0.41,25200,2020-04-07 01:00:00.000000,2020-04-07,SCVX.WS,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
0.7,0.7,0.41,0.69,768434,2020-04-08 01:00:00.000000,2020-04-08,SCVX.WS,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
0.52,0.65,0.52,0.65,300,2020-05-01 01:00:00.000000,2020-05-01,SCVX.WS,0.52,0.65,0.65,0.75,0.75,0.75,0.75,0.65,0.65,0.62,0.75,0.75,0.75
0.65,0.75,0.65,0.75,200,2020-05-06 01:00:00.000000,2020-05-06,SCVX.WS,0.65,0.75,0.75,0.75,0.65,0.65,0.62,0.75,0.75,0.75,0.75,0.67,0.75
