open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.75,0.75,0.75,0.75,100,2019-04-24 01:00:00.000000,2019-04-24,SHLL.WS,0.7,0.65,0.59,0.6,-0.07,-0.13,-0.21,-0.2
0.7,0.7,0.7,0.7,10000,2019-05-02 01:00:00.000000,2019-05-02,SHLL.WS,0.65,0.6,0.6,0.58,-0.07,-0.14,-0.14,-0.18
0.65,0.65,0.65,0.65,100,2019-07-10 01:00:00.000000,2019-07-10,SHLL.WS,0.65,0.59,0.6,0.58,0.0,-0.09,-0.08,-0.11
0.65,0.65,0.65,0.65,1016,2019-07-19 01:00:00.000000,2019-07-19,SHLL.WS,0.6,0.6,0.58,0.58,-0.08,-0.08,-0.11,-0.11
0.6,0.6,0.6,0.6,200,2019-07-26 01:00:00.000000,2019-07-26,SHLL.WS,0.59,0.6,0.58,0.64,-0.02,0.0,-0.03,0.07
0.59,0.59,0.59,0.59,25000,2019-07-31 01:00:00.000000,2019-07-31,SHLL.WS,0.6,0.58,0.58,0.64,0.02,-0.02,-0.02,0.08
0.6,0.6,0.6,0.6,800,2019-08-05 01:00:00.000000,2019-08-05,SHLL.WS,0.6,0.58,0.64,0.65,0.0,-0.03,0.07,0.08
0.6,0.6,0.59,0.6,191900,2019-08-13 01:00:00.000000,2019-08-13,SHLL.WS,0.58,0.58,0.64,0.64,-0.04,-0.03,0.06,0.07
0.58,0.58,0.58,0.58,501,2019-08-15 01:00:00.000000,2019-08-15,SHLL.WS,0.58,0.64,0.65,0.64,0.01,0.11,0.13,0.11
0.58,0.59,0.58,0.58,38600,2019-08-16 01:00:00.000000,2019-08-16,SHLL.WS,0.58,0.64,0.64,0.61,0.0,0.1,0.1,0.06
0.61,0.61,0.58,0.58,1198,2019-08-21 01:00:00.000000,2019-08-21,SHLL.WS,0.64,0.65,0.64,0.61,0.05,0.07,0.05,0.0
0.7,0.7,0.61,0.64,12700,2019-08-22 01:00:00.000000,2019-08-22,SHLL.WS,0.64,0.64,0.61,0.61,-0.09,-0.09,-0.12,-0.13
0.64,0.64,0.64,0.64,400,2019-08-23 01:00:00.000000,2019-08-23,SHLL.WS,0.65,0.64,0.61,0.63,0.02,0.01,-0.04,-0.0
0.68,0.68,0.64,0.65,1300,2019-08-27 01:00:00.000000,2019-08-27,SHLL.WS,0.64,0.61,0.61,0.6,-0.06,-0.1,-0.1,-0.12
0.64,0.64,0.64,0.64,1400,2019-08-28 01:00:00.000000,2019-08-28,SHLL.WS,0.64,0.61,0.63,0.55,0.0,-0.05,-0.01,-0.14
0.64,0.64,0.64,0.64,400,2019-08-29 01:00:00.000000,2019-08-29,SHLL.WS,0.61,0.61,0.6,0.51,-0.04,-0.05,-0.06,-0.2
0.6,0.61,0.6,0.61,3200,2019-09-04 01:00:00.000000,2019-09-04,SHLL.WS,0.61,0.63,0.55,0.47,0.02,0.06,-0.08,-0.21
0.62,0.62,0.61,0.61,1425,2019-09-10 01:00:00.000000,2019-09-10,SHLL.WS,0.61,0.6,0.51,0.55,-0.02,-0.03,-0.17,-0.11
0.61,0.61,0.61,0.61,375,2019-09-11 01:00:00.000000,2019-09-11,SHLL.WS,0.63,0.55,0.47,0.54,0.04,-0.1,-0.22,-0.11
0.63,0.63,0.63,0.63,100,2019-10-03 01:00:00.000000,2019-10-03,SHLL.WS,0.6,0.51,0.55,0.56,-0.05,-0.19,-0.13,-0.12
0.6,0.6,0.6,0.6,1000,2019-10-07 01:00:00.000000,2019-10-07,SHLL.WS,0.55,0.47,0.54,0.63,-0.08,-0.21,-0.1,0.04
0.55,0.55,0.55,0.55,500,2019-10-10 01:00:00.000000,2019-10-10,SHLL.WS,0.51,0.55,0.56,0.61,-0.07,0.0,0.01,0.11
0.51,0.51,0.51,0.51,100,2019-10-11 01:00:00.000000,2019-10-11,SHLL.WS,0.47,0.54,0.63,0.56,-0.08,0.05,0.22,0.09
0.55,0.6,0.45,0.47,140690,2019-10-16 01:00:00.000000,2019-10-16,SHLL.WS,0.55,0.56,0.61,0.54,0.0,0.01,0.11,-0.02
0.55,0.58,0.55,0.55,1899,2019-10-18 01:00:00.000000,2019-10-18,SHLL.WS,0.54,0.63,0.56,0.48,-0.02,0.14,0.02,-0.13
0.54,0.54,0.54,0.54,1000,2019-10-21 01:00:00.000000,2019-10-21,SHLL.WS,0.56,0.61,0.54,0.55,0.03,0.13,0.0,0.02
0.54,0.56,0.53,0.56,2100,2019-10-24 01:00:00.000000,2019-10-24,SHLL.WS,0.63,0.56,0.48,0.5,0.16,0.04,-0.11,-0.07
0.54,0.65,0.54,0.63,42535,2019-10-25 01:00:00.000000,2019-10-25,SHLL.WS,0.61,0.54,0.55,0.5,0.13,0.0,0.02,-0.07
0.65,0.65,0.61,0.61,900,2019-10-30 01:00:00.000000,2019-10-30,SHLL.WS,0.56,0.48,0.5,0.46,-0.14,-0.26,-0.23,-0.29
0.61,0.61,0.56,0.56,200,2019-10-31 01:00:00.000000,2019-10-31,SHLL.WS,0.54,0.55,0.5,0.53,-0.11,-0.1,-0.18,-0.13
0.5,0.54,0.47,0.54,830907,2019-11-05 01:00:00.000000,2019-11-05,SHLL.WS,0.48,0.5,0.46,0.51,-0.04,0.0,-0.08,0.02
0.5,0.51,0.48,0.48,95400,2019-11-06 01:00:00.000000,2019-11-06,SHLL.WS,0.55,0.5,0.53,0.49,0.1,0.0,0.06,-0.02
0.55,0.55,0.55,0.55,200,2019-11-12 01:00:00.000000,2019-11-12,SHLL.WS,0.5,0.46,0.51,0.55,-0.09,-0.16,-0.07,0.0
0.5,0.5,0.5,0.5,600,2019-11-13 01:00:00.000000,2019-11-13,SHLL.WS,0.5,0.53,0.49,0.51,0.0,0.06,-0.02,0.01
0.5,0.5,0.5,0.5,500,2019-12-05 01:00:00.000000,2019-12-05,SHLL.WS,0.46,0.51,0.55,0.45,-0.08,0.02,0.1,-0.1
0.47,0.49,0.45,0.46,292900,2019-12-12 01:00:00.000000,2019-12-12,SHLL.WS,0.53,0.49,0.51,0.47,0.13,0.04,0.08,-0.0
0.53,0.53,0.44,0.53,98865,2019-12-13 01:00:00.000000,2019-12-13,SHLL.WS,0.51,0.55,0.45,0.58,-0.03,0.04,-0.14,0.1
0.51,0.55,0.51,0.51,44300,2019-12-16 01:00:00.000000,2019-12-16,SHLL.WS,0.49,0.51,0.47,0.6,-0.04,-0.01,-0.08,0.18
0.49,0.49,0.49,0.49,800,2019-12-17 01:00:00.000000,2019-12-17,SHLL.WS,0.55,0.45,0.58,0.6,0.12,-0.08,0.18,0.22
0.55,0.55,0.55,0.55,2200,2019-12-19 01:00:00.000000,2019-12-19,SHLL.WS,0.51,0.47,0.6,0.65,-0.08,-0.15,0.09,0.18
0.53,0.53,0.51,0.51,3760,2019-12-23 01:00:00.000000,2019-12-23,SHLL.WS,0.45,0.58,0.6,0.65,-0.15,0.1,0.14,0.23
0.45,0.45,0.45,0.45,1818,2019-12-26 01:00:00.000000,2019-12-26,SHLL.WS,0.47,0.6,0.65,0.65,0.04,0.33,0.44,0.44
0.47,0.47,0.47,0.47,5000,2019-12-30 01:00:00.000000,2019-12-30,SHLL.WS,0.58,0.6,0.65,0.6,0.24,0.28,0.39,0.27
0.55,0.58,0.55,0.58,62042,2020-01-07 01:00:00.000000,2020-01-07,SHLL.WS,0.6,0.65,0.65,0.59,0.09,0.18,0.18,0.07
0.6,0.65,0.6,0.6,71584,2020-01-08 01:00:00.000000,2020-01-08,SHLL.WS,0.6,0.65,0.6,0.55,0.0,0.09,-0.0,-0.08
0.65,0.65,0.6,0.6,127200,2020-01-10 01:00:00.000000,2020-01-10,SHLL.WS,0.65,0.65,0.59,0.6,0.0,0.0,-0.09,-0.08
0.65,0.65,0.65,0.65,2500,2020-01-13 01:00:00.000000,2020-01-13,SHLL.WS,0.65,0.6,0.55,0.59,-0.0,-0.08,-0.15,-0.09
0.65,0.75,0.64,0.65,44764,2020-01-23 01:00:00.000000,2020-01-23,SHLL.WS,0.65,0.59,0.6,0.58,0.0,-0.09,-0.08,-0.11
0.65,0.65,0.65,0.65,601,2020-01-29 01:00:00.000000,2020-01-29,SHLL.WS,0.6,0.55,0.59,0.51,-0.08,-0.15,-0.09,-0.22
0.62,0.62,0.6,0.6,71200,2020-02-11 01:00:00.000000,2020-02-11,SHLL.WS,0.59,0.6,0.58,0.33,-0.05,-0.03,-0.06,-0.47
0.58,0.61,0.58,0.59,384600,2020-02-12 01:00:00.000000,2020-02-12,SHLL.WS,0.55,0.59,0.51,0.4,-0.05,0.02,-0.12,-0.31
0.57,0.57,0.55,0.55,24301,2020-02-13 01:00:00.000000,2020-02-13,SHLL.WS,0.6,0.58,0.33,0.35,0.06,0.02,-0.42,-0.38
0.6,0.6,0.6,0.6,900,2020-02-18 01:00:00.000000,2020-02-18,SHLL.WS,0.59,0.51,0.4,0.29,-0.02,-0.15,-0.33,-0.52
0.59,0.59,0.59,0.59,10000,2020-02-19 01:00:00.000000,2020-02-19,SHLL.WS,0.58,0.33,0.35,0.28,-0.02,-0.44,-0.41,-0.53
0.58,0.58,0.58,0.58,20000,2020-02-24 01:00:00.000000,2020-02-24,SHLL.WS,0.51,0.4,0.29,0.24,-0.12,-0.31,-0.5,-0.59
0.55,0.55,0.45,0.51,26200,2020-02-25 01:00:00.000000,2020-02-25,SHLL.WS,0.33,0.35,0.28,0.34,-0.4,-0.36,-0.49,-0.38
0.48,0.48,0.33,0.33,60941,2020-02-28 01:00:00.000000,2020-02-28,SHLL.WS,0.4,0.29,0.24,0.31,-0.17,-0.4,-0.5,-0.36
0.42,0.42,0.4,0.4,49300,2020-03-03 01:00:00.000000,2020-03-03,SHLL.WS,0.35,0.28,0.34,0.3,-0.17,-0.33,-0.18,-0.29
0.35,0.4,0.35,0.35,27176,2020-03-06 01:00:00.000000,2020-03-06,SHLL.WS,0.29,0.24,0.31,0.26,-0.17,-0.31,-0.12,-0.25
0.29,0.29,0.29,0.29,4100,2020-03-09 01:00:00.000000,2020-03-09,SHLL.WS,0.28,0.34,0.3,0.35,-0.03,0.18,0.03,0.22
0.28,0.28,0.25,0.28,62001,2020-03-11 01:00:00.000000,2020-03-11,SHLL.WS,0.24,0.31,0.26,0.32,-0.14,0.1,-0.06,0.14
0.28,0.28,0.24,0.24,5100,2020-03-12 01:00:00.000000,2020-03-12,SHLL.WS,0.34,0.3,0.35,0.28,0.23,0.07,0.26,-0.0
0.34,0.34,0.34,0.34,299,2020-03-23 01:00:00.000000,2020-03-23,SHLL.WS,0.31,0.26,0.32,0.21,-0.1,-0.23,-0.07,-0.39
0.34,0.34,0.3,0.31,7501,2020-03-24 01:00:00.000000,2020-03-24,SHLL.WS,0.3,0.35,0.28,0.21,-0.12,0.04,-0.18,-0.38
0.3,0.31,0.3,0.3,5420,2020-03-25 01:00:00.000000,2020-03-25,SHLL.WS,0.26,0.32,0.21,0.23,-0.12,0.06,-0.3,-0.23
0.25,0.27,0.25,0.26,197780,2020-03-26 01:00:00.000000,2020-03-26,SHLL.WS,0.35,0.28,0.21,0.26,0.41,0.12,-0.16,0.04
0.32,0.35,0.32,0.35,790,2020-03-27 01:00:00.000000,2020-03-27,SHLL.WS,0.32,0.21,0.23,0.28,-0.02,-0.35,-0.29,-0.14
0.32,0.32,0.32,0.32,5182,2020-03-30 01:00:00.000000,2020-03-30,SHLL.WS,0.28,0.21,0.26,0.3,-0.12,-0.34,-0.18,-0.06
0.28,0.28,0.28,0.28,3210,2020-03-31 01:00:00.000000,2020-03-31,SHLL.WS,0.21,0.23,0.28,0.28,-0.25,-0.18,0.0,-0.0
0.22,0.22,0.21,0.21,1490,2020-04-01 01:00:00.000000,2020-04-01,SHLL.WS,0.21,0.26,0.3,0.26,-0.05,0.18,0.36,0.18
0.21,0.21,0.21,0.21,300,2020-04-02 01:00:00.000000,2020-04-02,SHLL.WS,0.23,0.28,0.28,0.25,0.1,0.33,0.33,0.21
0.21,0.24,0.15,0.23,71200,2020-04-03 01:00:00.000000,2020-04-03,SHLL.WS,0.26,0.3,0.26,0.23,0.24,0.43,0.24,0.09
0.28,0.28,0.25,0.26,14000,2020-04-06 01:00:00.000000,2020-04-06,SHLL.WS,0.28,0.28,0.25,0.23,0.0,-0.0,-0.09,-0.18
0.25,0.28,0.25,0.28,28487,2020-04-07 01:00:00.000000,2020-04-07,SHLL.WS,0.3,0.26,0.23,0.23,0.2,0.04,-0.08,-0.08
0.3,0.3,0.3,0.3,32530,2020-04-08 01:00:00.000000,2020-04-08,SHLL.WS,0.28,0.25,0.23,0.25,-0.07,-0.15,-0.23,-0.17
0.28,0.28,0.28,0.28,100,2020-04-16 01:00:00.000000,2020-04-16,SHLL.WS,0.26,0.23,0.23,0.24,-0.07,-0.18,-0.18,-0.14
0.26,0.26,0.26,0.26,100,2020-04-23 01:00:00.000000,2020-04-23,SHLL.WS,0.25,0.23,0.25,0.24,-0.02,-0.11,-0.04,-0.08
0.17,0.31,0.16,0.25,130800,2020-05-05 01:00:00.000000,2020-05-05,SHLL.WS,0.23,0.23,0.24,0.25,0.34,0.34,0.4,0.46
0.16,0.23,0.16,0.23,902,2020-05-06 01:00:00.000000,2020-05-06,SHLL.WS,0.23,0.25,0.24,0.3,0.44,0.56,0.5,0.88
0.24,0.24,0.23,0.23,9000,2020-05-07 01:00:00.000000,2020-05-07,SHLL.WS,0.23,0.24,0.25,0.3,-0.03,0.01,0.05,0.26
0.24,0.24,0.23,0.23,25000,2020-05-08 01:00:00.000000,2020-05-08,SHLL.WS,0.25,0.24,0.3,0.29,0.04,0.0,0.25,0.21
0.25,0.25,0.25,0.25,1099,2020-05-11 01:00:00.000000,2020-05-11,SHLL.WS,0.24,0.25,0.3,0.3,-0.02,0.02,0.22,0.22
0.24,0.28,0.24,0.24,296644,2020-05-12 01:00:00.000000,2020-05-12,SHLL.WS,0.24,0.3,0.29,0.3,0.0,0.25,0.21,0.25
0.22,0.24,0.22,0.24,50144,2020-05-13 01:00:00.000000,2020-05-13,SHLL.WS,0.25,0.3,0.3,0.45,0.16,0.39,0.39,1.08
0.25,0.25,0.25,0.25,15000,2020-05-15 01:00:00.000000,2020-05-15,SHLL.WS,0.3,0.29,0.3,0.55,0.2,0.16,0.2,1.2
0.3,0.3,0.3,0.3,10745,2020-05-18 01:00:00.000000,2020-05-18,SHLL.WS,0.3,0.3,0.45,0.63,0.0,0.0,0.5,1.1
0.3,0.3,0.3,0.3,5000,2020-05-19 01:00:00.000000,2020-05-19,SHLL.WS,0.29,0.3,0.55,0.63,-0.03,0.0,0.83,1.1
0.3,0.3,0.29,0.29,9500,2020-05-21 01:00:00.000000,2020-05-21,SHLL.WS,0.3,0.45,0.63,0.7,0.0,0.5,1.1,1.33
0.3,0.32,0.3,0.3,44100,2020-05-27 01:00:00.000000,2020-05-27,SHLL.WS,0.3,0.55,0.63,0.74,0.0,0.83,1.1,1.45
0.32,0.32,0.3,0.3,3864,2020-05-28 01:00:00.000000,2020-05-28,SHLL.WS,0.45,0.63,0.7,0.82,0.41,0.97,1.19,1.57
0.34,0.45,0.34,0.45,144481,2020-05-29 01:00:00.000000,2020-05-29,SHLL.WS,0.55,0.63,0.74,0.8,0.62,0.85,1.16,1.35
0.41,0.57,0.41,0.55,106513,2020-06-01 01:00:00.000000,2020-06-01,SHLL.WS,0.63,0.7,0.82,0.78,0.56,0.73,1.03,0.93
0.55,0.65,0.55,0.63,91200,2020-06-02 01:00:00.000000,2020-06-02,SHLL.WS,0.63,0.74,0.8,0.8,0.15,0.34,0.45,0.45
0.63,0.63,0.63,0.63,103100,2020-06-03 01:00:00.000000,2020-06-03,SHLL.WS,0.7,0.82,0.78,0.89,0.11,0.31,0.24,0.41
0.63,0.82,0.63,0.7,119102,2020-06-04 01:00:00.000000,2020-06-04,SHLL.WS,0.74,0.8,0.8,1.21,0.17,0.27,0.27,0.92
0.67,0.75,0.62,0.74,5100,2020-06-05 01:00:00.000000,2020-06-05,SHLL.WS,0.82,0.78,0.89,1.35,0.22,0.16,0.32,1.0
0.75,0.83,0.75,0.82,157226,2020-06-08 01:00:00.000000,2020-06-08,SHLL.WS,0.8,0.8,1.21,1.38,0.07,0.07,0.61,0.84
0.82,0.9,0.75,0.8,52400,2020-06-09 01:00:00.000000,2020-06-09,SHLL.WS,0.78,0.89,1.35,1.44,-0.05,0.09,0.65,0.76
0.86,0.94,0.78,0.78,66300,2020-06-10 01:00:00.000000,2020-06-10,SHLL.WS,0.8,1.21,1.38,4.05,-0.07,0.41,0.61,3.73
0.9,0.9,0.78,0.8,79360,2020-06-11 01:00:00.000000,2020-06-11,SHLL.WS,0.89,1.35,1.44,5.55,-0.01,0.5,0.6,5.17
0.81,0.89,0.74,0.89,299554,2020-06-12 01:00:00.000000,2020-06-12,SHLL.WS,1.21,1.38,4.05,5.5,0.49,0.7,4.0,5.79
0.98,1.44,0.93,1.21,524952,2020-06-15 01:00:00.000000,2020-06-15,SHLL.WS,1.35,1.44,5.55,5.13,0.38,0.47,4.67,4.24
1.33,1.4,1.26,1.35,167024,2020-06-16 01:00:00.000000,2020-06-16,SHLL.WS,1.38,4.05,5.5,5.97,0.04,2.05,3.14,3.49
1.35,1.5,1.35,1.38,120748,2020-06-17 01:00:00.000000,2020-06-17,SHLL.WS,1.44,5.55,5.13,9.67,0.07,3.11,2.8,6.16
1.4,1.44,1.38,1.44,76279,2020-06-18 01:00:00.000000,2020-06-18,SHLL.WS,4.05,5.5,5.97,12.27,1.9,2.94,3.28,7.8
5.24,5.5,3.85,4.05,4177222,2020-06-19 01:00:00.000000,2020-06-19,SHLL.WS,5.55,5.13,9.67,10.8,0.06,-0.02,0.85,1.06
5.8,6.5,5.31,5.55,4090292,2020-06-22 01:00:00.000000,2020-06-22,SHLL.WS,5.5,5.97,12.27,9.45,-0.05,0.03,1.12,0.63
6.03,6.18,4.9,5.5,2145652,2020-06-23 01:00:00.000000,2020-06-23,SHLL.WS,5.13,9.67,10.8,8.75,-0.15,0.6,0.79,0.45
5.39,5.59,4.95,5.13,912111,2020-06-24 01:00:00.000000,2020-06-24,SHLL.WS,5.97,12.27,9.45,8.05,0.11,1.28,0.75,0.49
5.5,6.5,5.45,5.97,1435676,2020-06-25 01:00:00.000000,2020-06-25,SHLL.WS,9.67,10.8,8.75,6.9,0.76,0.96,0.59,0.25
7.1,10.23,6.68,9.67,3663883,2020-06-26 01:00:00.000000,2020-06-26,SHLL.WS,12.27,9.45,8.05,8.04,0.73,0.33,0.13,0.13
13.75,13.85,11.35,12.27,2917453,2020-06-29 01:00:00.000000,2020-06-29,SHLL.WS,10.8,8.75,6.9,8.25,-0.21,-0.36,-0.5,-0.4
11.75,12.25,9.92,10.8,1664113,2020-06-30 01:00:00.000000,2020-06-30,SHLL.WS,9.45,8.05,8.04,8.43,-0.2,-0.31,-0.32,-0.28
10.53,10.86,9.08,9.45,1115231,2020-07-01 01:00:00.000000,2020-07-01,SHLL.WS,8.75,6.9,8.25,7.09,-0.17,-0.34,-0.22,-0.33
10.3,11.1,8.75,8.75,1390662,2020-07-02 01:00:00.000000,2020-07-02,SHLL.WS,8.05,8.04,8.43,7.35,-0.22,-0.22,-0.18,-0.29
9.65,9.8,8.0,8.05,1154626,2020-07-06 01:00:00.000000,2020-07-06,SHLL.WS,6.9,8.25,7.09,7.7,-0.28,-0.15,-0.27,-0.2
7.5,7.97,6.13,6.9,1322779,2020-07-07 01:00:00.000000,2020-07-07,SHLL.WS,8.04,8.43,7.35,7.28,0.07,0.12,-0.02,-0.03
7.65,8.14,7.0,8.04,581108,2020-07-08 01:00:00.000000,2020-07-08,SHLL.WS,8.25,7.09,7.7,7.17,0.08,-0.07,0.01,-0.06
8.74,8.77,7.61,8.25,567084,2020-07-09 01:00:00.000000,2020-07-09,SHLL.WS,8.43,7.35,7.28,7.16,-0.04,-0.16,-0.17,-0.18
8.53,8.97,7.95,8.43,415696,2020-07-10 01:00:00.000000,2020-07-10,SHLL.WS,7.09,7.7,7.17,7.24,-0.17,-0.1,-0.16,-0.15
8.88,8.88,6.9,7.09,550111,2020-07-13 01:00:00.000000,2020-07-13,SHLL.WS,7.35,7.28,7.16,7.12,-0.17,-0.18,-0.19,-0.2
7.5,7.66,6.55,7.35,459568,2020-07-14 01:00:00.000000,2020-07-14,SHLL.WS,7.7,7.17,7.24,6.59,0.03,-0.04,-0.03,-0.12
7.84,7.84,7.17,7.7,373472,2020-07-15 01:00:00.000000,2020-07-15,SHLL.WS,7.28,7.16,7.12,5.9,-0.07,-0.09,-0.09,-0.25
7.45,7.54,7.2,7.28,191931,2020-07-16 01:00:00.000000,2020-07-16,SHLL.WS,7.17,7.24,6.59,5.9,-0.04,-0.03,-0.12,-0.21
7.4,7.6,7.0,7.17,218073,2020-07-17 01:00:00.000000,2020-07-17,SHLL.WS,7.16,7.12,5.9,6.15,-0.03,-0.04,-0.2,-0.17
7.55,7.55,6.95,7.16,216737,2020-07-20 01:00:00.000000,2020-07-20,SHLL.WS,7.24,6.59,5.9,6.16,-0.04,-0.13,-0.22,-0.18
7.15,7.4,7.05,7.24,147637,2020-07-21 01:00:00.000000,2020-07-21,SHLL.WS,7.12,5.9,6.15,6.09,-0.0,-0.17,-0.14,-0.15
