open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.7,0.94,0.69,0.7,469196,2020-06-26 01:00:00.000000,2020-06-26,SOAC.WS,1.0,0.86,0.94,0.91,0.95,0.95,0.92,0.85,0.8,0.83,1.34,1.1,1.19
1.0,1.0,0.8,0.86,56972,2020-06-29 01:00:00.000000,2020-06-29,SOAC.WS,0.95,0.94,0.91,0.95,0.95,0.92,0.85,0.8,0.83,1.34,1.1,1.19,1.15
0.95,0.95,0.85,0.94,94374,2020-06-30 01:00:00.000000,2020-06-30,SOAC.WS,0.95,0.91,0.95,0.95,0.92,0.85,0.8,0.83,1.34,1.1,1.19,1.15,1.2
0.95,0.95,0.91,0.91,31074,2020-07-01 01:00:00.000000,2020-07-01,SOAC.WS,0.91,0.95,0.95,0.92,0.85,0.8,0.83,1.34,1.1,1.19,1.15,1.2,1.24
0.91,0.95,0.91,0.95,70972,2020-07-02 01:00:00.000000,2020-07-02,SOAC.WS,0.91,0.95,0.92,0.85,0.8,0.83,1.34,1.1,1.19,1.15,1.2,1.24,1.26
0.95,1.0,0.91,0.92,37506,2020-07-06 01:00:00.000000,2020-07-06,SOAC.WS,0.92,0.85,0.8,0.83,1.34,1.1,1.19,1.15,1.2,1.24,1.26,1.2,1.21
0.92,0.97,0.8,0.85,15211,2020-07-07 01:00:00.000000,2020-07-07,SOAC.WS,0.83,0.8,0.83,1.34,1.1,1.19,1.15,1.2,1.24,1.26,1.2,1.21,1.2
0.83,0.85,0.8,0.8,6856,2020-07-08 01:00:00.000000,2020-07-08,SOAC.WS,0.83,0.83,1.34,1.1,1.19,1.15,1.2,1.24,1.26,1.2,1.21,1.2,1.17
0.83,0.86,0.81,0.83,15505,2020-07-09 01:00:00.000000,2020-07-09,SOAC.WS,0.85,1.34,1.1,1.19,1.15,1.2,1.24,1.26,1.2,1.21,1.2,1.17,1.15
0.85,1.4,0.84,1.34,428742,2020-07-10 01:00:00.000000,2020-07-10,SOAC.WS,1.5,1.1,1.19,1.15,1.2,1.24,1.26,1.2,1.21,1.2,1.17,1.15,1.1
1.5,1.75,1.1,1.1,337458,2020-07-13 01:00:00.000000,2020-07-13,SOAC.WS,1.23,1.19,1.15,1.2,1.24,1.26,1.2,1.21,1.2,1.17,1.15,1.1,0.99
1.23,1.41,1.01,1.19,65950,2020-07-14 01:00:00.000000,2020-07-14,SOAC.WS,1.25,1.15,1.2,1.24,1.26,1.2,1.21,1.2,1.17,1.15,1.1,0.99,0.94
1.25,1.46,1.08,1.15,83911,2020-07-15 01:00:00.000000,2020-07-15,SOAC.WS,1.28,1.2,1.24,1.26,1.2,1.21,1.2,1.17,1.15,1.1,0.99,0.94,0.75
1.28,1.28,1.15,1.2,49083,2020-07-16 01:00:00.000000,2020-07-16,SOAC.WS,1.28,1.24,1.26,1.2,1.21,1.2,1.17,1.15,1.1,0.99,0.94,0.75,0.93
1.28,1.4,1.13,1.24,49085,2020-07-17 01:00:00.000000,2020-07-17,SOAC.WS,1.36,1.26,1.2,1.21,1.2,1.17,1.15,1.1,0.99,0.94,0.75,0.93,0.83
1.36,1.36,1.18,1.26,27051,2020-07-20 01:00:00.000000,2020-07-20,SOAC.WS,1.26,1.2,1.21,1.2,1.17,1.15,1.1,0.99,0.94,0.75,0.93,0.83,0.78
1.26,1.27,1.16,1.2,43517,2020-07-21 01:00:00.000000,2020-07-21,SOAC.WS,1.24,1.21,1.2,1.17,1.15,1.1,0.99,0.94,0.75,0.93,0.83,0.78,0.87
1.24,1.25,1.15,1.21,27565,2020-07-22 01:00:00.000000,2020-07-22,SOAC.WS,1.2,1.2,1.17,1.15,1.1,0.99,0.94,0.75,0.93,0.83,0.78,0.87,0.85
1.2,1.26,1.15,1.2,65587,2020-07-23 01:00:00.000000,2020-07-23,SOAC.WS,1.16,1.17,1.15,1.1,0.99,0.94,0.75,0.93,0.83,0.78,0.87,0.85,0.96
1.16,1.21,1.1,1.17,97437,2020-07-24 01:00:00.000000,2020-07-24,SOAC.WS,1.34,1.15,1.1,0.99,0.94,0.75,0.93,0.83,0.78,0.87,0.85,0.96,0.97
1.34,1.34,1.11,1.15,54333,2020-07-27 01:00:00.000000,2020-07-27,SOAC.WS,1.1,1.1,0.99,0.94,0.75,0.93,0.83,0.78,0.87,0.85,0.96,0.97,0.98
1.1,1.16,1.08,1.1,47738,2020-07-28 01:00:00.000000,2020-07-28,SOAC.WS,1.11,0.99,0.94,0.75,0.93,0.83,0.78,0.87,0.85,0.96,0.97,0.98,0.94
