open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.0,10.0,9.7,9.7,207378,2020-06-26 01:00:00.000000,2020-06-26,SOAC,9.8,9.85,9.97,9.86,-0.02,-0.02,-0.0,-0.01
10.0,10.0,9.76,9.8,17866,2020-06-29 01:00:00.000000,2020-06-29,SOAC,9.7,9.92,9.97,9.94,-0.03,-0.01,-0.0,-0.01
9.84,9.85,9.7,9.7,4208,2020-06-30 01:00:00.000000,2020-06-30,SOAC,9.85,9.97,9.86,10.07,0.0,0.01,0.0,0.02
9.85,9.85,9.78,9.85,21893,2020-07-01 01:00:00.000000,2020-07-01,SOAC,9.92,9.97,9.94,10.18,0.01,0.01,0.01,0.03
10.15,10.15,9.8,9.92,435524,2020-07-02 01:00:00.000000,2020-07-02,SOAC,9.97,9.86,10.07,10.1,-0.02,-0.03,-0.01,-0.0
10.14,10.14,9.8,9.97,34825,2020-07-06 01:00:00.000000,2020-07-06,SOAC,9.97,9.94,10.18,9.95,-0.02,-0.02,0.0,-0.02
9.99,10.02,9.9,9.97,26145,2020-07-07 01:00:00.000000,2020-07-07,SOAC,9.86,10.07,10.1,10.1,-0.01,0.01,0.01,0.01
9.89,9.89,9.86,9.86,777,2020-07-08 01:00:00.000000,2020-07-08,SOAC,9.94,10.18,9.95,9.99,0.0,0.03,0.01,0.01
9.97,9.97,9.9,9.94,7312,2020-07-09 01:00:00.000000,2020-07-09,SOAC,10.07,10.1,10.1,10.02,0.01,0.01,0.01,0.0
10.0,10.1,9.89,10.07,370246,2020-07-10 01:00:00.000000,2020-07-10,SOAC,10.18,9.95,9.99,10.08,0.02,-0.01,-0.0,0.01
10.16,10.4,9.95,10.18,398938,2020-07-13 01:00:00.000000,2020-07-13,SOAC,10.1,10.1,10.02,10.05,-0.01,-0.01,-0.01,-0.01
10.3,10.3,10.01,10.1,38115,2020-07-14 01:00:00.000000,2020-07-14,SOAC,9.95,9.99,10.08,10.13,-0.03,-0.03,-0.02,-0.02
10.26,10.26,9.95,9.95,122913,2020-07-15 01:00:00.000000,2020-07-15,SOAC,10.1,10.02,10.05,10.1,-0.02,-0.02,-0.02,-0.02
10.04,10.2,9.98,10.1,340710,2020-07-16 01:00:00.000000,2020-07-16,SOAC,9.99,10.08,10.13,10.14,-0.0,0.0,0.01,0.01
10.1,10.13,9.99,9.99,71418,2020-07-17 01:00:00.000000,2020-07-17,SOAC,10.02,10.05,10.1,10.04,-0.01,-0.0,0.0,-0.01
10.05,10.15,10.0,10.02,54735,2020-07-20 01:00:00.000000,2020-07-20,SOAC,10.08,10.13,10.14,9.99,0.0,0.01,0.01,-0.01
10.17,10.2,10.02,10.08,47956,2020-07-21 01:00:00.000000,2020-07-21,SOAC,10.05,10.1,10.04,9.95,-0.01,-0.01,-0.01,-0.02
10.15,10.17,9.98,10.05,106522,2020-07-22 01:00:00.000000,2020-07-22,SOAC,10.13,10.14,9.99,9.86,-0.0,-0.0,-0.02,-0.03
10.0,10.13,10.0,10.13,42691,2020-07-23 01:00:00.000000,2020-07-23,SOAC,10.1,10.04,9.95,9.98,0.01,0.0,-0.01,-0.0
10.06,10.13,10.0,10.1,48575,2020-07-24 01:00:00.000000,2020-07-24,SOAC,10.14,9.99,9.86,9.87,0.01,-0.01,-0.02,-0.02
10.18,10.18,10.02,10.14,40718,2020-07-27 01:00:00.000000,2020-07-27,SOAC,10.04,9.95,9.98,9.9,-0.01,-0.02,-0.02,-0.03
10.13,10.13,10.04,10.04,447653,2020-07-28 01:00:00.000000,2020-07-28,SOAC,9.99,9.86,9.87,9.95,-0.01,-0.03,-0.03,-0.02
10.03,10.1,9.85,9.99,200000,2020-07-29 01:00:00.000000,2020-07-29,SOAC,9.95,9.98,9.9,9.88,-0.01,-0.0,-0.01,-0.01
9.99,10.05,9.91,9.95,13778,2020-07-30 01:00:00.000000,2020-07-30,SOAC,9.86,9.87,9.95,9.88,-0.01,-0.01,-0.0,-0.01
9.9,10.0,9.85,9.86,118601,2020-07-31 01:00:00.000000,2020-07-31,SOAC,9.98,9.9,9.88,9.91,0.01,-0.0,-0.0,0.0
9.88,9.99,9.84,9.98,71158,2020-08-03 01:00:00.000000,2020-08-03,SOAC,9.87,9.95,9.88,9.86,-0.0,0.01,0.0,-0.0
9.95,9.95,9.85,9.87,21460,2020-08-04 01:00:00.000000,2020-08-04,SOAC,9.9,9.88,9.91,9.9,-0.01,-0.01,-0.0,-0.01
9.95,9.95,9.9,9.9,5978,2020-08-05 01:00:00.000000,2020-08-05,SOAC,9.95,9.88,9.86,9.89,0.0,-0.01,-0.01,-0.01
9.93,9.95,9.9,9.95,5585,2020-08-06 01:00:00.000000,2020-08-06,SOAC,9.88,9.91,9.9,9.85,-0.01,-0.0,-0.0,-0.01
9.9,9.91,9.85,9.88,494739,2020-08-07 01:00:00.000000,2020-08-07,SOAC,9.88,9.86,9.89,9.87,-0.0,-0.0,-0.0,-0.0
9.88,9.95,9.8,9.88,16177,2020-08-10 01:00:00.000000,2020-08-10,SOAC,9.91,9.9,9.85,9.8,0.0,0.0,-0.0,-0.01
9.94,9.94,9.8,9.91,32334,2020-08-11 01:00:00.000000,2020-08-11,SOAC,9.86,9.89,9.87,9.74,-0.01,-0.01,-0.01,-0.02
9.84,10.0,9.84,9.86,19850,2020-08-12 01:00:00.000000,2020-08-12,SOAC,9.9,9.85,9.8,9.75,0.01,0.0,-0.0,-0.01
9.93,9.97,9.83,9.9,419153,2020-08-13 01:00:00.000000,2020-08-13,SOAC,9.89,9.87,9.74,9.77,-0.0,-0.01,-0.02,-0.02
9.84,9.92,9.84,9.89,45152,2020-08-14 01:00:00.000000,2020-08-14,SOAC,9.85,9.8,9.75,9.82,0.0,-0.0,-0.01,-0.0
9.92,9.93,9.8,9.85,201741,2020-08-17 01:00:00.000000,2020-08-17,SOAC,9.87,9.74,9.77,,-0.01,-0.02,-0.02,
9.83,9.88,9.8,9.87,176362,2020-08-18 01:00:00.000000,2020-08-18,SOAC,9.8,9.75,9.82,,-0.0,-0.01,-0.0,
9.9,9.9,9.7,9.8,56030,2020-08-19 01:00:00.000000,2020-08-19,SOAC,9.74,9.77,,,-0.02,-0.01,,
9.75,9.83,9.72,9.74,707880,2020-08-20 01:00:00.000000,2020-08-20,SOAC,9.75,9.82,,,0.0,0.01,,
9.81,9.83,9.74,9.75,866557,2020-08-21 01:00:00.000000,2020-08-21,SOAC,9.77,,,,-0.0,,,
9.75,9.8,9.75,9.77,20837,2020-08-24 01:00:00.000000,2020-08-24,SOAC,9.82,,,,0.01,,,
9.75,9.82,9.75,9.82,12055,2020-08-25 01:00:00.000000,2020-08-25,SOAC,,,,,,,,
