open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.55,1.55,1.47,1.48,261500,2018-10-01 01:00:00.000000,2018-10-01,SPAQ.WS,1.47,1.44,1.45,1.48,1.48,1.5,1.5,1.5,1.5,1.45,1.45,1.45,1.45
1.47,1.47,1.44,1.44,118000,2018-10-02 01:00:00.000000,2018-10-02,SPAQ.WS,1.45,1.45,1.48,1.48,1.5,1.5,1.5,1.5,1.45,1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45,100,2018-10-03 01:00:00.000000,2018-10-03,SPAQ.WS,1.47,1.48,1.48,1.5,1.5,1.5,1.5,1.45,1.45,1.45,1.45,1.45,1.45
1.47,1.5,1.47,1.48,260700,2018-10-04 01:00:00.000000,2018-10-04,SPAQ.WS,1.47,1.48,1.5,1.5,1.5,1.5,1.45,1.45,1.45,1.45,1.45,1.45,1.45
1.5,1.5,1.5,1.5,700,2018-10-08 01:00:00.000000,2018-10-08,SPAQ.WS,1.5,1.5,1.5,1.5,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.5,1.5
1.45,1.5,1.45,1.45,90900,2018-10-12 01:00:00.000000,2018-10-12,SPAQ.WS,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.5,1.5,1.5,1.5,1.5,1.5
1.45,1.5,1.43,1.5,7100,2018-10-23 01:00:00.000000,2018-10-23,SPAQ.WS,1.45,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.45,1.45
1.45,1.45,1.45,1.45,100,2018-11-07 01:00:00.000000,2018-11-07,SPAQ.WS,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.38,1.38,1.38,1.38,1.38
1.45,1.45,1.45,1.45,100,2018-11-12 01:00:00.000000,2018-11-12,SPAQ.WS,1.45,1.45,1.45,1.45,1.45,1.38,1.38,1.38,1.38,1.38,1.38,1.3,1.3
1.45,1.45,1.45,1.45,200,2018-11-13 01:00:00.000000,2018-11-13,SPAQ.WS,1.45,1.45,1.45,1.45,1.38,1.38,1.38,1.38,1.38,1.38,1.3,1.3,1.3
