open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.14,10.14,10.06,10.07,36457,2018-01-02 01:00:00.000000,2018-01-02,SPCE,10.06,10.07,10.05,10.06,-0.01,-0.01,-0.01,-0.01
10.07,10.1,10.04,10.06,359304,2018-01-03 01:00:00.000000,2018-01-03,SPCE,10.06,10.07,10.06,10.05,-0.0,0.0,-0.0,-0.0
10.06,10.08,10.04,10.06,31137,2018-01-04 01:00:00.000000,2018-01-04,SPCE,10.07,10.05,10.06,10.06,0.0,-0.0,0.0,0.0
10.08,10.1,10.05,10.07,415271,2018-01-05 01:00:00.000000,2018-01-05,SPCE,10.07,10.06,10.05,10.03,-0.0,-0.0,-0.0,-0.0
10.06,10.09,10.06,10.07,169424,2018-01-08 01:00:00.000000,2018-01-08,SPCE,10.05,10.06,10.06,10.05,-0.0,0.0,0.0,-0.0
10.08,10.08,10.03,10.05,109410,2018-01-09 01:00:00.000000,2018-01-09,SPCE,10.06,10.05,10.03,10.06,-0.0,-0.0,-0.0,-0.0
10.08,10.09,10.05,10.06,1626402,2018-01-10 01:00:00.000000,2018-01-10,SPCE,10.06,10.06,10.05,10.08,-0.0,-0.0,-0.0,0.0
10.08,10.08,10.05,10.06,122493,2018-01-11 01:00:00.000000,2018-01-11,SPCE,10.05,10.03,10.06,10.08,-0.0,-0.0,-0.0,0.0
10.06,10.09,10.04,10.05,350780,2018-01-12 01:00:00.000000,2018-01-12,SPCE,10.06,10.05,10.08,10.06,0.0,-0.0,0.0,0.0
10.06,10.11,10.05,10.06,272323,2018-01-16 01:00:00.000000,2018-01-16,SPCE,10.03,10.06,10.08,10.05,-0.0,0.0,0.0,-0.0
10.05,10.09,10.01,10.03,95656,2018-01-17 01:00:00.000000,2018-01-17,SPCE,10.05,10.08,10.06,10.06,0.0,0.0,0.0,0.0
10.04,10.1,10.03,10.05,170405,2018-01-18 01:00:00.000000,2018-01-18,SPCE,10.06,10.08,10.05,10.06,0.0,0.0,0.0,0.0
10.09,10.09,10.04,10.06,296655,2018-01-19 01:00:00.000000,2018-01-19,SPCE,10.08,10.06,10.06,10.05,-0.0,-0.0,-0.0,-0.0
10.08,10.08,10.04,10.08,135795,2018-01-22 01:00:00.000000,2018-01-22,SPCE,10.08,10.05,10.06,10.06,0.0,-0.0,-0.0,-0.0
10.08,10.09,10.0,10.08,471360,2018-01-23 01:00:00.000000,2018-01-23,SPCE,10.06,10.06,10.05,10.07,-0.0,-0.0,-0.0,-0.0
10.1,10.1,10.04,10.06,70756,2018-01-24 01:00:00.000000,2018-01-24,SPCE,10.05,10.06,10.06,10.04,-0.0,-0.0,-0.0,-0.01
10.07,10.08,10.03,10.05,214642,2018-01-25 01:00:00.000000,2018-01-25,SPCE,10.06,10.05,10.07,10.0,-0.0,-0.0,-0.0,-0.01
10.03,10.07,10.03,10.06,131165,2018-01-26 01:00:00.000000,2018-01-26,SPCE,10.06,10.06,10.04,9.99,0.0,0.0,0.0,-0.0
10.05,10.08,10.04,10.06,67014,2018-01-29 01:00:00.000000,2018-01-29,SPCE,10.05,10.07,10.0,10.0,0.0,0.0,-0.0,-0.0
10.06,10.07,10.01,10.05,135331,2018-01-30 01:00:00.000000,2018-01-30,SPCE,10.06,10.04,9.99,10.0,0.0,-0.0,-0.01,-0.01
10.09,10.09,10.04,10.06,42791,2018-01-31 01:00:00.000000,2018-01-31,SPCE,10.07,10.0,10.0,9.96,-0.0,-0.01,-0.01,-0.01
10.05,10.08,10.05,10.07,59531,2018-02-01 01:00:00.000000,2018-02-01,SPCE,10.04,9.99,10.0,9.98,-0.0,-0.01,-0.0,-0.01
10.08,10.08,10.0,10.04,68338,2018-02-02 01:00:00.000000,2018-02-02,SPCE,10.0,10.0,9.96,10.0,-0.01,-0.01,-0.01,-0.01
10.05,10.05,10.0,10.0,215637,2018-02-05 01:00:00.000000,2018-02-05,SPCE,9.99,10.0,9.98,9.98,-0.01,-0.0,-0.01,-0.01
9.97,10.01,9.97,9.99,152160,2018-02-06 01:00:00.000000,2018-02-06,SPCE,10.0,9.96,10.0,9.98,0.0,-0.0,0.0,0.0
9.99,10.05,9.97,10.0,173024,2018-02-07 01:00:00.000000,2018-02-07,SPCE,10.0,9.98,9.98,10.0,0.0,-0.0,-0.0,0.0
9.98,10.02,9.98,10.0,73804,2018-02-08 01:00:00.000000,2018-02-08,SPCE,9.96,10.0,9.98,10.01,-0.0,0.0,0.0,0.0
10.04,10.04,9.95,9.96,115889,2018-02-09 01:00:00.000000,2018-02-09,SPCE,9.98,9.98,10.0,10.0,-0.01,-0.01,-0.0,-0.0
10.02,10.04,9.96,9.98,49183,2018-02-12 01:00:00.000000,2018-02-12,SPCE,10.0,9.98,10.01,10.02,-0.0,-0.0,-0.0,0.0
9.99,10.01,9.98,10.0,57206,2018-02-13 01:00:00.000000,2018-02-13,SPCE,9.98,10.0,10.0,10.02,-0.0,0.0,0.0,0.0
10.0,10.0,9.98,9.98,47130,2018-02-14 01:00:00.000000,2018-02-14,SPCE,9.98,10.01,10.02,10.03,-0.0,0.0,0.0,0.0
10.01,10.05,9.98,9.98,33252,2018-02-15 01:00:00.000000,2018-02-15,SPCE,10.0,10.0,10.02,10.02,-0.0,-0.0,0.0,0.0
9.99,10.0,9.98,10.0,19392,2018-02-16 01:00:00.000000,2018-02-16,SPCE,10.01,10.02,10.03,10.05,0.0,0.0,0.0,0.01
10.0,10.03,10.0,10.01,113582,2018-02-20 01:00:00.000000,2018-02-20,SPCE,10.0,10.02,10.02,10.06,0.0,0.0,0.0,0.01
