open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.53,1.7,1.49,1.61,532324,2018-01-02 01:00:00.000000,2018-01-02,SRUNW,1.6,1.67,1.7,1.81,1.9,1.95,2.0,2.05,2.08,2.08,2.05,2.0,1.97
1.6,1.75,1.6,1.67,444383,2018-01-03 01:00:00.000000,2018-01-03,SRUNW,1.67,1.7,1.81,1.9,1.95,2.0,2.05,2.08,2.08,2.05,2.0,1.97,2.02
1.67,1.74,1.65,1.7,368504,2018-01-04 01:00:00.000000,2018-01-04,SRUNW,1.75,1.81,1.9,1.95,2.0,2.05,2.08,2.08,2.05,2.0,1.97,2.02,2.06
1.75,2.49,1.7,1.81,744415,2018-01-05 01:00:00.000000,2018-01-05,SRUNW,1.9,1.9,1.95,2.0,2.05,2.08,2.08,2.05,2.0,1.97,2.02,2.06,2.12
1.9,2.5,1.8,1.9,289961,2018-01-08 01:00:00.000000,2018-01-08,SRUNW,1.91,1.95,2.0,2.05,2.08,2.08,2.05,2.0,1.97,2.02,2.06,2.12,2.25
1.91,2.1,1.89,1.95,548951,2018-01-09 01:00:00.000000,2018-01-09,SRUNW,1.97,2.0,2.05,2.08,2.08,2.05,2.0,1.97,2.02,2.06,2.12,2.25,2.35
1.97,2.18,1.9,2.0,431453,2018-01-10 01:00:00.000000,2018-01-10,SRUNW,2.0,2.05,2.08,2.08,2.05,2.0,1.97,2.02,2.06,2.12,2.25,2.35,2.55
2.0,2.08,1.98,2.05,705344,2018-01-11 01:00:00.000000,2018-01-11,SRUNW,2.08,2.08,2.08,2.05,2.0,1.97,2.02,2.06,2.12,2.25,2.35,2.55,2.7
2.08,2.15,2.0,2.08,630690,2018-01-12 01:00:00.000000,2018-01-12,SRUNW,2.08,2.08,2.05,2.0,1.97,2.02,2.06,2.12,2.25,2.35,2.55,2.7,2.67
2.15,2.15,2.02,2.05,419330,2018-01-16 01:00:00.000000,2018-01-16,SRUNW,2.14,2.0,1.97,2.02,2.06,2.12,2.25,2.35,2.55,2.7,2.67,2.6,2.75
2.14,2.15,2.0,2.0,271034,2018-01-17 01:00:00.000000,2018-01-17,SRUNW,1.95,1.97,2.02,2.06,2.12,2.25,2.35,2.55,2.7,2.67,2.6,2.75,2.61
1.95,2.08,1.95,1.97,1296090,2018-01-18 01:00:00.000000,2018-01-18,SRUNW,1.99,2.02,2.06,2.12,2.25,2.35,2.55,2.7,2.67,2.6,2.75,2.61,2.52
1.99,2.09,1.95,2.02,105081,2018-01-19 01:00:00.000000,2018-01-19,SRUNW,2.03,2.06,2.12,2.25,2.35,2.55,2.7,2.67,2.6,2.75,2.61,2.52,2.48
2.03,2.14,1.99,2.06,1931667,2018-01-22 01:00:00.000000,2018-01-22,SRUNW,2.08,2.12,2.25,2.35,2.55,2.7,2.67,2.6,2.75,2.61,2.52,2.48,2.43
2.08,2.15,2.05,2.12,1216367,2018-01-23 01:00:00.000000,2018-01-23,SRUNW,2.1,2.25,2.35,2.55,2.7,2.67,2.6,2.75,2.61,2.52,2.48,2.43,2.29
2.1,2.33,2.08,2.25,1076414,2018-01-24 01:00:00.000000,2018-01-24,SRUNW,2.25,2.35,2.55,2.7,2.67,2.6,2.75,2.61,2.52,2.48,2.43,2.29,2.15
2.25,2.44,2.22,2.35,2886664,2018-01-25 01:00:00.000000,2018-01-25,SRUNW,2.38,2.55,2.7,2.67,2.6,2.75,2.61,2.52,2.48,2.43,2.29,2.15,
2.38,2.59,2.28,2.55,915236,2018-01-26 01:00:00.000000,2018-01-26,SRUNW,2.56,2.7,2.67,2.6,2.75,2.61,2.52,2.48,2.43,2.29,2.15,,
2.56,2.75,2.5,2.7,1724881,2018-01-29 01:00:00.000000,2018-01-29,SRUNW,2.65,2.67,2.6,2.75,2.61,2.52,2.48,2.43,2.29,2.15,,,
2.65,2.78,2.6,2.67,455180,2018-01-30 01:00:00.000000,2018-01-30,SRUNW,2.7,2.6,2.75,2.61,2.52,2.48,2.43,2.29,2.15,,,,
2.7,2.8,2.33,2.6,722344,2018-01-31 01:00:00.000000,2018-01-31,SRUNW,2.61,2.75,2.61,2.52,2.48,2.43,2.29,2.15,,,,,
2.61,2.85,2.46,2.75,901132,2018-02-01 01:00:00.000000,2018-02-01,SRUNW,2.76,2.61,2.52,2.48,2.43,2.29,2.15,,,,,,
2.76,2.8,2.6,2.61,250753,2018-02-02 01:00:00.000000,2018-02-02,SRUNW,2.62,2.52,2.48,2.43,2.29,2.15,,,,,,,
2.62,2.75,1.05,2.52,393895,2018-02-05 01:00:00.000000,2018-02-05,SRUNW,2.55,2.48,2.43,2.29,2.15,,,,,,,,
2.55,2.6,2.41,2.48,345505,2018-02-06 01:00:00.000000,2018-02-06,SRUNW,2.5,2.43,2.29,2.15,,,,,,,,,
2.5,2.57,2.38,2.43,280870,2018-02-07 01:00:00.000000,2018-02-07,SRUNW,2.47,2.29,2.15,,,,,,,,,,
2.47,2.5,2.16,2.29,396023,2018-02-08 01:00:00.000000,2018-02-08,SRUNW,2.39,2.15,,,,,,,,,,,
2.39,2.39,1.84,2.15,1073535,2018-02-09 01:00:00.000000,2018-02-09,SRUNW,,,,,,,,,,,,,
