open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.73,9.76,9.73,9.75,934800,2018-06-13 01:00:00.000000,2018-06-13,TDAC,9.75,9.75,9.78,9.76,0.0,0.0,0.01,0.0
9.75,9.76,9.75,9.75,322400,2018-06-14 01:00:00.000000,2018-06-14,TDAC,9.75,9.75,9.76,9.75,0.0,0.0,0.0,0.0
9.75,9.76,9.75,9.75,710400,2018-06-15 01:00:00.000000,2018-06-15,TDAC,9.75,9.78,9.76,9.75,0.0,0.0,0.0,0.0
9.73,9.75,9.72,9.75,2400,2018-06-20 01:00:00.000000,2018-06-20,TDAC,9.75,9.76,9.75,9.76,0.0,0.0,0.0,0.0
9.75,9.75,9.75,9.75,50000,2018-06-21 01:00:00.000000,2018-06-21,TDAC,9.78,9.76,9.75,9.75,0.0,0.0,0.0,0.0
9.78,9.78,9.78,9.78,250,2018-06-22 01:00:00.000000,2018-06-22,TDAC,9.76,9.75,9.76,9.75,-0.0,-0.0,-0.0,-0.0
9.74,9.76,9.74,9.76,30300,2018-06-25 01:00:00.000000,2018-06-25,TDAC,9.76,9.75,9.75,9.75,0.0,0.0,0.0,0.0
9.76,9.76,9.74,9.76,28600,2018-06-26 01:00:00.000000,2018-06-26,TDAC,9.75,9.76,9.75,9.75,-0.0,0.0,-0.0,-0.0
9.75,9.75,9.75,9.75,700,2018-06-29 01:00:00.000000,2018-06-29,TDAC,9.75,9.75,9.75,9.75,0.0,0.0,0.0,0.0
9.75,9.75,9.75,9.75,25500,2018-07-02 01:00:00.000000,2018-07-02,TDAC,9.76,9.75,9.75,9.74,0.0,0.0,0.0,-0.0
9.75,9.76,9.75,9.76,863600,2018-07-03 01:00:00.000000,2018-07-03,TDAC,9.75,9.75,9.75,9.75,0.0,0.0,0.0,0.0
9.75,9.76,9.75,9.75,50000,2018-07-06 01:00:00.000000,2018-07-06,TDAC,9.75,9.75,9.74,9.75,0.0,0.0,-0.0,0.0
9.75,9.75,9.75,9.75,54405,2018-07-09 01:00:00.000000,2018-07-09,TDAC,9.75,9.75,9.75,9.75,0.0,0.0,0.0,0.0
