open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.78,9.8,9.78,9.8,436000,2019-10-04 01:00:00.000000,2019-10-04,THBR,9.79,9.8,9.85,9.85,0.0,0.0,0.01,0.01
9.79,9.79,9.79,9.79,250025,2019-10-07 01:00:00.000000,2019-10-07,THBR,9.8,9.89,9.82,9.84,0.0,0.01,0.0,0.01
9.83,9.83,9.79,9.8,6364,2019-10-08 01:00:00.000000,2019-10-08,THBR,9.8,9.85,9.85,9.86,-0.0,0.0,0.0,0.0
9.79,9.81,9.79,9.8,325699,2019-10-09 01:00:00.000000,2019-10-09,THBR,9.89,9.82,9.84,10.0,0.01,0.0,0.01,0.02
9.8,9.9,9.8,9.89,79137,2019-10-10 01:00:00.000000,2019-10-10,THBR,9.85,9.85,9.86,9.84,0.01,0.01,0.01,0.0
9.89,9.89,9.85,9.85,4200,2019-10-15 01:00:00.000000,2019-10-15,THBR,9.82,9.84,10.0,9.9,-0.01,-0.01,0.01,0.0
9.87,9.87,9.82,9.82,176800,2019-10-21 01:00:00.000000,2019-10-21,THBR,9.85,9.86,9.84,9.88,-0.0,-0.0,-0.0,0.0
9.8,9.88,9.8,9.85,201200,2019-10-22 01:00:00.000000,2019-10-22,THBR,9.84,10.0,9.9,9.86,0.0,0.02,0.01,0.01
9.84,9.84,9.84,9.84,1000,2019-10-25 01:00:00.000000,2019-10-25,THBR,9.86,9.84,9.88,9.98,0.0,0.0,0.0,0.01
9.84,10.0,9.84,9.86,20895,2019-11-04 01:00:00.000000,2019-11-04,THBR,10.0,9.9,9.86,9.85,0.02,0.01,0.0,0.0
9.85,10.0,9.85,10.0,47530,2019-11-05 01:00:00.000000,2019-11-05,THBR,9.84,9.88,9.98,9.88,-0.0,0.0,0.01,0.0
9.85,9.88,9.84,9.84,10200,2019-11-06 01:00:00.000000,2019-11-06,THBR,9.9,9.86,9.85,9.86,0.01,0.0,0.0,0.0
9.84,9.9,9.84,9.9,133400,2019-11-07 01:00:00.000000,2019-11-07,THBR,9.88,9.98,9.88,9.87,0.0,0.01,0.0,0.0
9.88,9.88,9.88,9.88,468,2019-11-08 01:00:00.000000,2019-11-08,THBR,9.86,9.85,9.86,9.85,-0.0,-0.0,-0.0,-0.0
9.86,9.86,9.86,9.86,108502,2019-11-11 01:00:00.000000,2019-11-11,THBR,9.98,9.88,9.87,9.85,0.01,0.0,0.0,-0.0
9.94,10.87,9.89,9.98,3200,2019-11-12 01:00:00.000000,2019-11-12,THBR,9.85,9.86,9.85,9.85,-0.01,-0.01,-0.01,-0.01
9.87,9.9,9.85,9.85,107610,2019-11-13 01:00:00.000000,2019-11-13,THBR,9.88,9.87,9.85,9.85,0.0,0.0,-0.0,-0.0
9.88,9.88,9.88,9.88,100,2019-11-15 01:00:00.000000,2019-11-15,THBR,9.86,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
9.86,9.86,9.86,9.86,740000,2019-11-18 01:00:00.000000,2019-11-18,THBR,9.87,9.85,9.85,9.85,0.0,-0.0,-0.0,-0.0
9.86,9.87,9.85,9.87,104600,2019-11-19 01:00:00.000000,2019-11-19,THBR,9.85,9.85,9.85,9.9,-0.0,-0.0,-0.0,0.0
9.87,9.88,9.85,9.85,677245,2019-11-20 01:00:00.000000,2019-11-20,THBR,9.85,9.85,9.85,9.89,-0.0,-0.0,-0.0,0.0
9.86,9.88,9.85,9.85,61800,2019-11-22 01:00:00.000000,2019-11-22,THBR,9.85,9.85,9.9,10.25,-0.0,-0.0,0.0,0.04
9.84,9.85,9.84,9.85,200,2019-11-26 01:00:00.000000,2019-11-26,THBR,9.85,9.85,9.89,9.86,0.0,0.0,0.01,0.0
9.87,9.87,9.85,9.85,6600,2019-11-27 01:00:00.000000,2019-11-27,THBR,9.85,9.9,10.25,9.9,-0.0,0.0,0.04,0.0
9.85,9.85,9.85,9.85,16629,2019-11-29 01:00:00.000000,2019-11-29,THBR,9.85,9.89,9.86,9.88,0.0,0.0,0.0,0.0
9.85,10.22,9.85,9.85,2239,2019-12-03 01:00:00.000000,2019-12-03,THBR,9.9,10.25,9.9,9.87,0.01,0.04,0.01,0.0
9.9,9.9,9.86,9.9,301600,2019-12-04 01:00:00.000000,2019-12-04,THBR,9.89,9.86,9.88,9.87,-0.0,-0.0,-0.0,-0.0
10.37,10.37,9.86,9.89,1040,2019-12-05 01:00:00.000000,2019-12-05,THBR,10.25,9.9,9.87,9.91,-0.01,-0.05,-0.05,-0.04
9.91,10.25,9.87,10.25,2053,2019-12-06 01:00:00.000000,2019-12-06,THBR,9.86,9.88,9.87,9.88,-0.01,-0.0,-0.0,-0.0
10.19,10.19,9.86,9.86,4734,2019-12-09 01:00:00.000000,2019-12-09,THBR,9.9,9.87,9.91,9.88,-0.03,-0.03,-0.03,-0.03
9.91,9.91,9.84,9.9,1200,2019-12-10 01:00:00.000000,2019-12-10,THBR,9.88,9.87,9.88,9.88,-0.0,-0.0,-0.0,-0.0
9.85,9.89,9.85,9.88,400,2019-12-12 01:00:00.000000,2019-12-12,THBR,9.87,9.91,9.88,9.95,0.0,0.01,0.0,0.01
9.88,9.88,9.87,9.87,236179,2019-12-13 01:00:00.000000,2019-12-13,THBR,9.87,9.88,9.88,9.95,-0.0,0.0,0.0,0.01
9.88,9.9,9.87,9.87,208784,2019-12-16 01:00:00.000000,2019-12-16,THBR,9.91,9.88,9.95,9.88,0.0,0.0,0.01,0.0
