open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.75,9.77,9.75,9.77,31002,2019-07-30 01:00:00.000000,2019-07-30,THCA,9.78,9.75,9.75,9.69,0.0,0.0,0.0,-0.01
9.82,9.82,9.78,9.78,500,2019-07-31 01:00:00.000000,2019-07-31,THCA,9.85,9.75,9.75,9.74,0.0,-0.01,-0.01,-0.01
9.75,9.85,9.75,9.85,27402,2019-08-01 01:00:00.000000,2019-08-01,THCA,9.75,9.75,9.69,9.72,0.0,0.0,-0.01,-0.0
9.8,9.85,9.73,9.75,102500,2019-08-06 01:00:00.000000,2019-08-06,THCA,9.75,9.75,9.74,9.72,-0.01,-0.01,-0.01,-0.01
9.77,10.0,9.71,9.75,32917,2019-08-07 01:00:00.000000,2019-08-07,THCA,9.75,9.69,9.72,9.74,-0.0,-0.01,-0.01,-0.0
10.0,10.0,9.7,9.75,35501,2019-08-12 01:00:00.000000,2019-08-12,THCA,9.75,9.74,9.72,9.75,-0.02,-0.03,-0.03,-0.02
9.73,9.78,9.72,9.75,78315,2019-08-13 01:00:00.000000,2019-08-13,THCA,9.69,9.72,9.74,9.75,-0.0,-0.0,0.0,0.0
9.74,9.78,9.69,9.69,26515,2019-08-14 01:00:00.000000,2019-08-14,THCA,9.74,9.72,9.75,9.78,0.0,-0.0,0.0,0.0
9.72,9.74,9.72,9.74,11100,2019-08-20 01:00:00.000000,2019-08-20,THCA,9.72,9.74,9.75,9.78,0.0,0.0,0.0,0.01
9.72,9.72,9.72,9.72,7700,2019-08-22 01:00:00.000000,2019-08-22,THCA,9.72,9.75,9.78,9.82,0.0,0.0,0.01,0.01
9.72,9.72,9.72,9.72,200,2019-08-23 01:00:00.000000,2019-08-23,THCA,9.74,9.75,9.78,9.82,0.0,0.0,0.01,0.01
9.74,9.74,9.74,9.74,200,2019-09-03 01:00:00.000000,2019-09-03,THCA,9.75,9.78,9.82,9.82,0.0,0.0,0.01,0.01
9.78,9.78,9.74,9.75,7600,2019-09-05 01:00:00.000000,2019-09-05,THCA,9.75,9.78,9.82,9.82,-0.0,0.0,0.0,0.0
9.75,9.75,9.75,9.75,103700,2019-09-06 01:00:00.000000,2019-09-06,THCA,9.78,9.82,9.82,9.82,0.0,0.01,0.01,0.01
9.78,9.78,9.78,9.78,25003,2019-09-09 01:00:00.000000,2019-09-09,THCA,9.78,9.82,9.82,9.81,0.0,0.0,0.0,0.0
9.78,9.78,9.78,9.78,147141,2019-09-11 01:00:00.000000,2019-09-11,THCA,9.82,9.82,9.82,9.82,0.0,0.0,0.0,0.0
9.75,9.82,9.75,9.82,3800,2019-09-12 01:00:00.000000,2019-09-12,THCA,9.82,9.82,9.81,9.82,0.01,0.01,0.01,0.01
9.82,9.82,9.82,9.82,7003,2019-09-13 01:00:00.000000,2019-09-13,THCA,9.82,9.82,9.82,9.8,0.0,0.0,0.0,-0.0
9.82,9.82,9.82,9.82,3000,2019-09-17 01:00:00.000000,2019-09-17,THCA,9.82,9.81,9.82,9.78,0.0,-0.0,0.0,-0.0
9.76,9.82,9.76,9.82,73868,2019-09-19 01:00:00.000000,2019-09-19,THCA,9.82,9.82,9.8,9.82,0.01,0.01,0.0,0.01
9.82,9.82,9.82,9.82,103050,2019-09-20 01:00:00.000000,2019-09-20,THCA,9.81,9.82,9.78,9.8,-0.0,0.0,-0.0,-0.0
9.76,9.81,9.76,9.81,300500,2019-09-30 01:00:00.000000,2019-09-30,THCA,9.82,9.8,9.82,9.76,0.01,0.0,0.01,0.0
9.75,9.82,9.75,9.82,5500,2019-10-03 01:00:00.000000,2019-10-03,THCA,9.82,9.78,9.8,9.78,0.01,0.0,0.01,0.0
9.78,9.82,9.78,9.82,201200,2019-10-08 01:00:00.000000,2019-10-08,THCA,9.8,9.82,9.76,9.8,0.0,0.0,-0.0,0.0
9.8,9.8,9.8,9.8,250000,2019-10-18 01:00:00.000000,2019-10-18,THCA,9.78,9.8,9.78,9.8,-0.0,0.0,-0.0,0.0
9.78,9.78,9.78,9.78,6869,2019-10-23 01:00:00.000000,2019-10-23,THCA,9.82,9.76,9.8,9.8,0.0,-0.0,0.0,0.0
9.78,9.82,9.78,9.82,52800,2019-10-24 01:00:00.000000,2019-10-24,THCA,9.8,9.78,9.8,9.79,0.0,0.0,0.0,0.0
9.76,9.8,9.76,9.8,200,2019-10-30 01:00:00.000000,2019-10-30,THCA,9.76,9.8,9.8,9.78,0.0,0.0,0.0,0.0
9.76,9.76,9.76,9.76,100,2019-11-05 01:00:00.000000,2019-11-05,THCA,9.78,9.8,9.79,9.79,0.0,0.0,0.0,0.0
9.78,9.79,9.78,9.78,554347,2019-11-13 01:00:00.000000,2019-11-13,THCA,9.8,9.8,9.78,9.75,0.0,0.0,0.0,-0.0
9.79,9.8,9.79,9.8,100892,2019-11-14 01:00:00.000000,2019-11-14,THCA,9.8,9.79,9.79,9.75,0.0,0.0,0.0,-0.0
9.79,9.8,9.79,9.8,365,2019-11-15 01:00:00.000000,2019-11-15,THCA,9.8,9.78,9.75,9.79,0.0,-0.0,-0.0,0.0
9.8,9.8,9.8,9.8,4305,2019-11-18 01:00:00.000000,2019-11-18,THCA,9.79,9.79,9.75,9.82,-0.0,-0.0,-0.01,0.0
9.82,9.82,9.79,9.79,99600,2019-11-19 01:00:00.000000,2019-11-19,THCA,9.78,9.75,9.79,9.81,-0.0,-0.01,-0.0,-0.0
9.78,9.78,9.78,9.78,2500,2019-11-20 01:00:00.000000,2019-11-20,THCA,9.79,9.75,9.82,9.85,0.0,-0.0,0.0,0.01
9.79,9.79,9.79,9.79,3327,2019-11-21 01:00:00.000000,2019-11-21,THCA,9.75,9.79,9.81,9.85,-0.0,0.0,0.0,0.01
9.79,9.8,9.75,9.75,7056,2019-11-22 01:00:00.000000,2019-11-22,THCA,9.75,9.82,9.85,9.85,-0.0,0.0,0.01,0.01
9.78,9.78,9.75,9.75,17641,2019-11-26 01:00:00.000000,2019-11-26,THCA,9.79,9.81,9.85,9.85,0.0,0.0,0.01,0.01
9.79,9.79,9.79,9.79,501,2019-11-27 01:00:00.000000,2019-11-27,THCA,9.82,9.85,9.85,9.86,0.0,0.01,0.01,0.01
9.82,9.82,9.82,9.82,500602,2019-12-12 01:00:00.000000,2019-12-12,THCA,9.81,9.85,9.85,9.86,-0.0,0.0,0.0,0.0
9.83,9.85,9.8,9.81,101272,2019-12-13 01:00:00.000000,2019-12-13,THCA,9.85,9.85,9.86,9.84,0.0,0.0,0.0,0.0
9.85,9.85,9.85,9.85,2110,2019-12-16 01:00:00.000000,2019-12-16,THCA,9.85,9.85,9.86,9.84,0.0,0.0,0.0,-0.0
9.85,9.85,9.85,9.85,4000,2019-12-17 01:00:00.000000,2019-12-17,THCA,9.85,9.86,9.84,9.86,0.0,0.0,-0.0,0.0
9.86,9.86,9.85,9.85,56120,2019-12-18 01:00:00.000000,2019-12-18,THCA,9.85,9.86,9.84,9.87,-0.0,0.0,-0.0,0.0
9.85,9.85,9.85,9.85,276500,2019-12-19 01:00:00.000000,2019-12-19,THCA,9.86,9.84,9.86,9.94,0.0,-0.0,0.0,0.01
9.86,9.86,9.86,9.86,100,2019-12-20 01:00:00.000000,2019-12-20,THCA,9.86,9.84,9.87,9.91,0.0,-0.0,0.0,0.01
9.86,9.86,9.86,9.86,276301,2019-12-31 01:00:00.000000,2019-12-31,THCA,9.84,9.86,9.94,9.93,-0.0,0.0,0.01,0.01
9.85,9.85,9.84,9.84,201100,2020-01-02 01:00:00.000000,2020-01-02,THCA,9.84,9.87,9.91,9.92,-0.0,0.0,0.01,0.01
9.86,9.86,9.84,9.84,25294,2020-01-03 01:00:00.000000,2020-01-03,THCA,9.86,9.94,9.93,9.9,0.0,0.01,0.01,0.0
9.86,9.86,9.86,9.86,175072,2020-01-06 01:00:00.000000,2020-01-06,THCA,9.87,9.91,9.92,9.89,0.0,0.01,0.01,0.0
9.86,9.89,9.86,9.87,26114,2020-01-08 01:00:00.000000,2020-01-08,THCA,9.94,9.93,9.9,9.91,0.01,0.01,0.0,0.01
9.81,9.94,9.81,9.94,225786,2020-01-09 01:00:00.000000,2020-01-09,THCA,9.91,9.92,9.89,9.91,0.01,0.01,0.01,0.01
9.94,9.94,9.91,9.91,328087,2020-01-10 01:00:00.000000,2020-01-10,THCA,9.93,9.9,9.91,9.92,-0.0,-0.0,-0.0,-0.0
9.91,9.93,9.91,9.93,201200,2020-01-13 01:00:00.000000,2020-01-13,THCA,9.92,9.89,9.91,9.93,0.0,-0.0,-0.0,0.0
9.92,9.92,9.92,9.92,8311,2020-01-14 01:00:00.000000,2020-01-14,THCA,9.9,9.91,9.92,9.93,-0.0,-0.0,0.0,0.0
9.9,9.92,9.9,9.9,440098,2020-01-16 01:00:00.000000,2020-01-16,THCA,9.89,9.91,9.93,9.92,-0.0,0.0,0.0,0.0
9.89,9.89,9.89,9.89,50002,2020-01-17 01:00:00.000000,2020-01-17,THCA,9.91,9.92,9.93,9.91,0.0,0.0,0.0,0.0
9.91,9.91,9.91,9.91,337,2020-01-21 01:00:00.000000,2020-01-21,THCA,9.91,9.93,9.92,9.93,-0.0,0.0,0.0,0.0
