open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.2,0.2,0.18,0.19,847200,2018-08-27 01:00:00.000000,2018-08-27,TOTAW,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2
0.19,0.2,0.19,0.19,50400,2018-08-28 01:00:00.000000,2018-08-28,TOTAW,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2
0.19,0.2,0.18,0.2,165100,2018-08-29 01:00:00.000000,2018-08-29,TOTAW,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2
0.18,0.2,0.18,0.2,250200,2018-08-31 01:00:00.000000,2018-08-31,TOTAW,0.18,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.19,0.2,559400,2018-09-04 01:00:00.000000,2018-09-04,TOTAW,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.19,0.2,68500,2018-09-05 01:00:00.000000,2018-09-05,TOTAW,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.19,0.19,0.19,0.19,100,2018-09-10 01:00:00.000000,2018-09-10,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,538600,2018-09-11 01:00:00.000000,2018-09-11,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,80000,2018-10-16 01:00:00.000000,2018-10-16,TOTAW,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.21,0.2
0.22,0.22,0.22,0.22,1000,2018-10-19 01:00:00.000000,2018-10-19,TOTAW,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.21,0.2,0.2,0.2,0.2
0.24,0.24,0.24,0.24,1000,2018-10-30 01:00:00.000000,2018-10-30,TOTAW,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.21,0.21,0.21,0.21,30000,2018-10-31 01:00:00.000000,2018-10-31,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,8371,2018-11-01 01:00:00.000000,2018-11-01,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,826,2018-11-02 01:00:00.000000,2018-11-02,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.25,0.25,0.2,0.2,900,2018-11-15 01:00:00.000000,2018-11-15,TOTAW,0.25,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.21,0.22,0.22,0.22,0.22
0.21,0.21,0.21,0.21,10000,2018-11-21 01:00:00.000000,2018-11-21,TOTAW,0.21,0.21,0.21,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.21,0.21,0.21,0.21,100,2018-11-23 01:00:00.000000,2018-11-23,TOTAW,0.21,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.21,0.22,0.21,0.22,1938,2018-11-26 01:00:00.000000,2018-11-26,TOTAW,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.21,0.21,0.21,0.21,100,2018-11-27 01:00:00.000000,2018-11-27,TOTAW,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22,700,2018-11-28 01:00:00.000000,2018-11-28,TOTAW,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.15,0.22,0.15,0.22,1019,2018-12-04 01:00:00.000000,2018-12-04,TOTAW,0.15,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.2,0.2,0.2,0.2,100,2018-12-21 01:00:00.000000,2018-12-21,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,100,2019-01-08 01:00:00.000000,2019-01-08,TOTAW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16,0.16,0.16
0.12,0.16,0.12,0.16,1100,2019-01-22 01:00:00.000000,2019-01-22,TOTAW,0.12,0.16,0.16,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12
