open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.95,1.65,0.95,1.57,6343,2020-08-07 01:00:00.000000,2020-08-07,TREB.WS,1.6,1.6,1.5,1.44,1.45,1.4,1.3,1.34,1.34,1.41,1.4,1.45,1.22
1.6,1.6,1.6,1.6,4793,2020-08-10 01:00:00.000000,2020-08-10,TREB.WS,1.6,1.5,1.44,1.45,1.4,1.3,1.34,1.34,1.41,1.4,1.45,1.22,
1.6,1.6,1.5,1.5,18607,2020-08-11 01:00:00.000000,2020-08-11,TREB.WS,1.6,1.44,1.45,1.4,1.3,1.34,1.34,1.41,1.4,1.45,1.22,,
1.6,1.6,1.4,1.44,104157,2020-08-12 01:00:00.000000,2020-08-12,TREB.WS,1.41,1.45,1.4,1.3,1.34,1.34,1.41,1.4,1.45,1.22,,,
1.41,1.45,1.4,1.45,213290,2020-08-13 01:00:00.000000,2020-08-13,TREB.WS,1.38,1.4,1.3,1.34,1.34,1.41,1.4,1.45,1.22,,,,
1.38,1.4,1.38,1.4,48726,2020-08-14 01:00:00.000000,2020-08-14,TREB.WS,1.45,1.3,1.34,1.34,1.41,1.4,1.45,1.22,,,,,
1.45,1.45,1.3,1.3,17916,2020-08-17 01:00:00.000000,2020-08-17,TREB.WS,1.36,1.34,1.34,1.41,1.4,1.45,1.22,,,,,,
1.36,1.41,1.3,1.34,10349,2020-08-18 01:00:00.000000,2020-08-18,TREB.WS,1.36,1.34,1.41,1.4,1.45,1.22,,,,,,,
1.33,1.41,1.28,1.41,144559,2020-08-20 01:00:00.000000,2020-08-20,TREB.WS,1.25,1.4,1.45,1.22,,,,,,,,,
1.25,1.4,1.25,1.4,30220,2020-08-21 01:00:00.000000,2020-08-21,TREB.WS,1.42,1.45,1.22,,,,,,,,,,
1.42,1.45,1.4,1.45,1355,2020-08-24 01:00:00.000000,2020-08-24,TREB.WS,1.3,1.22,,,,,,,,,,,
1.3,1.32,1.22,1.22,1466,2020-08-25 01:00:00.000000,2020-08-25,TREB.WS,,,,,,,,,,,,,
