open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.75,0.75,0.75,0.75,2500,2019-05-03 01:00:00.000000,2019-05-03,TRNE.WS,0.75,0.75,0.7,0.68,0.68,0.68,0.68,0.62,0.65,0.65,0.65,0.65,0.65
0.7,0.7,0.7,0.7,300,2019-05-07 01:00:00.000000,2019-05-07,TRNE.WS,0.66,0.68,0.68,0.68,0.68,0.62,0.65,0.65,0.65,0.65,0.65,0.65,0.64
0.66,0.68,0.66,0.68,150500,2019-05-08 01:00:00.000000,2019-05-08,TRNE.WS,0.66,0.68,0.68,0.68,0.62,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64
0.62,0.64,0.61,0.62,120400,2019-05-14 01:00:00.000000,2019-05-14,TRNE.WS,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.65
0.65,0.65,0.65,0.65,100,2019-05-15 01:00:00.000000,2019-05-15,TRNE.WS,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.65,0.65
0.62,0.65,0.62,0.65,40000,2019-05-17 01:00:00.000000,2019-05-17,TRNE.WS,0.62,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65
0.64,0.64,0.64,0.64,1000,2019-05-23 01:00:00.000000,2019-05-23,TRNE.WS,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.7
0.64,0.65,0.64,0.64,10200,2019-05-24 01:00:00.000000,2019-05-24,TRNE.WS,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.7,0.68
0.65,0.72,0.63,0.64,220900,2019-05-29 01:00:00.000000,2019-05-29,TRNE.WS,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.7,0.68,0.68,0.7,0.7
0.65,0.65,0.65,0.65,2500,2019-05-30 01:00:00.000000,2019-05-30,TRNE.WS,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.7,0.68,0.68,0.7,0.7,0.75
0.65,0.65,0.65,0.65,507,2019-05-31 01:00:00.000000,2019-05-31,TRNE.WS,0.65,0.65,0.65,0.65,0.65,0.65,0.7,0.68,0.68,0.7,0.7,0.75,0.75
0.65,0.67,0.65,0.65,8500,2019-06-03 01:00:00.000000,2019-06-03,TRNE.WS,0.65,0.65,0.65,0.65,0.65,0.7,0.68,0.68,0.7,0.7,0.75,0.75,0.74
0.65,0.65,0.65,0.65,499,2019-06-04 01:00:00.000000,2019-06-04,TRNE.WS,0.65,0.65,0.65,0.65,0.7,0.68,0.68,0.7,0.7,0.75,0.75,0.74,0.74
0.65,0.65,0.63,0.65,180000,2019-06-06 01:00:00.000000,2019-06-06,TRNE.WS,0.65,0.65,0.7,0.68,0.68,0.7,0.7,0.75,0.75,0.74,0.74,0.74,0.79
0.65,0.65,0.65,0.65,95000,2019-06-07 01:00:00.000000,2019-06-07,TRNE.WS,0.67,0.7,0.68,0.68,0.7,0.7,0.75,0.75,0.74,0.74,0.74,0.79,0.78
0.67,0.7,0.67,0.7,500,2019-06-10 01:00:00.000000,2019-06-10,TRNE.WS,0.68,0.68,0.68,0.7,0.7,0.75,0.75,0.74,0.74,0.74,0.79,0.78,0.78
0.68,0.68,0.68,0.68,51000,2019-06-11 01:00:00.000000,2019-06-11,TRNE.WS,0.66,0.68,0.7,0.7,0.75,0.75,0.74,0.74,0.74,0.79,0.78,0.78,0.74
0.66,0.68,0.66,0.68,1000,2019-06-12 01:00:00.000000,2019-06-12,TRNE.WS,0.68,0.7,0.7,0.75,0.75,0.74,0.74,0.74,0.79,0.78,0.78,0.74,0.75
0.68,0.7,0.68,0.7,20010,2019-06-13 01:00:00.000000,2019-06-13,TRNE.WS,0.7,0.7,0.75,0.75,0.74,0.74,0.74,0.79,0.78,0.78,0.74,0.75,0.75
0.7,0.7,0.7,0.7,5000,2019-06-14 01:00:00.000000,2019-06-14,TRNE.WS,0.75,0.75,0.75,0.74,0.74,0.74,0.79,0.78,0.78,0.74,0.75,0.75,0.72
0.75,0.75,0.75,0.75,2500,2019-06-17 01:00:00.000000,2019-06-17,TRNE.WS,0.75,0.75,0.74,0.74,0.74,0.79,0.78,0.78,0.74,0.75,0.75,0.72,0.72
