open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2.5,2.8,2.22,2.25,29839,2020-07-17 01:00:00.000000,2020-07-17,WPF.WS,2.2,2.2,2.5,2.23,-0.12,-0.12,0.0,-0.11
2.3,2.4,2.1,2.2,27462,2020-07-20 01:00:00.000000,2020-07-20,WPF.WS,2.38,2.55,2.28,2.5,0.03,0.11,-0.01,0.09
2.25,2.78,2.25,2.38,690890,2020-07-21 01:00:00.000000,2020-07-21,WPF.WS,2.2,2.5,2.23,2.28,-0.02,0.11,-0.01,0.01
2.5,2.5,2.2,2.2,22039,2020-07-22 01:00:00.000000,2020-07-22,WPF.WS,2.55,2.28,2.5,2.01,0.02,-0.09,0.0,-0.2
2.35,2.65,2.14,2.55,178641,2020-07-23 01:00:00.000000,2020-07-23,WPF.WS,2.5,2.23,2.28,,0.06,-0.05,-0.03,
2.55,2.69,2.36,2.5,61180,2020-07-24 01:00:00.000000,2020-07-24,WPF.WS,2.28,2.5,2.01,,-0.11,-0.02,-0.21,
2.44,2.44,2.25,2.28,9008,2020-07-27 01:00:00.000000,2020-07-27,WPF.WS,2.23,2.28,,,-0.09,-0.07,,
2.25,2.25,2.2,2.23,9941,2020-07-28 01:00:00.000000,2020-07-28,WPF.WS,2.5,2.01,,,0.11,-0.11,,
2.1,2.5,2.0,2.5,33100,2020-07-29 01:00:00.000000,2020-07-29,WPF.WS,2.28,,,,0.09,,,
2.34,2.34,2.28,2.28,2206,2020-07-30 01:00:00.000000,2020-07-30,WPF.WS,2.01,,,,-0.14,,,
2.1,2.24,1.74,2.01,53590,2020-07-31 01:00:00.000000,2020-07-31,WPF.WS,,,,,,,,
