open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
10.7,10.7,10.4,10.4,6915,2020-07-17 01:00:00.000000,2020-07-17,WPF,10.75,10.41,10.45,10.45,10.52,10.55,10.45,10.35,10.35,10.25,10.28,10.25,10.25
10.75,10.75,10.35,10.41,15903,2020-07-20 01:00:00.000000,2020-07-20,WPF,10.49,10.45,10.45,10.52,10.55,10.45,10.35,10.35,10.25,10.28,10.25,10.25,10.16
10.49,10.51,10.37,10.45,714259,2020-07-21 01:00:00.000000,2020-07-21,WPF,10.43,10.45,10.52,10.55,10.45,10.35,10.35,10.25,10.28,10.25,10.25,10.16,10.22
10.43,10.51,10.35,10.45,426965,2020-07-22 01:00:00.000000,2020-07-22,WPF,10.45,10.52,10.55,10.45,10.35,10.35,10.25,10.28,10.25,10.25,10.16,10.22,10.37
10.45,10.71,10.34,10.52,301658,2020-07-23 01:00:00.000000,2020-07-23,WPF,10.35,10.55,10.45,10.35,10.35,10.25,10.28,10.25,10.25,10.16,10.22,10.37,10.25
10.35,10.7,10.35,10.55,65156,2020-07-24 01:00:00.000000,2020-07-24,WPF,10.55,10.45,10.35,10.35,10.25,10.28,10.25,10.25,10.16,10.22,10.37,10.25,10.33
10.55,10.55,10.39,10.45,2316,2020-07-27 01:00:00.000000,2020-07-27,WPF,10.38,10.35,10.35,10.25,10.28,10.25,10.25,10.16,10.22,10.37,10.25,10.33,10.25
10.38,10.5,10.35,10.35,639664,2020-07-28 01:00:00.000000,2020-07-28,WPF,10.55,10.35,10.25,10.28,10.25,10.25,10.16,10.22,10.37,10.25,10.33,10.25,10.25
10.55,10.55,10.3,10.35,254821,2020-07-29 01:00:00.000000,2020-07-29,WPF,10.53,10.25,10.28,10.25,10.25,10.16,10.22,10.37,10.25,10.33,10.25,10.25,10.24
10.53,10.53,10.2,10.25,67520,2020-07-30 01:00:00.000000,2020-07-30,WPF,10.43,10.28,10.25,10.25,10.16,10.22,10.37,10.25,10.33,10.25,10.25,10.24,10.23
10.43,10.53,10.02,10.28,1007384,2020-07-31 01:00:00.000000,2020-07-31,WPF,10.36,10.25,10.25,10.16,10.22,10.37,10.25,10.33,10.25,10.25,10.24,10.23,10.12
10.36,10.36,10.2,10.25,274554,2020-08-03 01:00:00.000000,2020-08-03,WPF,10.47,10.25,10.16,10.22,10.37,10.25,10.33,10.25,10.25,10.24,10.23,10.12,10.09
10.47,10.47,10.2,10.25,506714,2020-08-04 01:00:00.000000,2020-08-04,WPF,10.5,10.16,10.22,10.37,10.25,10.33,10.25,10.25,10.24,10.23,10.12,10.09,10.1
10.5,10.5,10.15,10.16,596398,2020-08-05 01:00:00.000000,2020-08-05,WPF,10.22,10.22,10.37,10.25,10.33,10.25,10.25,10.24,10.23,10.12,10.09,10.1,10.09
10.22,10.49,10.13,10.22,354458,2020-08-06 01:00:00.000000,2020-08-06,WPF,10.19,10.37,10.25,10.33,10.25,10.25,10.24,10.23,10.12,10.09,10.1,10.09,10.13
10.19,10.38,10.11,10.37,2434720,2020-08-07 01:00:00.000000,2020-08-07,WPF,10.5,10.25,10.33,10.25,10.25,10.24,10.23,10.12,10.09,10.1,10.09,10.13,10.15
10.5,10.5,10.2,10.25,535872,2020-08-10 01:00:00.000000,2020-08-10,WPF,10.4,10.33,10.25,10.25,10.24,10.23,10.12,10.09,10.1,10.09,10.13,10.15,
10.4,10.4,10.2,10.33,601811,2020-08-11 01:00:00.000000,2020-08-11,WPF,10.33,10.25,10.25,10.24,10.23,10.12,10.09,10.1,10.09,10.13,10.15,,
10.33,10.35,10.25,10.25,2458811,2020-08-12 01:00:00.000000,2020-08-12,WPF,10.4,10.25,10.24,10.23,10.12,10.09,10.1,10.09,10.13,10.15,,,
10.4,10.4,10.2,10.25,552395,2020-08-13 01:00:00.000000,2020-08-13,WPF,10.4,10.24,10.23,10.12,10.09,10.1,10.09,10.13,10.15,,,,
10.4,10.4,10.2,10.24,592622,2020-08-14 01:00:00.000000,2020-08-14,WPF,10.3,10.23,10.12,10.09,10.1,10.09,10.13,10.15,,,,,
10.3,10.3,10.15,10.23,5482,2020-08-17 01:00:00.000000,2020-08-17,WPF,10.22,10.12,10.09,10.1,10.09,10.13,10.15,,,,,,
10.22,10.3,10.11,10.12,1147526,2020-08-18 01:00:00.000000,2020-08-18,WPF,10.18,10.09,10.1,10.09,10.13,10.15,,,,,,,
10.18,10.4,10.07,10.09,1622723,2020-08-19 01:00:00.000000,2020-08-19,WPF,10.12,10.1,10.09,10.13,10.15,,,,,,,,
10.12,10.12,10.06,10.1,272743,2020-08-20 01:00:00.000000,2020-08-20,WPF,10.06,10.09,10.13,10.15,,,,,,,,,
10.06,10.13,9.99,10.09,480105,2020-08-21 01:00:00.000000,2020-08-21,WPF,10.1,10.13,10.15,,,,,,,,,,
10.1,10.13,10.05,10.13,13750,2020-08-24 01:00:00.000000,2020-08-24,WPF,10.09,10.15,,,,,,,,,,,
10.09,10.18,10.03,10.15,97645,2020-08-25 01:00:00.000000,2020-08-25,WPF,,,,,,,,,,,,,
