open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
12.74,15.06,11.71,11.81,285824,2018-11-16 01:00:00.000000,2018-11-16,WTRH,12.75,11.88,11.25,11.0,11.0,10.55,10.82,10.6,11.42,11.63,11.54,12.0,11.68
12.75,13.0,11.81,11.88,114308,2018-11-19 01:00:00.000000,2018-11-19,WTRH,11.8,11.25,11.0,11.0,10.55,10.82,10.6,11.42,11.63,11.54,12.0,11.68,11.68
11.8,11.8,11.24,11.25,267355,2018-11-20 01:00:00.000000,2018-11-20,WTRH,11.72,11.0,11.0,10.55,10.82,10.6,11.42,11.63,11.54,12.0,11.68,11.68,11.6
11.72,11.84,10.93,11.0,147902,2018-11-21 01:00:00.000000,2018-11-21,WTRH,11.72,11.0,10.55,10.82,10.6,11.42,11.63,11.54,12.0,11.68,11.68,11.6,11.43
10.95,11.0,9.99,10.55,47926,2018-11-23 01:00:00.000000,2018-11-23,WTRH,11.08,10.82,10.6,11.42,11.63,11.54,12.0,11.68,11.68,11.6,11.43,11.5,11.26
11.08,11.3,10.69,10.82,39181,2018-11-26 01:00:00.000000,2018-11-26,WTRH,11.05,10.6,11.42,11.63,11.54,12.0,11.68,11.68,11.6,11.43,11.5,11.26,11.5
11.05,11.05,10.55,10.6,151851,2018-11-27 01:00:00.000000,2018-11-27,WTRH,11.02,11.42,11.63,11.54,12.0,11.68,11.68,11.6,11.43,11.5,11.26,11.5,11.23
11.02,11.5,10.85,11.42,515357,2018-11-28 01:00:00.000000,2018-11-28,WTRH,11.5,11.63,11.54,12.0,11.68,11.68,11.6,11.43,11.5,11.26,11.5,11.23,11.04
11.5,12.0,11.5,11.63,270083,2018-11-29 01:00:00.000000,2018-11-29,WTRH,11.75,11.54,12.0,11.68,11.68,11.6,11.43,11.5,11.26,11.5,11.23,11.04,11.14
11.75,11.79,11.5,11.54,121523,2018-11-30 01:00:00.000000,2018-11-30,WTRH,12.0,12.0,11.68,11.68,11.6,11.43,11.5,11.26,11.5,11.23,11.04,11.14,11.14
