open,high,low,close,volume,datetime,date,ticker
1.0,1.0,1.0,1.0,2521,2020-06-01 09:30:00,2020-06-01,ACTTW
1.0,1.0,0.96,0.9988,7200,2020-06-01 09:33:00,2020-06-01,ACTTW
0.99,0.99,0.9899,0.9899,1000,2020-06-01 09:35:00,2020-06-01,ACTTW
0.99,0.99,0.9899,0.9899,10000,2020-06-01 09:39:00,2020-06-01,ACTTW
0.99,0.99,0.99,0.99,10000,2020-06-01 09:44:00,2020-06-01,ACTTW
0.99,0.99,0.99,0.99,505,2020-06-01 09:52:00,2020-06-01,ACTTW
0.99,0.99,0.9893,0.9893,4000,2020-06-01 10:09:00,2020-06-01,ACTTW
0.99,0.99,0.9893,0.9893,4000,2020-06-01 10:13:00,2020-06-01,ACTTW
0.99,0.99,0.99,0.99,4000,2020-06-01 10:14:00,2020-06-01,ACTTW
0.99,1.1,0.99,1.1,6975,2020-06-01 10:19:00,2020-06-01,ACTTW
1.09,1.1,1.09,1.099,4370,2020-06-01 10:24:00,2020-06-01,ACTTW
1.09,1.09,1.09,1.09,4950,2020-06-01 10:31:00,2020-06-01,ACTTW
1.09,1.09,1.0891,1.0891,17600,2020-06-01 10:34:00,2020-06-01,ACTTW
1.09,1.1,1.09,1.1,5000,2020-06-01 10:35:00,2020-06-01,ACTTW
1.09,1.09,1.09,1.09,4400,2020-06-01 10:41:00,2020-06-01,ACTTW
1.09,1.09,1.09,1.09,5000,2020-06-01 10:53:00,2020-06-01,ACTTW
1.09,1.09,1.0899,1.0899,10200,2020-06-01 11:00:00,2020-06-01,ACTTW
1.08,1.08,1.08,1.08,670,2020-06-01 11:11:00,2020-06-01,ACTTW
1.09,1.09,1.0899,1.0899,10000,2020-06-01 11:14:00,2020-06-01,ACTTW
1.09,1.09,1.0833,1.0833,2797,2020-06-01 11:17:00,2020-06-01,ACTTW
1.09,1.09,1.0899,1.0899,10000,2020-06-01 11:44:00,2020-06-01,ACTTW
1.09,1.09,1.09,1.09,5000,2020-06-01 11:56:00,2020-06-01,ACTTW
1.08,1.08,1.07,1.07,4928,2020-06-01 12:33:00,2020-06-01,ACTTW
1.08,1.08,1.07,1.0703,7400,2020-06-01 12:44:00,2020-06-01,ACTTW
1.09,1.09,1.09,1.09,278,2020-06-01 13:23:00,2020-06-01,ACTTW
1.05,1.05,1.0,1.0,2800,2020-06-01 13:56:00,2020-06-01,ACTTW
1.01,1.01,1.01,1.01,350,2020-06-01 14:51:00,2020-06-01,ACTTW
1.055,1.06,1.05,1.05,1000,2020-06-01 15:01:00,2020-06-01,ACTTW
1.04,1.04,1.04,1.04,280,2020-06-01 15:07:00,2020-06-01,ACTTW
1.07,1.07,1.0699,1.0699,4000,2020-06-01 15:11:00,2020-06-01,ACTTW
1.04,1.04,1.04,1.04,200,2020-06-01 15:53:00,2020-06-01,ACTTW
1.02,1.02,1.01,1.01,700,2020-06-01 15:54:00,2020-06-01,ACTTW
1.1,1.1,1.0,1.1,12500,2020-06-02 10:21:00,2020-06-02,ACTTW
0.8501,0.8501,0.8501,0.8501,425,2020-06-02 10:55:00,2020-06-02,ACTTW
1.06,1.09,1.06,1.09,14850,2020-06-02 11:33:00,2020-06-02,ACTTW
1.045,1.045,1.045,1.045,100,2020-06-02 11:55:00,2020-06-02,ACTTW
1.01,1.01,1.01,1.01,100,2020-06-02 15:27:00,2020-06-02,ACTTW
1.0,1.0,1.0,1.0,100,2020-06-02 15:58:00,2020-06-02,ACTTW
1.0,1.0,1.0,1.0,1000,2020-06-03 09:43:00,2020-06-03,ACTTW
0.9999,1.0,0.97,0.99,52827,2020-06-03 09:47:00,2020-06-03,ACTTW
0.924999,0.99,0.924999,0.99,13700,2020-06-03 09:48:00,2020-06-03,ACTTW
0.98,0.98,0.98,0.98,400,2020-06-03 09:51:00,2020-06-03,ACTTW
0.9899,0.9899,0.97,0.97,5700,2020-06-03 09:54:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,800,2020-06-03 09:56:00,2020-06-03,ACTTW
0.97,0.99,0.97,0.99,11200,2020-06-03 10:00:00,2020-06-03,ACTTW
0.99,0.99,0.99,0.99,48200,2020-06-03 10:01:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,600,2020-06-03 10:12:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,1600,2020-06-03 10:19:00,2020-06-03,ACTTW
0.99,0.99,0.99,0.99,5000,2020-06-03 10:20:00,2020-06-03,ACTTW
0.99,0.99,0.99,0.99,5000,2020-06-03 10:23:00,2020-06-03,ACTTW
0.97,0.99,0.97,0.97,35950,2020-06-03 10:24:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:26:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:27:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:29:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:30:00,2020-06-03,ACTTW
0.97,0.99,0.97,0.99,5100,2020-06-03 10:32:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:34:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:36:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:38:00,2020-06-03,ACTTW
0.97,0.99,0.97,0.99,9200,2020-06-03 10:40:00,2020-06-03,ACTTW
0.99,1.0,0.99,0.99,5000,2020-06-03 10:41:00,2020-06-03,ACTTW
1.0,1.016,1.0,1.016,5000,2020-06-03 10:43:00,2020-06-03,ACTTW
0.97,0.97,0.97,0.97,100,2020-06-03 10:45:00,2020-06-03,ACTTW
0.985,0.99,0.985,0.99,700,2020-06-03 11:36:00,2020-06-03,ACTTW
0.9875,0.99,0.985,0.985,700,2020-06-03 12:11:00,2020-06-03,ACTTW
0.99,1.09,0.9899,0.989951,8000,2020-06-03 12:12:00,2020-06-03,ACTTW
0.985,0.99,0.985,0.99,900,2020-06-03 12:17:00,2020-06-03,ACTTW
0.98,1.0,0.98,0.98,4184,2020-06-03 12:21:00,2020-06-03,ACTTW
1.01,1.01,1.01,1.01,1200,2020-06-03 12:47:00,2020-06-03,ACTTW
1.02,1.02,1.0101,1.0101,400,2020-06-03 12:50:00,2020-06-03,ACTTW
1.02,1.0301,1.02,1.0301,700,2020-06-03 12:56:00,2020-06-03,ACTTW
1.04,1.04,1.0301,1.0301,500,2020-06-03 12:57:00,2020-06-03,ACTTW
1.0301,1.0301,1.0301,1.0301,400,2020-06-03 12:58:00,2020-06-03,ACTTW
1.04,1.04,1.04,1.04,100,2020-06-03 13:16:00,2020-06-03,ACTTW
1.04,1.04,1.04,1.04,100,2020-06-03 15:59:00,2020-06-03,ACTTW
1.085,1.085,1.085,1.085,200,2020-06-04 09:45:00,2020-06-04,ACTTW
1.08,1.09,1.08,1.09,5000,2020-06-04 10:02:00,2020-06-04,ACTTW
1.06,1.06,1.0599,1.0599,200,2020-06-04 10:08:00,2020-06-04,ACTTW
1.08,1.09,1.0799,1.09,350,2020-06-04 10:18:00,2020-06-04,ACTTW
1.09,1.09,1.09,1.09,4000,2020-06-04 10:28:00,2020-06-04,ACTTW
1.09,1.09,1.0813,1.0813,300,2020-06-04 10:29:00,2020-06-04,ACTTW
1.09,1.09,1.0897,1.0899,1800,2020-06-04 10:30:00,2020-06-04,ACTTW
1.09,1.09,1.0899,1.0899,600,2020-06-04 10:38:00,2020-06-04,ACTTW
1.08,1.08,1.07,1.07,1099,2020-06-04 10:42:00,2020-06-04,ACTTW
1.09,1.09,1.0899,1.0899,6000,2020-06-04 10:54:00,2020-06-04,ACTTW
1.09,1.09,1.09,1.09,2000,2020-06-04 11:08:00,2020-06-04,ACTTW
1.09,1.09,1.0801,1.0801,300,2020-06-04 11:11:00,2020-06-04,ACTTW
1.09,1.09,1.09,1.09,4000,2020-06-04 11:13:00,2020-06-04,ACTTW
1.09,1.09,1.0899,1.0899,2000,2020-06-04 11:14:00,2020-06-04,ACTTW
1.08,1.08,1.07,1.07,4000,2020-06-04 11:22:00,2020-06-04,ACTTW
1.07,1.07,1.07,1.07,250,2020-06-04 11:32:00,2020-06-04,ACTTW
1.07,1.09,0.9540000000000001,0.9540000000000001,17180,2020-06-04 12:15:00,2020-06-04,ACTTW
1.09,1.09,1.0866,1.0866,9600,2020-06-04 12:16:00,2020-06-04,ACTTW
1.08,1.1,1.08,1.09,6000,2020-06-04 12:17:00,2020-06-04,ACTTW
1.1,1.1,1.1,1.1,2110,2020-06-04 12:46:00,2020-06-04,ACTTW
1.1,1.1,1.055,1.055,1910,2020-06-04 12:48:00,2020-06-04,ACTTW
1.0859,1.0859,1.0859,1.0859,4000,2020-06-04 13:04:00,2020-06-04,ACTTW
1.1,1.1,1.0999,1.0999,9800,2020-06-04 13:21:00,2020-06-04,ACTTW
1.0763,1.0763,1.0763,1.0763,100,2020-06-04 15:27:00,2020-06-04,ACTTW
1.1,1.1,1.0999,1.0999,200,2020-06-05 09:33:00,2020-06-05,ACTTW
1.1,1.1,1.072,1.072,8000,2020-06-05 09:41:00,2020-06-05,ACTTW
1.1,1.1,1.1,1.1,2000,2020-06-05 09:52:00,2020-06-05,ACTTW
1.087,1.087,1.087,1.087,100,2020-06-05 10:10:00,2020-06-05,ACTTW
1.1,1.1,1.0979999999999999,1.1,8100,2020-06-05 10:11:00,2020-06-05,ACTTW
1.1,1.1,1.1,1.1,300,2020-06-05 10:12:00,2020-06-05,ACTTW
1.1,1.1,1.1,1.1,4000,2020-06-05 10:15:00,2020-06-05,ACTTW
1.1,1.1,1.1,1.1,5000,2020-06-05 10:16:00,2020-06-05,ACTTW
