open,high,low,close,volume,datetime,date,ticker
0.3,0.3,0.185,0.225,48871,2020-06-01 09:30:00,2020-06-01,AESEW
0.2125,0.2125,0.2125,0.2125,1360,2020-06-01 09:31:00,2020-06-01,AESEW
0.25,0.25,0.23,0.23,9300,2020-06-01 09:32:00,2020-06-01,AESEW
0.25,0.3,0.25,0.27,66074,2020-06-01 09:33:00,2020-06-01,AESEW
0.25,0.27,0.25,0.27,1500,2020-06-01 09:34:00,2020-06-01,AESEW
0.27,0.3,0.27,0.27,9679,2020-06-01 09:35:00,2020-06-01,AESEW
0.31,0.34,0.285,0.34,4121,2020-06-01 09:36:00,2020-06-01,AESEW
0.3,0.35,0.3,0.35,16379,2020-06-01 09:37:00,2020-06-01,AESEW
0.3,0.32,0.3,0.32,9530,2020-06-01 09:38:00,2020-06-01,AESEW
0.29,0.3,0.29,0.3,27500,2020-06-01 09:39:00,2020-06-01,AESEW
0.33,0.33,0.29,0.3,26500,2020-06-01 09:40:00,2020-06-01,AESEW
0.3,0.3,0.3,0.3,1901,2020-06-01 09:41:00,2020-06-01,AESEW
0.33,0.34,0.33,0.34,24200,2020-06-01 09:42:00,2020-06-01,AESEW
0.33,0.35,0.33,0.33,7500,2020-06-01 09:43:00,2020-06-01,AESEW
0.35,0.35,0.3,0.3,32765,2020-06-01 09:44:00,2020-06-01,AESEW
0.33,0.33,0.33,0.33,400,2020-06-01 09:45:00,2020-06-01,AESEW
0.3,0.3,0.3,0.3,3000,2020-06-01 09:47:00,2020-06-01,AESEW
0.3,0.3,0.3,0.3,2500,2020-06-01 09:48:00,2020-06-01,AESEW
0.25,0.25,0.25,0.25,12235,2020-06-01 09:49:00,2020-06-01,AESEW
0.3,0.3,0.3,0.3,200,2020-06-01 09:51:00,2020-06-01,AESEW
0.24,0.24,0.24,0.24,5000,2020-06-01 09:52:00,2020-06-01,AESEW
0.26,0.3,0.25,0.3,23000,2020-06-01 09:53:00,2020-06-01,AESEW
0.3,0.3,0.29,0.29,10700,2020-06-01 09:54:00,2020-06-01,AESEW
0.29,0.33,0.29,0.315,39868,2020-06-01 09:56:00,2020-06-01,AESEW
0.3,0.36495,0.3,0.36495,25408,2020-06-01 09:57:00,2020-06-01,AESEW
0.35999000000000003,0.36,0.33,0.33,17376,2020-06-01 09:58:00,2020-06-01,AESEW
0.35,0.3799,0.35,0.3799,10564,2020-06-01 10:00:00,2020-06-01,AESEW
0.33,0.33,0.316,0.33,7328,2020-06-01 10:01:00,2020-06-01,AESEW
0.33,0.35,0.32,0.35,10000,2020-06-01 10:02:00,2020-06-01,AESEW
