open,high,low,close,volume,datetime,date,ticker
1.3,1.3,1.3,1.3,100,2020-07-30 11:05:00,2020-07-30,ARYBW
1.51,1.51,1.5,1.5,1600,2020-08-05 11:54:00,2020-08-05,ARYBW
8.45,8.45,8.45,8.45,100,2020-08-10 09:21:00,2020-08-10,ARYBW
1.75,1.75,1.75,1.75,100,2020-08-10 13:56:00,2020-08-10,ARYBW
2.1001,2.1001,2.1,2.1,234,2020-08-12 12:27:00,2020-08-12,ARYBW
3.0,3.0,2.9999,2.9999,200,2020-08-12 13:54:00,2020-08-12,ARYBW
2.84,2.84,2.84,2.84,100,2020-08-12 14:36:00,2020-08-12,ARYBW
2.84,2.84,2.84,2.84,100,2020-08-12 15:03:00,2020-08-12,ARYBW
2.84,2.84,2.8399,2.8399,200,2020-08-12 15:20:00,2020-08-12,ARYBW
2.5,2.5,2.5,2.5,100,2020-08-12 15:38:00,2020-08-12,ARYBW
3.0,3.0,3.0,3.0,100,2020-08-13 09:30:00,2020-08-13,ARYBW
2.9,2.9,2.9,2.9,100,2020-08-13 09:36:00,2020-08-13,ARYBW
2.9,2.9,2.72,2.72,274,2020-08-13 10:08:00,2020-08-13,ARYBW
2.8999,3.0,2.8999,2.9,4706,2020-08-13 10:13:00,2020-08-13,ARYBW
2.91,2.91,2.91,2.91,100,2020-08-13 10:59:00,2020-08-13,ARYBW
2.1001,2.1001,2.1001,2.1001,2385,2020-08-13 11:58:00,2020-08-13,ARYBW
2.605,2.605,2.605,2.605,137,2020-08-13 13:40:00,2020-08-13,ARYBW
2.0,2.0,2.0,2.0,100,2020-08-14 09:58:00,2020-08-14,ARYBW
1.77,1.77,1.77,1.77,137,2020-08-17 09:30:00,2020-08-17,ARYBW
2.0,2.0,2.0,2.0,200,2020-08-17 09:54:00,2020-08-17,ARYBW
2.0,2.0,1.9905,1.9905,766,2020-08-17 10:04:00,2020-08-17,ARYBW
2.05,2.05,2.05,2.05,915,2020-08-17 15:25:00,2020-08-17,ARYBW
2.105,2.105,2.105,2.105,100,2020-08-18 11:02:00,2020-08-18,ARYBW
2.14,2.14,2.1295,2.14,1114,2020-08-18 11:31:00,2020-08-18,ARYBW
2.14,2.14,2.14,2.14,700,2020-08-18 11:37:00,2020-08-18,ARYBW
2.15,2.15,2.1414,2.15,2750,2020-08-18 12:37:00,2020-08-18,ARYBW
2.15,2.15,2.15,2.15,625,2020-08-18 13:43:00,2020-08-18,ARYBW
2.1,2.16,2.1,2.15,1287,2020-08-18 15:54:00,2020-08-18,ARYBW
2.1,2.1,2.1,2.1,100,2020-08-18 15:59:00,2020-08-18,ARYBW
2.13,2.13,2.13,2.13,100,2020-08-19 10:36:00,2020-08-19,ARYBW
2.15,2.15,2.1392,2.1394,5000,2020-08-19 11:10:00,2020-08-19,ARYBW
2.15,2.15,2.1394,2.15,5100,2020-08-19 11:11:00,2020-08-19,ARYBW
2.15,2.15,2.15,2.15,100,2020-08-19 11:21:00,2020-08-19,ARYBW
2.15,2.15,2.15,2.15,100,2020-08-19 14:22:00,2020-08-19,ARYBW
2.15,2.15,2.15,2.15,100,2020-08-19 14:53:00,2020-08-19,ARYBW
2.15,2.15,2.1,2.1,1600,2020-08-19 15:49:00,2020-08-19,ARYBW
2.0,2.0,2.0,2.0,100,2020-08-20 09:32:00,2020-08-20,ARYBW
2.0,2.0,2.0,2.0,200,2020-08-20 10:08:00,2020-08-20,ARYBW
2.0,2.0,2.0,2.0,200,2020-08-20 10:09:00,2020-08-20,ARYBW
1.99,1.99,1.99,1.99,100,2020-08-20 11:12:00,2020-08-20,ARYBW
1.99,1.99,1.99,1.99,100,2020-08-20 11:13:00,2020-08-20,ARYBW
1.81,1.81,1.81,1.81,166,2020-08-20 12:49:00,2020-08-20,ARYBW
1.9,1.9,1.9,1.9,100,2020-08-20 12:50:00,2020-08-20,ARYBW
1.95,1.95,1.95,1.95,2087,2020-08-21 09:48:00,2020-08-21,ARYBW
1.9,1.9,1.9,1.9,800,2020-08-21 09:55:00,2020-08-21,ARYBW
1.9,1.9,1.9,1.9,100,2020-08-21 10:01:00,2020-08-21,ARYBW
1.9,1.9,1.9,1.9,510,2020-08-21 11:27:00,2020-08-21,ARYBW
1.9,1.9,1.9,1.9,800,2020-08-24 11:35:00,2020-08-24,ARYBW
1.89,1.89,1.89,1.89,100,2020-08-24 11:36:00,2020-08-24,ARYBW
1.9,1.9,1.9,1.9,500,2020-08-24 15:09:00,2020-08-24,ARYBW
1.895,1.9,1.895,1.9,1250,2020-08-24 15:11:00,2020-08-24,ARYBW
1.9,1.9,1.9,1.9,2500,2020-08-24 15:55:00,2020-08-24,ARYBW
1.81,1.81,1.6,1.6,1895,2020-08-24 15:56:00,2020-08-24,ARYBW
1.7,1.7,1.7,1.7,100,2020-08-24 15:59:00,2020-08-24,ARYBW
