open,high,low,close,volume,datetime,date,ticker
10.4904,10.4904,10.4904,10.4904,1000,2020-06-01 09:59:00,2020-06-01,CCX
10.5,10.5,10.5,10.5,2000,2020-06-01 10:13:00,2020-06-01,CCX
10.478,10.5,10.478,10.5,2143,2020-06-01 10:27:00,2020-06-01,CCX
10.491,10.5,10.491,10.5,6000,2020-06-01 10:35:00,2020-06-01,CCX
10.5,10.5,10.5,10.5,2800,2020-06-01 10:36:00,2020-06-01,CCX
10.5,10.5,10.5,10.5,3000,2020-06-01 10:38:00,2020-06-01,CCX
10.5,10.5,10.5,10.5,10000,2020-06-01 11:37:00,2020-06-01,CCX
10.5,10.5,10.5,10.5,3739,2020-06-01 11:44:00,2020-06-01,CCX
10.54,10.54,10.5398,10.5398,931,2020-06-01 12:11:00,2020-06-01,CCX
10.5,10.5,10.5,10.5,40000,2020-06-01 12:57:00,2020-06-01,CCX
10.505,10.505,10.505,10.505,2000,2020-06-01 15:35:00,2020-06-01,CCX
10.54,10.54,10.54,10.54,500,2020-06-01 15:36:00,2020-06-01,CCX
10.6,10.6,10.6,10.6,500,2020-06-01 15:42:00,2020-06-01,CCX
10.57,10.57,10.57,10.57,100,2020-06-01 15:43:00,2020-06-01,CCX
10.5999,10.5999,10.5999,10.5999,100,2020-06-01 15:48:00,2020-06-01,CCX
10.54,10.54,10.54,10.54,109,2020-06-01 15:49:00,2020-06-01,CCX
10.54,10.54,10.54,10.54,100,2020-06-02 09:30:00,2020-06-02,CCX
10.45,10.45,10.45,10.45,600,2020-06-02 09:41:00,2020-06-02,CCX
10.45,10.45,10.45,10.45,400,2020-06-02 09:43:00,2020-06-02,CCX
10.45,10.45,10.45,10.45,130,2020-06-02 09:44:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 10:41:00,2020-06-02,CCX
10.55,10.55,10.55,10.55,10000,2020-06-02 10:58:00,2020-06-02,CCX
10.53,10.53,10.53,10.53,1200,2020-06-02 11:04:00,2020-06-02,CCX
10.53,10.53,10.53,10.53,2500,2020-06-02 11:05:00,2020-06-02,CCX
10.53,10.53,10.515,10.515,627,2020-06-02 11:06:00,2020-06-02,CCX
10.53,10.53,10.53,10.53,116,2020-06-02 11:07:00,2020-06-02,CCX
10.55,10.58,10.55,10.58,10100,2020-06-02 11:09:00,2020-06-02,CCX
10.55,10.55,10.55,10.55,200,2020-06-02 11:27:00,2020-06-02,CCX
10.56,10.56,10.56,10.56,100,2020-06-02 12:18:00,2020-06-02,CCX
10.58,10.6,10.58,10.6,19910,2020-06-02 14:22:00,2020-06-02,CCX
10.6,10.6,10.58,10.6,28674,2020-06-02 14:23:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 14:32:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 14:37:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 14:44:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 14:51:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 14:57:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:04:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:11:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:18:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:24:00,2020-06-02,CCX
10.57,10.57,10.57,10.57,100,2020-06-02 15:27:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:31:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:38:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:45:00,2020-06-02,CCX
10.59,10.59,10.59,10.59,100,2020-06-02 15:51:00,2020-06-02,CCX
10.53,10.53,10.53,10.53,100,2020-06-03 14:30:00,2020-06-03,CCX
10.48,10.48,10.48,10.48,400,2020-06-03 14:56:00,2020-06-03,CCX
10.48,10.48,10.48,10.48,200,2020-06-03 15:57:00,2020-06-03,CCX
10.42,10.42,10.42,10.42,100,2020-06-04 09:30:00,2020-06-04,CCX
10.5,10.5,10.5,10.5,1000,2020-06-04 10:18:00,2020-06-04,CCX
10.6,10.6,10.6,10.6,2000,2020-06-04 10:32:00,2020-06-04,CCX
10.5052,10.5052,10.5052,10.5052,100,2020-06-04 11:04:00,2020-06-04,CCX
10.5161,10.5161,10.5161,10.5161,473,2020-06-04 12:19:00,2020-06-04,CCX
10.55,10.58,10.55,10.58,1400,2020-06-04 14:24:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,800,2020-06-04 15:14:00,2020-06-04,CCX
10.71,10.71,10.71,10.71,100,2020-06-04 15:15:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,700,2020-06-04 15:16:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,300,2020-06-04 15:17:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,800,2020-06-04 15:18:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,100,2020-06-04 15:19:00,2020-06-04,CCX
10.74,10.74,10.57,10.655,1100,2020-06-04 15:20:00,2020-06-04,CCX
10.66,10.66,10.66,10.66,1100,2020-06-04 15:21:00,2020-06-04,CCX
10.72,10.74,10.72,10.74,800,2020-06-04 15:22:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,1220,2020-06-04 15:24:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,380,2020-06-04 15:25:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,700,2020-06-04 15:26:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,100,2020-06-04 15:27:00,2020-06-04,CCX
10.74,10.74,10.74,10.74,100,2020-06-04 15:28:00,2020-06-04,CCX
10.815,10.82,10.815,10.82,400,2020-06-04 15:35:00,2020-06-04,CCX
10.74,10.74,10.73,10.73,4700,2020-06-04 15:36:00,2020-06-04,CCX
10.73,10.76,10.73,10.76,350,2020-06-04 15:37:00,2020-06-04,CCX
10.74,10.74,10.695,10.695,1300,2020-06-04 15:38:00,2020-06-04,CCX
10.7,10.7,10.69,10.69,1200,2020-06-04 15:39:00,2020-06-04,CCX
10.695,10.7,10.695,10.7,900,2020-06-04 15:41:00,2020-06-04,CCX
10.7,10.7,10.7,10.7,601,2020-06-04 15:43:00,2020-06-04,CCX
10.66,10.66,10.66,10.66,800,2020-06-04 15:48:00,2020-06-04,CCX
10.66,10.67,10.66,10.67,300,2020-06-04 15:49:00,2020-06-04,CCX
10.68,10.68,10.67,10.67,2000,2020-06-04 15:55:00,2020-06-04,CCX
10.68,10.68,10.68,10.68,233,2020-06-04 15:56:00,2020-06-04,CCX
10.8,10.8,10.8,10.8,401,2020-06-05 09:30:00,2020-06-05,CCX
10.8,10.9,10.8,10.9,10000,2020-06-05 12:48:00,2020-06-05,CCX
10.9,10.9,10.84,10.85,31684,2020-06-05 12:51:00,2020-06-05,CCX
10.9,10.9075,10.9,10.9,1300,2020-06-05 12:57:00,2020-06-05,CCX
10.88,10.88,10.88,10.88,100,2020-06-05 12:59:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1150,2020-06-05 13:02:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1200,2020-06-05 13:10:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1200,2020-06-05 13:15:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,100,2020-06-05 13:19:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1200,2020-06-05 13:22:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,50100,2020-06-05 13:26:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1200,2020-06-05 13:28:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,100,2020-06-05 13:32:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1100,2020-06-05 13:34:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,100,2020-06-05 13:39:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,1100,2020-06-05 13:41:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,200,2020-06-05 13:45:00,2020-06-05,CCX
10.9,10.95,10.9,10.9,1000,2020-06-05 13:47:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,2081,2020-06-05 13:51:00,2020-06-05,CCX
11.01,11.01,11.01,11.01,500,2020-06-05 13:55:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,800,2020-06-05 13:57:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,800,2020-06-05 14:01:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,800,2020-06-05 14:05:00,2020-06-05,CCX
10.99,10.99,10.99,10.99,100,2020-06-05 14:08:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,800,2020-06-05 14:09:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,400,2020-06-05 14:13:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,1900,2020-06-05 14:15:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,200,2020-06-05 14:19:00,2020-06-05,CCX
10.86,11.0,10.84,11.0,5300,2020-06-05 14:20:00,2020-06-05,CCX
10.92,10.99,10.92,10.99,500,2020-06-05 14:25:00,2020-06-05,CCX
10.92,10.95,10.92,10.95,800,2020-06-05 14:28:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,105,2020-06-05 14:29:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,500,2020-06-05 14:32:00,2020-06-05,CCX
11.0,11.0,11.0,11.0,800,2020-06-05 14:34:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,400,2020-06-05 14:38:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,800,2020-06-05 14:40:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,800,2020-06-05 14:44:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,400,2020-06-05 14:47:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,800,2020-06-05 14:49:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,400,2020-06-05 14:53:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,800,2020-06-05 14:55:00,2020-06-05,CCX
10.92,10.92,10.92,10.92,500,2020-06-05 14:59:00,2020-06-05,CCX
10.925,10.925,10.925,10.925,800,2020-06-05 15:01:00,2020-06-05,CCX
10.925,10.925,10.925,10.925,800,2020-06-05 15:05:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,500,2020-06-05 15:08:00,2020-06-05,CCX
10.85,10.9,10.85,10.9,900,2020-06-05 15:11:00,2020-06-05,CCX
10.945,10.945,10.925,10.945,300,2020-06-05 15:15:00,2020-06-05,CCX
10.9,10.9,10.9,10.9,800,2020-06-05 15:16:00,2020-06-05,CCX
