open,high,low,close,volume,datetime,date,ticker
0.6,0.6,0.5999,0.5999,1000,2020-06-26 12:51:00,2020-06-26,CGROW
0.6,0.6,0.6,0.6,1428,2020-06-29 10:03:00,2020-06-29,CGROW
0.6,0.6,0.6,0.6,10000,2020-06-29 15:20:00,2020-06-29,CGROW
0.599899,0.6,0.597751,0.597751,12700,2020-06-29 15:21:00,2020-06-29,CGROW
0.6,0.6,0.5999,0.5999,16000,2020-06-29 15:44:00,2020-06-29,CGROW
0.6,0.6,0.5999,0.5999,4600,2020-06-29 15:51:00,2020-06-29,CGROW
0.76,0.76,0.76,0.76,1000,2020-06-30 15:06:00,2020-06-30,CGROW
0.76,0.76,0.76,0.76,2000,2020-06-30 15:56:00,2020-06-30,CGROW
0.84,0.85,0.84,0.85,20000,2020-07-01 14:10:00,2020-07-01,CGROW
0.85,0.85,0.85,0.85,1528,2020-07-01 14:11:00,2020-07-01,CGROW
1.0,1.0,0.9887,0.9999,4200,2020-07-01 14:13:00,2020-07-01,CGROW
0.99,0.99,0.99,0.99,1600,2020-07-01 15:52:00,2020-07-01,CGROW
0.9,0.9,0.9,0.9,200,2020-07-06 10:26:00,2020-07-06,CGROW
0.9,0.9,0.9,0.9,300,2020-07-06 10:50:00,2020-07-06,CGROW
0.9,0.9,0.9,0.9,500,2020-07-06 11:01:00,2020-07-06,CGROW
1.04,1.04,1.04,1.04,18348,2020-07-06 11:08:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,2000,2020-07-06 11:14:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,400,2020-07-06 11:15:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,400,2020-07-06 11:45:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,400,2020-07-06 12:18:00,2020-07-06,CGROW
1.23,1.23,1.23,1.23,400,2020-07-06 12:51:00,2020-07-06,CGROW
1.23,1.23,1.23,1.23,300,2020-07-06 13:30:00,2020-07-06,CGROW
1.23,1.23,1.23,1.23,300,2020-07-06 13:54:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,200,2020-07-06 14:14:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,200,2020-07-06 14:30:00,2020-07-06,CGROW
1.25,1.25,1.25,1.25,100,2020-07-06 14:51:00,2020-07-06,CGROW
1.2,1.2,1.2,1.2,1500,2020-07-06 15:26:00,2020-07-06,CGROW
1.2,1.2,1.2,1.2,4100,2020-07-07 09:30:00,2020-07-07,CGROW
1.15,1.15,1.1499,1.1499,200,2020-07-08 11:25:00,2020-07-08,CGROW
1.1299,1.1299,1.1299,1.1299,750,2020-07-08 14:29:00,2020-07-08,CGROW
0.7,0.7,0.7,0.7,100,2020-07-10 09:30:00,2020-07-10,CGROW
0.8,0.8,0.8,0.8,10000,2020-07-10 09:39:00,2020-07-10,CGROW
0.85,0.85,0.85,0.85,300,2020-07-10 09:50:00,2020-07-10,CGROW
0.9,0.9,0.85,0.85,10100,2020-07-10 11:14:00,2020-07-10,CGROW
0.85,0.85,0.85,0.85,13000,2020-07-10 11:33:00,2020-07-10,CGROW
0.85,0.85,0.85,0.85,12586,2020-07-10 13:42:00,2020-07-10,CGROW
0.85,0.85,0.85,0.85,10954,2020-07-10 14:53:00,2020-07-10,CGROW
0.875,0.875,0.875,0.875,4000,2020-07-13 15:03:00,2020-07-13,CGROW
0.85,0.85,0.85,0.85,2000,2020-07-13 15:10:00,2020-07-13,CGROW
0.82,0.82,0.82,0.82,2000,2020-07-14 09:50:00,2020-07-14,CGROW
0.77,0.77,0.701,0.72,2800,2020-07-14 10:14:00,2020-07-14,CGROW
0.72,0.72,0.72,0.72,12100,2020-07-14 10:26:00,2020-07-14,CGROW
0.9,0.9,0.833601,0.833601,250,2020-07-14 11:09:00,2020-07-14,CGROW
0.82,0.82,0.82,0.82,841,2020-07-14 14:19:00,2020-07-14,CGROW
0.9,0.9,0.9,0.9,2000,2020-07-14 15:54:00,2020-07-14,CGROW
0.801379,0.85,0.801379,0.8305,1100,2020-07-15 12:06:00,2020-07-15,CGROW
