open,high,low,close,volume,datetime,date,ticker
8.32,8.32,8.32,8.32,1000,2020-06-01 07:14:00,2020-06-01,FG
8.32,8.32,8.32,8.32,300,2020-06-01 07:43:00,2020-06-01,FG
8.25,8.25,8.25,8.25,256,2020-06-01 09:18:00,2020-06-01,FG
8.15,8.15,8.15,8.15,200,2020-06-01 09:19:00,2020-06-01,FG
8.15,8.15,8.15,8.15,2250,2020-06-01 09:29:00,2020-06-01,FG
8.1,8.16,8.1,8.14,32375,2020-06-01 09:30:00,2020-06-01,FG
8.13,8.155,8.11,8.155,5897,2020-06-01 09:31:00,2020-06-01,FG
8.15,8.155,8.13,8.13,879,2020-06-01 09:32:00,2020-06-01,FG
8.13,8.15,8.12,8.145,5100,2020-06-01 09:33:00,2020-06-01,FG
8.145,8.165,8.145,8.165,1881,2020-06-01 09:34:00,2020-06-01,FG
8.17,8.205,8.17,8.205,1877,2020-06-01 09:35:00,2020-06-01,FG
8.21,8.21,8.21,8.21,100,2020-06-01 09:36:00,2020-06-01,FG
8.2,8.22,8.2,8.22,1130,2020-06-01 09:37:00,2020-06-01,FG
8.22,8.25,8.22,8.235,1187,2020-06-01 09:38:00,2020-06-01,FG
8.23,8.235,8.22,8.235,2700,2020-06-01 09:39:00,2020-06-01,FG
8.24,8.26,8.24,8.26,2502,2020-06-01 09:40:00,2020-06-01,FG
8.265,8.265,8.23,8.24,11182,2020-06-01 09:41:00,2020-06-01,FG
8.23,8.24,8.23,8.235,1088,2020-06-01 09:42:00,2020-06-01,FG
8.24,8.245,8.24,8.2411,461,2020-06-01 09:43:00,2020-06-01,FG
8.24,8.24,8.23,8.23,1500,2020-06-01 09:44:00,2020-06-01,FG
8.225,8.24,8.225,8.23,6080,2020-06-01 09:45:00,2020-06-01,FG
8.23,8.23,8.22,8.22,3701,2020-06-01 09:46:00,2020-06-01,FG
8.21,8.21,8.19,8.195,9429,2020-06-01 09:47:00,2020-06-01,FG
8.19,8.2,8.16,8.16,12898,2020-06-01 09:48:00,2020-06-01,FG
8.16,8.19,8.16,8.185,10172,2020-06-01 09:49:00,2020-06-01,FG
8.2,8.21,8.2,8.21,11868,2020-06-01 09:50:00,2020-06-01,FG
8.21,8.215,8.21,8.2101,3100,2020-06-01 09:51:00,2020-06-01,FG
8.21,8.21,8.175,8.18,6600,2020-06-01 09:52:00,2020-06-01,FG
8.18,8.18,8.18,8.18,710,2020-06-01 09:53:00,2020-06-01,FG
8.18,8.185,8.17,8.17,3300,2020-06-01 09:54:00,2020-06-01,FG
8.18,8.18,8.17,8.17,578,2020-06-01 09:55:00,2020-06-01,FG
8.175,8.18,8.16,8.16,2500,2020-06-01 09:56:00,2020-06-01,FG
8.16,8.16,8.16,8.16,1269,2020-06-01 09:57:00,2020-06-01,FG
8.16,8.16,8.16,8.16,200,2020-06-01 09:58:00,2020-06-01,FG
8.15,8.155,8.15,8.15,8377,2020-06-01 09:59:00,2020-06-01,FG
8.15,8.17,8.15,8.17,15137,2020-06-01 10:00:00,2020-06-01,FG
8.175,8.18,8.175,8.18,1011,2020-06-01 10:01:00,2020-06-01,FG
8.18,8.18,8.17,8.17,1300,2020-06-01 10:02:00,2020-06-01,FG
8.17,8.17,8.14,8.14,3932,2020-06-01 10:03:00,2020-06-01,FG
8.146,8.146,8.13,8.145,9296,2020-06-01 10:04:00,2020-06-01,FG
8.145,8.15,8.145,8.15,1500,2020-06-01 10:05:00,2020-06-01,FG
8.15,8.15,8.15,8.15,1200,2020-06-01 10:06:00,2020-06-01,FG
8.1438,8.1438,8.1438,8.1438,100,2020-06-01 10:07:00,2020-06-01,FG
8.14,8.14,8.14,8.14,100,2020-06-01 10:08:00,2020-06-01,FG
8.14,8.17,8.14,8.17,17850,2020-06-01 10:09:00,2020-06-01,FG
8.165,8.19,8.165,8.19,5485,2020-06-01 10:11:00,2020-06-01,FG
8.195,8.195,8.19,8.19,816,2020-06-01 10:12:00,2020-06-01,FG
8.1974,8.1974,8.194,8.194,1177,2020-06-01 10:13:00,2020-06-01,FG
8.195,8.195,8.195,8.195,622,2020-06-01 10:14:00,2020-06-01,FG
8.2,8.205,8.2,8.205,1691,2020-06-01 10:15:00,2020-06-01,FG
8.205,8.205,8.2,8.2,3271,2020-06-01 10:16:00,2020-06-01,FG
8.2,8.2,8.2,8.2,2048,2020-06-01 10:17:00,2020-06-01,FG
8.2,8.2,8.19,8.195,3478,2020-06-01 10:18:00,2020-06-01,FG
8.195,8.195,8.19,8.195,4610,2020-06-01 10:19:00,2020-06-01,FG
8.195,8.195,8.19,8.195,8440,2020-06-01 10:20:00,2020-06-01,FG
8.195,8.195,8.19,8.19,200,2020-06-01 10:21:00,2020-06-01,FG
8.195,8.195,8.195,8.195,10021,2020-06-01 10:22:00,2020-06-01,FG
8.195,8.195,8.195,8.195,8118,2020-06-01 10:23:00,2020-06-01,FG
8.19,8.19,8.185,8.185,8604,2020-06-01 10:25:00,2020-06-01,FG
8.185,8.185,8.181,8.181,11506,2020-06-01 10:26:00,2020-06-01,FG
8.18,8.18,8.18,8.18,200,2020-06-01 10:27:00,2020-06-01,FG
8.18,8.18,8.15,8.15,5100,2020-06-01 10:28:00,2020-06-01,FG
8.15,8.16,8.145,8.155,20567,2020-06-01 10:29:00,2020-06-01,FG
8.155,8.16,8.155,8.16,400,2020-06-01 10:30:00,2020-06-01,FG
8.155,8.16,8.155,8.16,19809,2020-06-01 10:31:00,2020-06-01,FG
8.165,8.175,8.165,8.175,7132,2020-06-01 10:32:00,2020-06-01,FG
8.1733,8.175,8.1733,8.175,900,2020-06-01 10:33:00,2020-06-01,FG
8.17,8.18,8.17,8.18,694,2020-06-01 10:34:00,2020-06-01,FG
8.175,8.2,8.175,8.195,6543,2020-06-01 10:35:00,2020-06-01,FG
8.2,8.22,8.195,8.215,6853,2020-06-01 10:36:00,2020-06-01,FG
8.215,8.215,8.205,8.215,8776,2020-06-01 10:37:00,2020-06-01,FG
8.215,8.22,8.215,8.215,601,2020-06-01 10:38:00,2020-06-01,FG
8.215,8.23,8.215,8.23,3372,2020-06-01 10:39:00,2020-06-01,FG
8.22,8.22,8.2131,8.215,3484,2020-06-01 10:40:00,2020-06-01,FG
8.215,8.215,8.215,8.215,125,2020-06-01 10:41:00,2020-06-01,FG
8.22,8.23,8.215,8.23,6431,2020-06-01 10:42:00,2020-06-01,FG
8.225,8.24,8.225,8.24,1779,2020-06-01 10:44:00,2020-06-01,FG
8.24,8.245,8.24,8.245,800,2020-06-01 10:45:00,2020-06-01,FG
8.25,8.25,8.245,8.245,1588,2020-06-01 10:46:00,2020-06-01,FG
8.245,8.245,8.23,8.23,4827,2020-06-01 10:47:00,2020-06-01,FG
8.235,8.25,8.235,8.25,4524,2020-06-01 10:48:00,2020-06-01,FG
8.25,8.25,8.24,8.2401,2500,2020-06-01 10:49:00,2020-06-01,FG
8.24,8.24,8.22,8.22,6775,2020-06-01 10:50:00,2020-06-01,FG
8.22,8.22,8.21,8.21,2490,2020-06-01 10:51:00,2020-06-01,FG
8.21,8.21,8.21,8.21,2200,2020-06-01 10:52:00,2020-06-01,FG
8.21,8.22,8.19,8.19,24104,2020-06-01 10:53:00,2020-06-01,FG
8.19,8.21,8.18,8.21,32599,2020-06-01 10:54:00,2020-06-01,FG
8.2,8.2,8.195,8.195,3786,2020-06-01 10:55:00,2020-06-01,FG
8.2,8.205,8.2,8.2,4487,2020-06-01 10:56:00,2020-06-01,FG
8.205,8.205,8.2,8.2,900,2020-06-01 10:57:00,2020-06-01,FG
8.2,8.2,8.2,8.2,100,2020-06-01 10:58:00,2020-06-01,FG
8.2099,8.2099,8.2,8.2,630,2020-06-01 10:59:00,2020-06-01,FG
8.2,8.2,8.195,8.195,800,2020-06-01 11:00:00,2020-06-01,FG
8.19,8.1957,8.19,8.1957,900,2020-06-01 11:02:00,2020-06-01,FG
8.19,8.19,8.175,8.175,1855,2020-06-01 11:04:00,2020-06-01,FG
8.1738,8.1738,8.1738,8.1738,200,2020-06-01 11:05:00,2020-06-01,FG
8.175,8.19,8.175,8.185,3823,2020-06-01 11:06:00,2020-06-01,FG
8.18,8.18,8.17,8.17,2100,2020-06-01 11:09:00,2020-06-01,FG
8.175,8.175,8.16,8.165,2964,2020-06-01 11:10:00,2020-06-01,FG
8.17,8.17,8.165,8.165,803,2020-06-01 11:11:00,2020-06-01,FG
8.17,8.18,8.17,8.18,1652,2020-06-01 11:12:00,2020-06-01,FG
8.17,8.175,8.17,8.175,1000,2020-06-01 11:13:00,2020-06-01,FG
8.17,8.17,8.17,8.17,200,2020-06-01 11:14:00,2020-06-01,FG
8.18,8.19,8.18,8.185,7921,2020-06-01 11:15:00,2020-06-01,FG
8.18,8.18,8.17,8.175,7724,2020-06-01 11:16:00,2020-06-01,FG
8.175,8.18,8.175,8.175,11349,2020-06-01 11:17:00,2020-06-01,FG
8.175,8.19,8.17,8.19,6983,2020-06-01 11:18:00,2020-06-01,FG
8.2,8.22,8.2,8.21,5350,2020-06-01 11:19:00,2020-06-01,FG
8.21,8.21,8.2,8.2,3100,2020-06-01 11:20:00,2020-06-01,FG
8.205,8.205,8.205,8.205,150,2020-06-01 11:21:00,2020-06-01,FG
8.205,8.21,8.205,8.205,500,2020-06-01 11:22:00,2020-06-01,FG
8.21,8.22,8.21,8.22,1200,2020-06-01 11:23:00,2020-06-01,FG
8.21,8.21,8.2,8.205,1660,2020-06-01 11:24:00,2020-06-01,FG
8.2,8.205,8.19,8.19,5335,2020-06-01 11:27:00,2020-06-01,FG
8.2,8.2,8.2,8.2,700,2020-06-01 11:28:00,2020-06-01,FG
8.2,8.2,8.19,8.19,1420,2020-06-01 11:29:00,2020-06-01,FG
8.195,8.195,8.19,8.19,510,2020-06-01 11:32:00,2020-06-01,FG
8.195,8.2,8.195,8.2,590,2020-06-01 11:33:00,2020-06-01,FG
8.195,8.195,8.19,8.19,400,2020-06-01 11:34:00,2020-06-01,FG
8.195,8.195,8.195,8.195,200,2020-06-01 11:37:00,2020-06-01,FG
8.195,8.195,8.195,8.195,100,2020-06-01 11:38:00,2020-06-01,FG
8.19,8.19,8.19,8.19,100,2020-06-01 11:42:00,2020-06-01,FG
8.195,8.195,8.195,8.195,200,2020-06-01 11:44:00,2020-06-01,FG
8.19,8.19,8.18,8.185,4071,2020-06-01 11:45:00,2020-06-01,FG
8.185,8.19,8.18,8.19,959,2020-06-01 11:46:00,2020-06-01,FG
8.1801,8.21,8.1801,8.2,18316,2020-06-01 11:49:00,2020-06-01,FG
8.2,8.2,8.19,8.2,3149,2020-06-01 11:50:00,2020-06-01,FG
8.195,8.2,8.195,8.2,2539,2020-06-01 11:58:00,2020-06-01,FG
8.205,8.22,8.205,8.22,2200,2020-06-01 11:59:00,2020-06-01,FG
8.22,8.22,8.22,8.22,200,2020-06-01 12:00:00,2020-06-01,FG
8.22,8.24,8.22,8.24,10515,2020-06-01 12:03:00,2020-06-01,FG
8.235,8.235,8.235,8.235,100,2020-06-01 12:04:00,2020-06-01,FG
8.24,8.24,8.24,8.24,100,2020-06-01 12:05:00,2020-06-01,FG
