open,high,low,close,volume,datetime,date,ticker
3.13,3.13,3.13,3.13,800,2020-06-01 07:02:00,2020-06-01,FMCIW
3.13,3.14,3.13,3.14,5200,2020-06-01 07:03:00,2020-06-01,FMCIW
3.24,3.24,3.24,3.24,148,2020-06-01 07:05:00,2020-06-01,FMCIW
3.24,3.24,3.24,3.24,1802,2020-06-01 07:07:00,2020-06-01,FMCIW
3.24,3.24,3.24,3.24,358,2020-06-01 07:08:00,2020-06-01,FMCIW
3.22,3.22,3.22,3.22,100,2020-06-01 07:11:00,2020-06-01,FMCIW
3.21,3.21,3.2,3.2,922,2020-06-01 07:20:00,2020-06-01,FMCIW
3.2,3.2,3.2,3.2,300,2020-06-01 07:22:00,2020-06-01,FMCIW
3.22,3.22,3.22,3.22,741,2020-06-01 07:24:00,2020-06-01,FMCIW
3.22,3.22,3.22,3.22,259,2020-06-01 07:25:00,2020-06-01,FMCIW
3.15,3.17,3.15,3.17,811,2020-06-01 07:30:00,2020-06-01,FMCIW
3.22,3.25,3.22,3.25,698,2020-06-01 07:31:00,2020-06-01,FMCIW
3.22,3.22,3.22,3.22,4300,2020-06-01 07:32:00,2020-06-01,FMCIW
3.2,3.2,3.2,3.2,300,2020-06-01 07:36:00,2020-06-01,FMCIW
3.15,3.15,3.15,3.15,400,2020-06-01 07:39:00,2020-06-01,FMCIW
3.1,3.1,3.0,3.0,2588,2020-06-01 07:56:00,2020-06-01,FMCIW
2.95,2.95,2.95,2.95,273,2020-06-01 07:57:00,2020-06-01,FMCIW
3.0,3.0,3.0,3.0,125,2020-06-01 08:03:00,2020-06-01,FMCIW
3.09,3.1,3.0,3.0,1200,2020-06-01 08:11:00,2020-06-01,FMCIW
3.1,3.1,3.1,3.1,1200,2020-06-01 08:14:00,2020-06-01,FMCIW
3.1,3.1,3.1,3.1,1000,2020-06-01 08:19:00,2020-06-01,FMCIW
3.09,3.09,3.09,3.09,300,2020-06-01 08:31:00,2020-06-01,FMCIW
3.1,3.15,3.09,3.09,2500,2020-06-01 08:33:00,2020-06-01,FMCIW
3.1,3.1,3.1,3.1,323,2020-06-01 08:34:00,2020-06-01,FMCIW
3.15,3.15,3.1,3.1,2650,2020-06-01 08:35:00,2020-06-01,FMCIW
3.15,3.15,3.1499,3.15,3797,2020-06-01 08:36:00,2020-06-01,FMCIW
3.1,3.1,3.1,3.1,500,2020-06-01 08:37:00,2020-06-01,FMCIW
3.1,3.1,3.1,3.1,2000,2020-06-01 08:38:00,2020-06-01,FMCIW
3.1,3.1,3.1,3.1,2850,2020-06-01 08:39:00,2020-06-01,FMCIW
3.09,3.09,3.09,3.09,700,2020-06-01 08:40:00,2020-06-01,FMCIW
3.0,3.0399,2.97,3.0399,6622,2020-06-01 08:42:00,2020-06-01,FMCIW
2.97,2.97,2.97,2.97,2504,2020-06-01 08:44:00,2020-06-01,FMCIW
2.95,2.95,2.95,2.95,500,2020-06-01 08:51:00,2020-06-01,FMCIW
2.98,2.98,2.97,2.97,3000,2020-06-01 08:59:00,2020-06-01,FMCIW
