open,high,low,close,volume,datetime,date,ticker
10.0,10.0,10.0,10.0,100,2020-07-02 12:32:00,2020-07-02,GIK
10.0,10.0,10.0,10.0,375,2020-07-02 13:03:00,2020-07-02,GIK
10.0,10.0,10.0,10.0,925,2020-07-02 13:34:00,2020-07-02,GIK
9.95,9.95,9.9,9.9,2400,2020-07-02 13:35:00,2020-07-02,GIK
9.85,9.85,9.85,9.85,1470,2020-07-02 13:46:00,2020-07-02,GIK
9.9,9.9,9.8,9.8,29400,2020-07-02 13:47:00,2020-07-02,GIK
9.8,9.8,9.8,9.8,7700,2020-07-02 13:48:00,2020-07-02,GIK
9.8,9.8,9.8,9.8,2552,2020-07-02 15:25:00,2020-07-02,GIK
9.82,9.82,9.82,9.82,300,2020-07-02 15:36:00,2020-07-02,GIK
9.82,9.82,9.82,9.82,500,2020-07-02 15:38:00,2020-07-02,GIK
9.8185,9.8185,9.8185,9.8185,1000,2020-07-02 15:41:00,2020-07-02,GIK
9.8,9.8,9.8,9.8,190,2020-07-02 15:56:00,2020-07-02,GIK
9.84,9.84,9.84,9.84,2000,2020-07-02 16:07:00,2020-07-02,GIK
9.95,9.95,9.95,9.95,201,2020-07-06 09:30:00,2020-07-06,GIK
9.9,9.9,9.9,9.9,100,2020-07-06 09:48:00,2020-07-06,GIK
9.89,9.89,9.89,9.89,201,2020-07-06 10:22:00,2020-07-06,GIK
9.849,9.849,9.849,9.849,100,2020-07-06 10:58:00,2020-07-06,GIK
9.85,9.85,9.85,9.85,1000,2020-07-06 11:59:00,2020-07-06,GIK
9.855,9.855,9.85,9.85,4200,2020-07-06 12:55:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,2400,2020-07-06 12:58:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,3200,2020-07-06 13:00:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,1200,2020-07-06 13:03:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,1400,2020-07-06 13:11:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,693,2020-07-06 13:25:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,1207,2020-07-06 13:26:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,800,2020-07-06 13:28:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,1200,2020-07-06 13:29:00,2020-07-06,GIK
9.87,9.87,9.87,9.87,100,2020-07-06 14:09:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,7200,2020-07-06 14:38:00,2020-07-06,GIK
9.84,9.84,9.84,9.84,707,2020-07-06 14:42:00,2020-07-06,GIK
