open,high,low,close,volume,datetime,date,ticker
10.06,10.06,10.06,10.06,100,2020-06-01 09:30:00,2020-06-01,GIX
10.01,10.01,10.01,10.01,100,2020-06-01 09:57:00,2020-06-01,GIX
10.0175,10.0175,10.0175,10.0175,333,2020-06-02 10:36:00,2020-06-02,GIX
10.02,10.02,10.02,10.02,977,2020-06-02 11:53:00,2020-06-02,GIX
10.005,10.03,10.0022,10.0022,1632,2020-06-03 14:59:00,2020-06-03,GIX
10.01,10.01,10.01,10.01,100,2020-06-04 09:30:00,2020-06-04,GIX
10.03,10.03,10.03,10.03,100,2020-06-05 10:04:00,2020-06-05,GIX
10.03,10.03,10.03,10.03,1796,2020-06-05 10:24:00,2020-06-05,GIX
10.0,10.0,10.0,10.0,50000,2020-06-05 14:59:00,2020-06-05,GIX
10.0,10.0,10.0,10.0,4384,2020-06-05 15:13:00,2020-06-05,GIX
10.0,10.0,10.0,10.0,2790,2020-06-05 15:56:00,2020-06-05,GIX
9.97,9.97,9.97,9.97,100,2020-06-08 09:30:00,2020-06-08,GIX
10.0,10.0,10.0,10.0,100,2020-06-09 09:54:00,2020-06-09,GIX
10.05,10.05,10.05,10.05,100,2020-06-09 15:06:00,2020-06-09,GIX
9.98,9.98,9.98,9.98,100,2020-06-12 09:30:00,2020-06-12,GIX
10.03,10.03,10.03,10.03,100,2020-06-12 12:31:00,2020-06-12,GIX
10.08,10.08,10.08,10.08,273,2020-06-12 15:02:00,2020-06-12,GIX
10.0798,10.0798,10.0798,10.0798,100,2020-06-12 15:27:00,2020-06-12,GIX
10.07,10.07,10.07,10.07,600,2020-06-16 09:30:00,2020-06-16,GIX
9.97,9.97,9.97,9.97,200,2020-06-18 09:30:00,2020-06-18,GIX
10.0,10.0,10.0,10.0,2784,2020-06-18 12:02:00,2020-06-18,GIX
10.0,10.0,10.0,10.0,200,2020-06-18 12:51:00,2020-06-18,GIX
10.02,10.02,10.02,10.02,100,2020-06-18 13:02:00,2020-06-18,GIX
10.02,10.03,10.02,10.03,600,2020-06-18 13:14:00,2020-06-18,GIX
10.07,10.07,10.05,10.07,9100,2020-06-18 13:45:00,2020-06-18,GIX
10.04,10.04,10.04,10.04,200,2020-06-18 13:51:00,2020-06-18,GIX
10.055,10.055,10.055,10.055,100,2020-06-18 15:07:00,2020-06-18,GIX
10.08,10.1,10.08,10.1,25000,2020-06-19 09:36:00,2020-06-19,GIX
10.09,10.1,10.09,10.1,5600,2020-06-19 09:37:00,2020-06-19,GIX
10.25,10.25,10.25,10.25,100000,2020-06-19 10:08:00,2020-06-19,GIX
10.07,10.07,10.07,10.07,500000,2020-06-19 10:33:00,2020-06-19,GIX
10.206,10.206,10.206,10.206,200,2020-06-19 11:02:00,2020-06-19,GIX
10.074,10.074,10.074,10.074,200,2020-06-19 11:14:00,2020-06-19,GIX
10.1,10.1,10.1,10.1,100,2020-06-23 15:16:00,2020-06-23,GIX
10.15,10.15,10.15,10.15,100,2020-06-23 15:52:00,2020-06-23,GIX
10.15,10.15,10.15,10.15,200,2020-06-24 10:48:00,2020-06-24,GIX
10.1,10.1,10.1,10.1,100,2020-06-24 12:23:00,2020-06-24,GIX
10.15,10.15,10.15,10.15,208,2020-06-24 15:08:00,2020-06-24,GIX
10.11,10.11,10.11,10.11,100,2020-06-25 12:29:00,2020-06-25,GIX
10.11,10.11,10.11,10.11,3100,2020-06-25 13:18:00,2020-06-25,GIX
10.1,10.1,10.1,10.1,17700,2020-06-26 09:46:00,2020-06-26,GIX
10.1,10.1,10.1,10.1,7200,2020-06-26 09:47:00,2020-06-26,GIX
10.1,10.1,10.1,10.1,100,2020-06-26 10:15:00,2020-06-26,GIX
10.14,10.14,10.14,10.14,5000,2020-06-26 11:21:00,2020-06-26,GIX
10.14,10.14,10.14,10.14,14500,2020-06-26 11:22:00,2020-06-26,GIX
10.14,10.14,10.14,10.14,500,2020-06-26 11:23:00,2020-06-26,GIX
10.1,10.1,10.1,10.1,455600,2020-06-26 12:11:00,2020-06-26,GIX
10.08,10.08,10.08,10.08,113,2020-06-26 12:52:00,2020-06-26,GIX
10.0901,10.0901,10.0901,10.0901,100,2020-06-26 14:29:00,2020-06-26,GIX
10.095,10.1,10.095,10.1,5904,2020-06-26 15:59:00,2020-06-26,GIX
10.1,10.1,10.1,10.1,15000,2020-06-29 10:20:00,2020-06-29,GIX
10.15,10.15,10.1325,10.1325,9750,2020-06-29 13:59:00,2020-06-29,GIX
10.15,10.15,10.15,10.15,3500,2020-06-29 14:00:00,2020-06-29,GIX
10.2328,10.2328,10.2328,10.2328,200,2020-06-29 14:01:00,2020-06-29,GIX
10.15,10.15,10.15,10.15,1600,2020-06-29 14:07:00,2020-06-29,GIX
10.19,10.2,10.19,10.2,900,2020-06-29 15:32:00,2020-06-29,GIX
10.14,10.14,10.14,10.14,100,2020-06-30 09:30:00,2020-06-30,GIX
10.18,10.19,10.145,10.145,5398,2020-06-30 10:08:00,2020-06-30,GIX
10.16,10.16,10.13,10.13,300,2020-06-30 10:30:00,2020-06-30,GIX
10.1,10.1,10.1,10.1,200,2020-06-30 10:47:00,2020-06-30,GIX
10.1,10.1,10.1,10.1,1871,2020-06-30 11:22:00,2020-06-30,GIX
10.16,10.17,10.16,10.16,300,2020-06-30 13:25:00,2020-06-30,GIX
10.14,10.14,10.14,10.14,2518,2020-06-30 15:05:00,2020-06-30,GIX
10.14,10.14,10.14,10.14,22078,2020-06-30 16:09:00,2020-06-30,GIX
10.15,10.15,10.15,10.15,500,2020-07-01 10:36:00,2020-07-01,GIX
10.14,10.14,10.14,10.14,13652,2020-07-01 10:39:00,2020-07-01,GIX
10.16,10.16,10.16,10.16,500,2020-07-01 14:34:00,2020-07-01,GIX
10.16,10.16,10.16,10.16,200,2020-07-01 15:08:00,2020-07-01,GIX
10.16,10.16,10.16,10.16,700,2020-07-01 15:42:00,2020-07-01,GIX
10.1635,10.1635,10.1635,10.1635,1000,2020-07-01 15:43:00,2020-07-01,GIX
10.17,10.17,10.1685,10.1685,2000,2020-07-01 15:44:00,2020-07-01,GIX
10.16,10.16,10.16,10.16,800,2020-07-01 15:45:00,2020-07-01,GIX
10.12,10.12,10.12,10.12,100,2020-07-01 15:57:00,2020-07-01,GIX
