open,high,low,close,volume,datetime,date,ticker
0.325,0.325,0.325,0.325,240165,2020-06-01 09:22:00,2020-06-01,GTYHW
0.32,0.4,0.32,0.38,15674,2020-06-03 11:48:00,2020-06-03,GTYHW
0.35,0.35,0.35,0.35,10000,2020-06-03 12:03:00,2020-06-03,GTYHW
0.32,0.39,0.32,0.39,17500,2020-06-05 12:47:00,2020-06-05,GTYHW
0.39,0.39,0.3226,0.3226,20000,2020-06-05 13:41:00,2020-06-05,GTYHW
0.31,0.31,0.31,0.31,857,2020-06-08 15:07:00,2020-06-08,GTYHW
0.31,0.31,0.31,0.31,5143,2020-06-08 15:58:00,2020-06-08,GTYHW
0.3,0.3,0.3,0.3,500,2020-06-09 12:01:00,2020-06-09,GTYHW
0.29,0.29,0.29,0.29,500,2020-06-09 12:13:00,2020-06-09,GTYHW
0.3,0.3,0.3,0.3,5000,2020-06-09 15:34:00,2020-06-09,GTYHW
0.3,0.3,0.3,0.3,2000,2020-06-09 15:47:00,2020-06-09,GTYHW
0.35,0.35,0.35,0.35,5000,2020-06-10 09:39:00,2020-06-10,GTYHW
0.34,0.35,0.34,0.35,6869,2020-06-10 15:11:00,2020-06-10,GTYHW
0.35,0.35,0.35,0.35,3200,2020-06-10 15:12:00,2020-06-10,GTYHW
0.35,0.35,0.35,0.35,1800,2020-06-10 15:13:00,2020-06-10,GTYHW
0.35,0.35,0.35,0.35,5000,2020-06-10 15:14:00,2020-06-10,GTYHW
0.35,0.35,0.35,0.35,10000,2020-06-10 15:15:00,2020-06-10,GTYHW
0.35,0.35,0.35,0.35,1200,2020-06-10 15:16:00,2020-06-10,GTYHW
0.35,0.35,0.35,0.35,7500,2020-06-10 15:20:00,2020-06-10,GTYHW
0.34,0.35,0.34,0.35,2500,2020-06-10 15:29:00,2020-06-10,GTYHW
0.33,0.33,0.25,0.25,35297,2020-06-10 15:55:00,2020-06-10,GTYHW
0.25,0.25,0.1451,0.1451,8526,2020-06-10 15:56:00,2020-06-10,GTYHW
0.3,0.3,0.3,0.3,5000,2020-06-10 15:57:00,2020-06-10,GTYHW
0.25,0.25,0.25,0.25,2500,2020-06-11 10:20:00,2020-06-11,GTYHW
0.3,0.3,0.3,0.3,3000,2020-06-11 10:55:00,2020-06-11,GTYHW
0.26,0.26,0.26,0.26,5000,2020-06-11 15:03:00,2020-06-11,GTYHW
0.28,0.28,0.28,0.28,5000,2020-06-12 12:13:00,2020-06-12,GTYHW
0.25,0.25,0.25,0.25,236164,2020-06-12 14:22:00,2020-06-12,GTYHW
0.26,0.26,0.26,0.26,500,2020-06-12 15:36:00,2020-06-12,GTYHW
0.35,0.35,0.35,0.35,2500,2020-06-15 12:24:00,2020-06-15,GTYHW
0.35,0.35,0.35,0.35,2000,2020-06-15 12:25:00,2020-06-15,GTYHW
0.3,0.3,0.3,0.3,2033,2020-06-16 10:12:00,2020-06-16,GTYHW
0.35,0.35,0.35,0.35,5000,2020-06-16 11:00:00,2020-06-16,GTYHW
0.35,0.35,0.32,0.32,200,2020-06-16 13:04:00,2020-06-16,GTYHW
0.325,0.35,0.325,0.35,5000,2020-06-16 13:22:00,2020-06-16,GTYHW
0.32,0.32,0.32,0.32,5000,2020-06-16 13:38:00,2020-06-16,GTYHW
0.35,0.35,0.35,0.35,5000,2020-06-16 14:15:00,2020-06-16,GTYHW
0.4,0.4,0.4,0.4,6700,2020-06-17 11:05:00,2020-06-17,GTYHW
0.26,0.26,0.26,0.26,5000,2020-06-22 15:42:00,2020-06-22,GTYHW
0.26,0.26,0.26,0.26,10000,2020-06-23 12:16:00,2020-06-23,GTYHW
0.26,0.26,0.26,0.26,5000,2020-06-23 13:57:00,2020-06-23,GTYHW
0.26,0.26,0.26,0.26,5000,2020-06-24 12:05:00,2020-06-24,GTYHW
0.26,0.26,0.26,0.26,5000,2020-06-25 09:36:00,2020-06-25,GTYHW
0.25,0.25,0.25,0.25,5000,2020-06-25 13:04:00,2020-06-25,GTYHW
0.24,0.245,0.24,0.24,3000,2020-06-25 13:51:00,2020-06-25,GTYHW
0.32,0.32,0.32,0.32,2500,2020-06-25 14:04:00,2020-06-25,GTYHW
0.24,0.3,0.21,0.21,6472,2020-06-26 10:55:00,2020-06-26,GTYHW
0.36,0.36,0.36,0.36,3000,2020-06-26 10:56:00,2020-06-26,GTYHW
0.21,0.3,0.2,0.21,5861,2020-06-26 10:57:00,2020-06-26,GTYHW
0.36,0.36,0.36,0.36,3000,2020-06-26 10:58:00,2020-06-26,GTYHW
0.32,0.32,0.32,0.32,25000,2020-06-30 12:06:00,2020-06-30,GTYHW
0.29,0.29,0.29,0.29,325,2020-06-30 14:15:00,2020-06-30,GTYHW
0.29,0.29,0.29,0.29,5000,2020-06-30 15:13:00,2020-06-30,GTYHW
0.33,0.33,0.33,0.33,5000,2020-06-30 15:14:00,2020-06-30,GTYHW
0.33,0.33,0.33,0.33,25000,2020-06-30 15:15:00,2020-06-30,GTYHW
0.21,0.21,0.21,0.21,581,2020-07-06 14:42:00,2020-07-06,GTYHW
0.3,0.3,0.3,0.3,5000,2020-07-06 15:03:00,2020-07-06,GTYHW
0.31,0.31,0.31,0.31,877,2020-07-07 14:30:00,2020-07-07,GTYHW
0.255,0.255,0.255,0.255,325,2020-07-08 13:30:00,2020-07-08,GTYHW
0.31,0.31,0.31,0.31,2500,2020-07-08 14:03:00,2020-07-08,GTYHW
0.32,0.36,0.32,0.36,9375,2020-07-09 09:31:00,2020-07-09,GTYHW
0.31,0.31,0.31,0.31,2500,2020-07-09 15:46:00,2020-07-09,GTYHW
0.31,0.31,0.255,0.255,3175,2020-07-09 15:49:00,2020-07-09,GTYHW
0.25,0.25,0.25,0.25,2500,2020-07-09 15:50:00,2020-07-09,GTYHW
0.23,0.23,0.23,0.23,3700,2020-07-09 15:51:00,2020-07-09,GTYHW
0.35,0.35,0.35,0.35,5000,2020-07-10 11:45:00,2020-07-10,GTYHW
0.21,0.21,0.21,0.21,50000,2020-07-10 15:58:00,2020-07-10,GTYHW
0.3,0.3,0.3,0.3,2500,2020-07-13 15:01:00,2020-07-13,GTYHW
0.21,0.21,0.21,0.21,2500,2020-07-17 11:47:00,2020-07-17,GTYHW
0.2,0.2,0.2,0.2,2500,2020-07-17 14:26:00,2020-07-17,GTYHW
0.25,0.25,0.25,0.25,2500,2020-07-17 14:59:00,2020-07-17,GTYHW
0.16,0.16,0.16,0.16,28323,2020-07-21 12:45:00,2020-07-21,GTYHW
0.25,0.3,0.25,0.3,4144,2020-07-27 14:46:00,2020-07-27,GTYHW
0.1,0.1,0.1,0.1,10000,2020-07-27 15:56:00,2020-07-27,GTYHW
0.32,0.32,0.32,0.32,2500,2020-07-28 10:17:00,2020-07-28,GTYHW
0.3,0.3,0.3,0.3,3940,2020-07-31 09:30:00,2020-07-31,GTYHW
0.28,0.28,0.28,0.28,1060,2020-07-31 09:39:00,2020-07-31,GTYHW
0.28,0.34,0.28,0.34,11440,2020-07-31 09:49:00,2020-07-31,GTYHW
0.17,0.17,0.17,0.17,50000,2020-08-03 10:19:00,2020-08-03,GTYHW
0.23,0.23,0.23,0.23,500,2020-08-03 11:39:00,2020-08-03,GTYHW
0.2,0.2,0.2,0.2,217,2020-08-03 12:50:00,2020-08-03,GTYHW
0.1701,0.1701,0.1701,0.1701,50000,2020-08-03 13:23:00,2020-08-03,GTYHW
0.32,0.32,0.32,0.32,500,2020-08-04 11:19:00,2020-08-04,GTYHW
0.1801,0.1801,0.1701,0.1701,434,2020-08-04 14:55:00,2020-08-04,GTYHW
0.26,0.26,0.26,0.26,2500,2020-08-04 14:57:00,2020-08-04,GTYHW
0.2515,0.2515,0.2515,0.2515,2500,2020-08-04 14:59:00,2020-08-04,GTYHW
