open,high,low,close,volume,datetime,date,ticker
0.21,0.21,0.21,0.21,1000,2020-06-01 09:30:00,2020-06-01,HOFVW
0.21,0.21,0.2099,0.2099,200,2020-06-01 09:31:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,300,2020-06-01 09:40:00,2020-06-01,HOFVW
0.2,0.2,0.2,0.2,1800,2020-06-01 09:45:00,2020-06-01,HOFVW
0.2,0.2,0.2,0.2,4900,2020-06-01 09:47:00,2020-06-01,HOFVW
0.2,0.2,0.2,0.2,4982,2020-06-01 09:48:00,2020-06-01,HOFVW
0.2,0.20495,0.2,0.20495,6900,2020-06-01 10:10:00,2020-06-01,HOFVW
0.2,0.22,0.2,0.22,23918,2020-06-01 10:11:00,2020-06-01,HOFVW
0.22,0.22,0.2,0.2,4082,2020-06-01 10:12:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,25000,2020-06-01 10:14:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,2000,2020-06-01 10:17:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,3000,2020-06-01 10:18:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,4000,2020-06-01 10:19:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,3000,2020-06-01 10:20:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,5100,2020-06-01 10:22:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,3200,2020-06-01 10:31:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,1600,2020-06-01 10:32:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,100,2020-06-01 10:34:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,9900,2020-06-01 10:35:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,10100,2020-06-01 10:36:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,3500,2020-06-01 10:37:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,2500,2020-06-01 10:38:00,2020-06-01,HOFVW
0.21,0.21,0.21,0.21,1500,2020-06-01 10:39:00,2020-06-01,HOFVW
0.21,0.22612800000000002,0.21,0.22612800000000002,791,2020-06-01 10:41:00,2020-06-01,HOFVW
0.22,0.2201,0.22,0.2201,39700,2020-06-01 10:42:00,2020-06-01,HOFVW
0.244,0.253,0.233,0.233,4400,2020-06-01 10:43:00,2020-06-01,HOFVW
0.2225,0.2415,0.2101,0.2415,9918,2020-06-01 10:44:00,2020-06-01,HOFVW
0.273,0.3,0.2729,0.3,1900,2020-06-01 11:19:00,2020-06-01,HOFVW
0.3,0.3,0.3,0.3,100,2020-06-01 11:30:00,2020-06-01,HOFVW
0.3,0.3,0.3,0.3,4623,2020-06-01 11:49:00,2020-06-01,HOFVW
0.3,0.325,0.3,0.325,3500,2020-06-01 11:51:00,2020-06-01,HOFVW
0.3,0.311,0.3,0.311,4600,2020-06-01 11:52:00,2020-06-01,HOFVW
0.3491,0.3491,0.3,0.3,3400,2020-06-01 11:53:00,2020-06-01,HOFVW
0.29,0.3066,0.29,0.29,3000,2020-06-01 11:57:00,2020-06-01,HOFVW
0.29,0.29,0.29,0.29,600,2020-06-01 11:58:00,2020-06-01,HOFVW
0.3299,0.33,0.3299,0.3299,1000,2020-06-01 12:19:00,2020-06-01,HOFVW
0.33,0.33,0.3299,0.3299,800,2020-06-01 12:20:00,2020-06-01,HOFVW
0.3299,0.3299,0.3299,0.3299,100,2020-06-01 12:27:00,2020-06-01,HOFVW
0.3299,0.3299,0.3299,0.3299,5000,2020-06-01 12:32:00,2020-06-01,HOFVW
0.2874,0.2874,0.2874,0.2874,100,2020-06-01 12:43:00,2020-06-01,HOFVW
0.28,0.28,0.28,0.28,1510,2020-06-01 13:29:00,2020-06-01,HOFVW
0.2874,0.2874,0.2873,0.2873,5000,2020-06-01 13:42:00,2020-06-01,HOFVW
0.2874,0.2874,0.2873,0.2873,2180,2020-06-01 13:44:00,2020-06-01,HOFVW
0.2874,0.2874,0.2874,0.2874,100,2020-06-01 13:45:00,2020-06-01,HOFVW
0.2874,0.2874,0.2874,0.2874,1000,2020-06-01 13:49:00,2020-06-01,HOFVW
0.2874,0.2874,0.2874,0.2874,20000,2020-06-01 14:58:00,2020-06-01,HOFVW
0.3299,0.3299,0.287401,0.287401,200,2020-06-01 15:03:00,2020-06-01,HOFVW
0.308701,0.308701,0.308701,0.308701,100,2020-06-01 15:04:00,2020-06-01,HOFVW
0.2874,0.2874,0.2874,0.2874,125,2020-06-01 15:05:00,2020-06-01,HOFVW
0.3087,0.3087,0.3087,0.3087,100,2020-06-01 15:06:00,2020-06-01,HOFVW
0.2902,0.2902,0.2902,0.2902,1200,2020-06-01 15:09:00,2020-06-01,HOFVW
0.29,0.29,0.29,0.29,11000,2020-06-01 15:10:00,2020-06-01,HOFVW
0.3,0.3,0.3,0.3,2200,2020-06-01 15:33:00,2020-06-01,HOFVW
