open,high,low,close,volume,datetime,date,ticker
4.79,5.24,4.79,5.24,538,2020-06-01 09:30:00,2020-06-01,IMTXW
5.24,5.24,5.24,5.24,600,2020-06-01 09:31:00,2020-06-01,IMTXW
4.3,4.3,4.3,4.3,418,2020-06-01 09:32:00,2020-06-01,IMTXW
4.8,4.8,4.8,4.8,1000,2020-06-01 09:36:00,2020-06-01,IMTXW
4.9,4.9,4.9,4.9,200,2020-06-01 09:37:00,2020-06-01,IMTXW
4.55,4.65,4.4,4.4,1800,2020-06-01 09:38:00,2020-06-01,IMTXW
4.45,4.45,4.4499,4.4499,500,2020-06-01 09:39:00,2020-06-01,IMTXW
4.45,4.45,4.45,4.45,100,2020-06-01 09:43:00,2020-06-01,IMTXW
4.5,4.5,4.5,4.5,100,2020-06-01 09:45:00,2020-06-01,IMTXW
4.45,4.47,4.45,4.47,200,2020-06-01 09:47:00,2020-06-01,IMTXW
4.475,4.475,4.475,4.475,111,2020-06-01 09:54:00,2020-06-01,IMTXW
4.5,4.5,4.45,4.45,300,2020-06-01 09:58:00,2020-06-01,IMTXW
4.46,4.46,4.45,4.45,200,2020-06-01 10:02:00,2020-06-01,IMTXW
4.45,4.45,4.45,4.45,100,2020-06-01 10:05:00,2020-06-01,IMTXW
4.4,4.4,4.4,4.4,200,2020-06-01 10:08:00,2020-06-01,IMTXW
4.3,4.3,4.3,4.3,700,2020-06-01 10:11:00,2020-06-01,IMTXW
4.25,4.25,4.25,4.25,450,2020-06-01 10:17:00,2020-06-01,IMTXW
4.0436,4.0436,4.0436,4.0436,100,2020-06-01 10:34:00,2020-06-01,IMTXW
4.0,4.0,3.95,3.95,500,2020-06-01 10:35:00,2020-06-01,IMTXW
3.99,4.0,3.99,4.0,300,2020-06-01 10:36:00,2020-06-01,IMTXW
3.9505,3.9505,3.9505,3.9505,499,2020-06-01 10:37:00,2020-06-01,IMTXW
4.0,4.0,4.0,4.0,400,2020-06-01 10:40:00,2020-06-01,IMTXW
3.9618,3.9618,3.9618,3.9618,4166,2020-06-01 10:53:00,2020-06-01,IMTXW
3.95,3.95,3.81,3.81,400,2020-06-01 10:56:00,2020-06-01,IMTXW
3.85,3.9,3.85,3.9,200,2020-06-01 11:14:00,2020-06-01,IMTXW
3.99,3.99,3.99,3.99,100,2020-06-01 11:16:00,2020-06-01,IMTXW
4.0,4.0,4.0,4.0,201,2020-06-01 11:20:00,2020-06-01,IMTXW
3.99,4.0,3.99,4.0,1007,2020-06-01 11:31:00,2020-06-01,IMTXW
3.9499,3.9499,3.9499,3.9499,100,2020-06-01 11:33:00,2020-06-01,IMTXW
4.0,4.0,4.0,4.0,3950,2020-06-01 11:42:00,2020-06-01,IMTXW
4.0,4.0,4.0,4.0,200,2020-06-01 11:44:00,2020-06-01,IMTXW
3.98,3.98,3.98,3.98,100,2020-06-01 11:48:00,2020-06-01,IMTXW
3.95,3.95,3.92,3.92,500,2020-06-01 12:02:00,2020-06-01,IMTXW
3.9,3.9,3.9,3.9,750,2020-06-01 12:11:00,2020-06-01,IMTXW
3.8,3.8,3.8,3.8,200,2020-06-01 12:34:00,2020-06-01,IMTXW
3.825,3.89,3.825,3.89,500,2020-06-01 12:43:00,2020-06-01,IMTXW
3.89,3.89,3.89,3.89,464,2020-06-01 13:37:00,2020-06-01,IMTXW
