open,high,low,close,volume,datetime,date,ticker
25.93,25.93,25.66,25.67,873,2020-06-01 09:30:00,2020-06-01,IMVT
25.89,25.89,25.89,25.89,300,2020-06-01 09:31:00,2020-06-01,IMVT
27.21,27.21,25.86,26.43,3300,2020-06-01 09:33:00,2020-06-01,IMVT
26.25,27.135,26.25,26.43,1200,2020-06-01 09:34:00,2020-06-01,IMVT
26.4,26.4,26.03,26.39,600,2020-06-01 09:37:00,2020-06-01,IMVT
26.0,26.025,26.0,26.025,400,2020-06-01 09:39:00,2020-06-01,IMVT
26.025,26.39,26.025,26.39,200,2020-06-01 09:41:00,2020-06-01,IMVT
26.23,26.23,26.22,26.22,200,2020-06-01 09:43:00,2020-06-01,IMVT
26.27,26.39,26.16,26.26,2500,2020-06-01 09:44:00,2020-06-01,IMVT
26.4,26.9,26.38,26.52,2700,2020-06-01 09:45:00,2020-06-01,IMVT
26.64,26.64,26.64,26.64,200,2020-06-01 09:46:00,2020-06-01,IMVT
26.66,26.66,26.66,26.66,100,2020-06-01 09:47:00,2020-06-01,IMVT
26.64,26.9,26.57,26.9,1400,2020-06-01 09:48:00,2020-06-01,IMVT
26.735,26.735,26.735,26.735,100,2020-06-01 09:49:00,2020-06-01,IMVT
26.735,27.18,26.735,27.0,2416,2020-06-01 09:50:00,2020-06-01,IMVT
27.0,27.09,26.945,26.945,600,2020-06-01 09:51:00,2020-06-01,IMVT
26.945,27.18,26.88,26.905,7718,2020-06-01 09:52:00,2020-06-01,IMVT
26.955,27.0,26.955,26.965,900,2020-06-01 09:53:00,2020-06-01,IMVT
27.08,27.08,26.965,26.965,900,2020-06-01 09:54:00,2020-06-01,IMVT
27.0,27.0,26.965,26.965,200,2020-06-01 09:56:00,2020-06-01,IMVT
26.965,27.1,26.84,26.915,15987,2020-06-01 09:57:00,2020-06-01,IMVT
26.915,26.915,26.62,26.6498,1652,2020-06-01 10:00:00,2020-06-01,IMVT
26.56,26.6,26.56,26.6,200,2020-06-01 10:02:00,2020-06-01,IMVT
26.56,26.56,26.56,26.56,200,2020-06-01 10:03:00,2020-06-01,IMVT
26.63,26.715,26.63,26.715,200,2020-06-01 10:04:00,2020-06-01,IMVT
26.76,26.805,26.76,26.805,1000,2020-06-01 10:07:00,2020-06-01,IMVT
26.86,26.86,26.78,26.815,1500,2020-06-01 10:09:00,2020-06-01,IMVT
26.78,26.82,26.77,26.81,2000,2020-06-01 10:10:00,2020-06-01,IMVT
26.84,26.85,26.81,26.82,1900,2020-06-01 10:11:00,2020-06-01,IMVT
26.79,26.79,26.79,26.79,100,2020-06-01 10:12:00,2020-06-01,IMVT
26.85,26.85,26.85,26.85,200,2020-06-01 10:13:00,2020-06-01,IMVT
26.82,27.095,26.82,27.02,5649,2020-06-01 10:14:00,2020-06-01,IMVT
27.11,27.11,27.11,27.11,500,2020-06-01 10:15:00,2020-06-01,IMVT
27.11,27.11,27.11,27.11,100,2020-06-01 10:17:00,2020-06-01,IMVT
27.17,27.17,27.11,27.11,200,2020-06-01 10:18:00,2020-06-01,IMVT
27.11,27.64,27.04,27.61,5509,2020-06-01 10:19:00,2020-06-01,IMVT
27.62,27.63,27.61,27.61,3212,2020-06-01 10:20:00,2020-06-01,IMVT
27.63,27.63,27.61,27.61,1000,2020-06-01 10:21:00,2020-06-01,IMVT
27.62,27.62,27.61,27.61,300,2020-06-01 10:22:00,2020-06-01,IMVT
27.61,27.61,27.61,27.61,300,2020-06-01 10:23:00,2020-06-01,IMVT
27.61,27.61,27.0,27.1,19561,2020-06-01 10:24:00,2020-06-01,IMVT
27.34,27.34,27.31,27.31,1500,2020-06-01 10:25:00,2020-06-01,IMVT
27.3,27.3,27.3,27.3,800,2020-06-01 10:26:00,2020-06-01,IMVT
27.255,27.255,27.255,27.255,100,2020-06-01 10:28:00,2020-06-01,IMVT
27.245,27.245,27.23,27.235,1048,2020-06-01 10:29:00,2020-06-01,IMVT
27.3,27.3095,27.235,27.3,1100,2020-06-01 10:30:00,2020-06-01,IMVT
27.305,27.42,27.21,27.25,13452,2020-06-01 10:31:00,2020-06-01,IMVT
27.24,27.24,27.24,27.24,400,2020-06-01 10:32:00,2020-06-01,IMVT
27.25,27.25,27.21,27.21,1000,2020-06-01 10:34:00,2020-06-01,IMVT
27.3,27.3,27.3,27.3,100,2020-06-01 10:36:00,2020-06-01,IMVT
27.36,27.36,27.3,27.36,1500,2020-06-01 10:37:00,2020-06-01,IMVT
27.42,27.42,27.42,27.42,100,2020-06-01 10:38:00,2020-06-01,IMVT
27.25,27.26,27.225,27.225,700,2020-06-01 10:39:00,2020-06-01,IMVT
27.23,27.23,27.23,27.23,500,2020-06-01 10:40:00,2020-06-01,IMVT
