open,high,low,close,volume,datetime,date,ticker
14.81,14.81,14.7,14.705,20888,2020-06-01 09:30:00,2020-06-01,JEF
14.74,14.7475,14.71,14.7475,300,2020-06-01 09:31:00,2020-06-01,JEF
14.72,14.815,14.72,14.75,4050,2020-06-01 09:32:00,2020-06-01,JEF
14.73,14.85,14.73,14.85,4050,2020-06-01 09:33:00,2020-06-01,JEF
14.85,14.85,14.77,14.81,6509,2020-06-01 09:34:00,2020-06-01,JEF
14.83,14.86,14.78,14.83,24757,2020-06-01 09:35:00,2020-06-01,JEF
14.825,14.85,14.82,14.82,3053,2020-06-01 09:36:00,2020-06-01,JEF
14.83,14.83,14.82,14.83,3718,2020-06-01 09:37:00,2020-06-01,JEF
14.85,14.87,14.81,14.81,8701,2020-06-01 09:38:00,2020-06-01,JEF
14.8,14.86,14.8,14.86,8765,2020-06-01 09:39:00,2020-06-01,JEF
14.87,14.885,14.8641,14.885,7656,2020-06-01 09:40:00,2020-06-01,JEF
14.88,14.88,14.855,14.855,7241,2020-06-01 09:41:00,2020-06-01,JEF
14.865,14.88,14.84,14.875,12653,2020-06-01 09:42:00,2020-06-01,JEF
14.88,14.88,14.86,14.865,8600,2020-06-01 09:43:00,2020-06-01,JEF
14.87,14.87,14.84,14.85,4600,2020-06-01 09:44:00,2020-06-01,JEF
14.835,14.86,14.83,14.86,11155,2020-06-01 09:45:00,2020-06-01,JEF
14.85,14.85,14.82,14.83,5285,2020-06-01 09:46:00,2020-06-01,JEF
14.82,14.835,14.81,14.825,24087,2020-06-01 09:47:00,2020-06-01,JEF
14.82,14.825,14.8,14.8,5251,2020-06-01 09:48:00,2020-06-01,JEF
14.8,14.83,14.8,14.825,4228,2020-06-01 09:49:00,2020-06-01,JEF
14.825,14.87,14.825,14.865,16580,2020-06-01 09:50:00,2020-06-01,JEF
14.87,14.88,14.845,14.845,12728,2020-06-01 09:51:00,2020-06-01,JEF
14.845,14.8473,14.815,14.8473,9791,2020-06-01 09:52:00,2020-06-01,JEF
14.85,14.865,14.84,14.865,10123,2020-06-01 09:53:00,2020-06-01,JEF
14.86,14.86,14.825,14.845,2950,2020-06-01 09:54:00,2020-06-01,JEF
14.85,14.85,14.835,14.835,16984,2020-06-01 09:55:00,2020-06-01,JEF
14.835,14.835,14.79,14.79,16500,2020-06-01 09:56:00,2020-06-01,JEF
14.785,14.815,14.77,14.79,7462,2020-06-01 09:57:00,2020-06-01,JEF
14.8,14.81,14.8,14.8,2750,2020-06-01 09:58:00,2020-06-01,JEF
14.7916,14.81,14.7916,14.8,7275,2020-06-01 09:59:00,2020-06-01,JEF
14.8,14.83,14.79,14.82,29925,2020-06-01 10:00:00,2020-06-01,JEF
14.825,14.86,14.82,14.855,6794,2020-06-01 10:01:00,2020-06-01,JEF
14.855,14.875,14.84,14.84,8200,2020-06-01 10:02:00,2020-06-01,JEF
14.84,14.84,14.78,14.8,8908,2020-06-01 10:03:00,2020-06-01,JEF
14.815,14.83,14.81,14.82,2843,2020-06-01 10:04:00,2020-06-01,JEF
14.825,14.835,14.825,14.835,6416,2020-06-01 10:05:00,2020-06-01,JEF
14.84,14.85,14.8213,14.8213,5609,2020-06-01 10:06:00,2020-06-01,JEF
14.82,14.825,14.82,14.825,1053,2020-06-01 10:07:00,2020-06-01,JEF
14.825,14.83,14.8,14.8,2600,2020-06-01 10:08:00,2020-06-01,JEF
14.8,14.82,14.8,14.82,4805,2020-06-01 10:09:00,2020-06-01,JEF
14.82,14.835,14.815,14.82,4738,2020-06-01 10:10:00,2020-06-01,JEF
14.82,14.83,14.805,14.82,7673,2020-06-01 10:11:00,2020-06-01,JEF
14.83,14.88,14.82,14.88,11350,2020-06-01 10:12:00,2020-06-01,JEF
14.88,14.88,14.865,14.875,2300,2020-06-01 10:13:00,2020-06-01,JEF
