open,high,low,close,volume,datetime,date,ticker
0.35,0.35,0.35,0.35,10000,2020-06-01 09:30:00,2020-06-01,LACQW
0.34,0.34,0.34,0.34,1000,2020-06-01 10:18:00,2020-06-01,LACQW
0.3399,0.3399,0.3399,0.3399,500,2020-06-01 11:12:00,2020-06-01,LACQW
0.29,0.29,0.29,0.29,1000,2020-06-01 13:11:00,2020-06-01,LACQW
0.34,0.34,0.34,0.34,775,2020-06-01 18:57:00,2020-06-01,LACQW
0.3769,0.3769,0.3769,0.3769,1500,2020-06-02 09:32:00,2020-06-02,LACQW
0.36849899999999997,0.36849899999999997,0.36849899999999997,0.36849899999999997,100,2020-06-02 09:39:00,2020-06-02,LACQW
0.3769,0.3769,0.36349899999999996,0.36349899999999996,3300,2020-06-02 09:45:00,2020-06-02,LACQW
0.3769,0.3769,0.3769,0.3769,100,2020-06-02 10:08:00,2020-06-02,LACQW
0.3769,0.3769,0.376745,0.3769,1900,2020-06-02 10:15:00,2020-06-02,LACQW
0.3769,0.3769,0.3769,0.3769,2600,2020-06-02 10:16:00,2020-06-02,LACQW
0.3737,0.3737,0.3737,0.3737,1000,2020-06-02 10:17:00,2020-06-02,LACQW
0.3769,0.3769,0.376745,0.376745,200,2020-06-02 10:19:00,2020-06-02,LACQW
0.375,0.375,0.375,0.375,5100,2020-06-02 10:36:00,2020-06-02,LACQW
0.3769,0.3769,0.3769,0.3769,3000,2020-06-02 10:37:00,2020-06-02,LACQW
0.3724,0.3724,0.3724,0.3724,500,2020-06-02 10:56:00,2020-06-02,LACQW
0.376899,0.3769,0.376745,0.376745,1900,2020-06-02 11:13:00,2020-06-02,LACQW
0.3769,0.3769,0.3769,0.3769,1000,2020-06-02 11:16:00,2020-06-02,LACQW
0.3769,0.3769,0.376745,0.3769,10100,2020-06-02 11:33:00,2020-06-02,LACQW
0.36,0.36,0.36,0.36,1560,2020-06-02 11:36:00,2020-06-02,LACQW
0.3201,0.3201,0.3201,0.3201,500,2020-06-02 11:51:00,2020-06-02,LACQW
0.35989899999999997,0.36,0.3594,0.3594,700,2020-06-02 12:06:00,2020-06-02,LACQW
0.36,0.36,0.3456,0.3456,600,2020-06-02 13:16:00,2020-06-02,LACQW
0.355,0.355,0.354626,0.354626,200,2020-06-02 13:32:00,2020-06-02,LACQW
0.36,0.36,0.3375,0.3375,10600,2020-06-02 13:52:00,2020-06-02,LACQW
0.345,0.345,0.344776,0.344776,800,2020-06-02 13:55:00,2020-06-02,LACQW
0.345,0.345,0.3449,0.3449,400,2020-06-02 13:57:00,2020-06-02,LACQW
0.345,0.345,0.344776,0.344776,400,2020-06-02 13:59:00,2020-06-02,LACQW
0.36,0.36,0.3599,0.3599,200,2020-06-02 14:06:00,2020-06-02,LACQW
0.36,0.36,0.3599,0.3599,400,2020-06-02 14:09:00,2020-06-02,LACQW
0.36,0.36,0.35985100000000003,0.35985100000000003,600,2020-06-02 14:11:00,2020-06-02,LACQW
0.3512,0.3512,0.3511,0.3511,400,2020-06-02 14:12:00,2020-06-02,LACQW
0.36,0.36,0.3599,0.3599,2200,2020-06-02 14:17:00,2020-06-02,LACQW
0.3503,0.3503,0.3502,0.3502,400,2020-06-02 14:19:00,2020-06-02,LACQW
0.35745,0.35745,0.35745,0.35745,100,2020-06-02 14:30:00,2020-06-02,LACQW
0.36,0.36,0.35985100000000003,0.35985100000000003,200,2020-06-02 14:31:00,2020-06-02,LACQW
0.36,0.36,0.351601,0.36,3900,2020-06-02 14:35:00,2020-06-02,LACQW
0.36,0.36,0.3599,0.3599,2000,2020-06-02 14:36:00,2020-06-02,LACQW
0.3501,0.36,0.350099,0.350099,2000,2020-06-02 14:47:00,2020-06-02,LACQW
0.3503,0.36,0.3502,0.3549,3250,2020-06-02 14:49:00,2020-06-02,LACQW
0.36,0.36,0.3599,0.3599,200,2020-06-02 15:05:00,2020-06-02,LACQW
0.36,0.36,0.3599,0.3599,1724,2020-06-02 15:14:00,2020-06-02,LACQW
0.36,0.36,0.3585,0.3585,2000,2020-06-02 15:18:00,2020-06-02,LACQW
0.350101,0.350101,0.35,0.35,1200,2020-06-02 15:49:00,2020-06-02,LACQW
0.35,0.35,0.35,0.35,118,2020-06-02 15:51:00,2020-06-02,LACQW
