open,high,low,close,volume,datetime,date,ticker
0.4,0.4,0.4,0.4,100,2020-06-01 14:59:00,2020-06-01,LAZYW
0.35,0.35,0.35,0.35,200,2020-06-02 10:31:00,2020-06-02,LAZYW
0.22,0.22,0.22,0.22,100,2020-06-03 14:07:00,2020-06-03,LAZYW
0.3,0.3,0.3,0.3,900,2020-06-03 14:19:00,2020-06-03,LAZYW
0.3,0.3,0.3,0.3,3400,2020-06-04 13:05:00,2020-06-04,LAZYW
0.35,0.35,0.35,0.35,1600,2020-06-04 13:19:00,2020-06-04,LAZYW
0.298,0.3,0.298,0.3,5000,2020-06-08 09:51:00,2020-06-08,LAZYW
0.3,0.3,0.3,0.3,2000,2020-06-08 11:12:00,2020-06-08,LAZYW
0.26,0.3,0.26,0.3,5000,2020-06-08 14:15:00,2020-06-08,LAZYW
0.3,0.3,0.3,0.3,3000,2020-06-08 14:30:00,2020-06-08,LAZYW
0.3,0.3,0.3,0.3,1670,2020-06-09 11:29:00,2020-06-09,LAZYW
0.3,0.3,0.3,0.3,1600,2020-06-09 12:33:00,2020-06-09,LAZYW
0.35,0.35,0.35,0.35,2500,2020-06-10 09:30:00,2020-06-10,LAZYW
0.45,0.45,0.45,0.45,1000,2020-06-10 09:32:00,2020-06-10,LAZYW
0.36,0.36,0.36,0.36,1230,2020-06-10 09:51:00,2020-06-10,LAZYW
0.36,0.36,0.35,0.36,5926,2020-06-10 11:01:00,2020-06-10,LAZYW
0.35,0.35,0.35,0.35,5926,2020-06-10 11:02:00,2020-06-10,LAZYW
0.36,0.36,0.36,0.36,1005,2020-06-10 11:19:00,2020-06-10,LAZYW
0.35,0.35,0.35,0.35,1005,2020-06-10 11:20:00,2020-06-10,LAZYW
0.36,0.36,0.36,0.36,5850,2020-06-10 11:38:00,2020-06-10,LAZYW
0.35,0.35,0.35,0.35,5900,2020-06-10 11:39:00,2020-06-10,LAZYW
0.36,0.36,0.36,0.36,2344,2020-06-10 11:50:00,2020-06-10,LAZYW
0.36,0.36,0.35,0.35,22300,2020-06-10 11:51:00,2020-06-10,LAZYW
0.36,0.36,0.36,0.36,1005,2020-06-10 12:48:00,2020-06-10,LAZYW
0.4,0.4,0.4,0.4,100,2020-06-10 12:54:00,2020-06-10,LAZYW
