open,high,low,close,volume,datetime,date,ticker
0.3799,0.38,0.3799,0.3799,6398,2020-06-01 10:55:00,2020-06-01,NFINW
0.395,0.395,0.395,0.395,700,2020-06-01 11:01:00,2020-06-01,NFINW
0.3925,0.39495,0.3925,0.39495,5000,2020-06-01 11:39:00,2020-06-01,NFINW
0.3925,0.395,0.3925,0.395,10400,2020-06-01 11:40:00,2020-06-01,NFINW
0.3925,0.3949,0.3925,0.3925,9800,2020-06-01 11:41:00,2020-06-01,NFINW
0.3925,0.3949,0.3925,0.3925,5000,2020-06-01 11:43:00,2020-06-01,NFINW
0.394899,0.394899,0.3915,0.3915,1301,2020-06-01 11:44:00,2020-06-01,NFINW
0.392499,0.392499,0.392499,0.392499,500,2020-06-01 11:49:00,2020-06-01,NFINW
0.3925,0.395,0.3925,0.395,4692,2020-06-01 12:13:00,2020-06-01,NFINW
0.39,0.39,0.36,0.36,364,2020-06-01 12:38:00,2020-06-01,NFINW
0.36,0.36,0.36,0.36,20908,2020-06-01 13:41:00,2020-06-01,NFINW
0.4,0.41,0.4,0.41,17000,2020-06-02 10:10:00,2020-06-02,NFINW
0.4,0.41,0.4,0.4,5500,2020-06-02 10:11:00,2020-06-02,NFINW
0.41,0.41,0.40999,0.40999,4000,2020-06-02 11:10:00,2020-06-02,NFINW
0.43,0.43,0.43,0.43,100,2020-06-02 12:36:00,2020-06-02,NFINW
0.4,0.4,0.4,0.4,700,2020-06-02 12:50:00,2020-06-02,NFINW
0.4,0.42,0.4,0.42,4900,2020-06-02 12:59:00,2020-06-02,NFINW
0.42,0.42,0.42,0.42,100,2020-06-02 13:28:00,2020-06-02,NFINW
0.4270000000000001,0.4270000000000001,0.4270000000000001,0.4270000000000001,1000,2020-06-03 10:12:00,2020-06-03,NFINW
0.4,0.4,0.4,0.4,1000,2020-06-05 15:39:00,2020-06-05,NFINW
0.392,0.392,0.392,0.392,1000,2020-06-05 15:41:00,2020-06-05,NFINW
0.42,0.42,0.42,0.42,100,2020-06-08 09:30:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 09:35:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 09:42:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 09:49:00,2020-06-08,NFINW
0.375,0.42,0.375,0.42,200,2020-06-08 09:57:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 10:05:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 10:15:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 10:24:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 10:35:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 10:45:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,104,2020-06-08 10:57:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 11:09:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 11:21:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 11:34:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,200,2020-06-08 11:48:00,2020-06-08,NFINW
0.42,0.42,0.42,0.42,104,2020-06-08 12:02:00,2020-06-08,NFINW
0.43,0.43,0.43,0.43,200,2020-06-08 12:17:00,2020-06-08,NFINW
0.43,0.43,0.43,0.43,200,2020-06-08 12:33:00,2020-06-08,NFINW
0.43,0.43,0.43,0.43,200,2020-06-08 12:48:00,2020-06-08,NFINW
0.43,0.43,0.43,0.43,200,2020-06-08 13:05:00,2020-06-08,NFINW
0.43,0.43,0.43,0.43,4104,2020-06-08 13:15:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 13:22:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 13:39:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 13:56:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 14:12:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 14:28:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 14:44:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 14:58:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,200,2020-06-08 15:11:00,2020-06-08,NFINW
0.44,0.44,0.44,0.44,16500,2020-06-08 15:19:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,200,2020-06-08 15:23:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,10000,2020-06-08 15:24:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,200,2020-06-08 15:33:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,200,2020-06-08 15:42:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,100,2020-06-08 15:46:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,200,2020-06-08 15:49:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,20200,2020-06-08 15:53:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,9700,2020-06-08 15:55:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,100,2020-06-08 15:56:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,100,2020-06-08 15:57:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,100,2020-06-08 15:58:00,2020-06-08,NFINW
0.45,0.45,0.45,0.45,100,2020-06-09 09:57:00,2020-06-09,NFINW
0.45,0.54,0.45,0.54,10000,2020-06-09 14:19:00,2020-06-09,NFINW
0.5399,0.5399,0.465,0.465,250,2020-06-09 14:20:00,2020-06-09,NFINW
0.53,0.53,0.53,0.53,200,2020-06-10 09:30:00,2020-06-10,NFINW
0.53,0.6,0.53,0.573,528,2020-06-10 09:42:00,2020-06-10,NFINW
0.58,0.58,0.58,0.58,1000,2020-06-10 11:28:00,2020-06-10,NFINW
0.6,0.64,0.6,0.64,440,2020-06-10 11:58:00,2020-06-10,NFINW
0.56,0.64,0.56,0.59,2000,2020-06-10 12:26:00,2020-06-10,NFINW
0.59,0.59,0.59,0.59,1500,2020-06-10 12:30:00,2020-06-10,NFINW
0.623737,0.623737,0.623737,0.623737,500,2020-06-10 12:32:00,2020-06-10,NFINW
0.62,0.62,0.62,0.62,1800,2020-06-10 13:02:00,2020-06-10,NFINW
0.64,0.64,0.64,0.64,500,2020-06-10 13:07:00,2020-06-10,NFINW
0.65,0.65,0.65,0.65,500,2020-06-10 13:10:00,2020-06-10,NFINW
0.68,0.68,0.66,0.68,2000,2020-06-10 13:13:00,2020-06-10,NFINW
0.62,0.62,0.62,0.62,500,2020-06-10 13:15:00,2020-06-10,NFINW
0.62,0.64,0.35,0.571615,17558,2020-06-10 13:16:00,2020-06-10,NFINW
0.5641,0.5641,0.5641,0.5641,500,2020-06-10 13:17:00,2020-06-10,NFINW
0.57,0.57,0.545,0.545,2100,2020-06-10 13:21:00,2020-06-10,NFINW
0.64,0.64,0.64,0.64,500,2020-06-10 13:43:00,2020-06-10,NFINW
0.6,0.6,0.6,0.6,300,2020-06-10 13:53:00,2020-06-10,NFINW
0.555,0.555,0.555,0.555,4790,2020-06-10 15:12:00,2020-06-10,NFINW
0.55,0.55,0.54,0.54,200,2020-06-10 15:18:00,2020-06-10,NFINW
0.53,0.53,0.53,0.53,100,2020-06-10 15:24:00,2020-06-10,NFINW
0.52,0.54,0.52,0.54,1000,2020-06-10 15:41:00,2020-06-10,NFINW
0.52,0.539,0.52,0.539,1000,2020-06-10 15:42:00,2020-06-10,NFINW
0.51,0.515,0.5,0.5,1600,2020-06-10 15:43:00,2020-06-10,NFINW
0.5,0.5,0.5,0.5,500,2020-06-10 15:55:00,2020-06-10,NFINW
0.5,0.5,0.5,0.5,500,2020-06-10 15:56:00,2020-06-10,NFINW
0.5,0.5,0.5,0.5,500,2020-06-10 15:58:00,2020-06-10,NFINW
0.5,0.5,0.5,0.5,960,2020-06-11 15:23:00,2020-06-11,NFINW
0.48,0.48,0.42,0.42,400,2020-06-11 15:43:00,2020-06-11,NFINW
0.45,0.45,0.45,0.45,800,2020-06-11 15:44:00,2020-06-11,NFINW
0.54,0.54,0.54,0.54,371,2020-06-12 09:30:00,2020-06-12,NFINW
0.65,0.65,0.65,0.65,629,2020-06-12 09:35:00,2020-06-12,NFINW
0.46,0.46,0.46,0.46,220,2020-06-12 10:37:00,2020-06-12,NFINW
0.46,0.46,0.45,0.45,1660,2020-06-12 10:57:00,2020-06-12,NFINW
0.42,0.42,0.42,0.42,689,2020-06-12 10:58:00,2020-06-12,NFINW
0.43,0.45,0.43,0.43,70939,2020-06-12 12:40:00,2020-06-12,NFINW
0.45,0.45,0.45,0.45,970,2020-06-12 12:59:00,2020-06-12,NFINW
0.55,0.55,0.55,0.55,7560,2020-06-12 14:36:00,2020-06-12,NFINW
0.51,0.51,0.51,0.51,2000,2020-06-12 15:11:00,2020-06-12,NFINW
0.475101,0.475101,0.475101,0.475101,1000,2020-06-12 15:17:00,2020-06-12,NFINW
0.4,0.4,0.4,0.4,600,2020-06-15 10:14:00,2020-06-15,NFINW
0.46,0.46,0.46,0.46,100,2020-06-15 10:31:00,2020-06-15,NFINW
0.505,0.505,0.505,0.505,400,2020-06-15 11:14:00,2020-06-15,NFINW
0.49,0.49,0.49,0.49,100,2020-06-15 13:54:00,2020-06-15,NFINW
0.505,0.505,0.505,0.505,430,2020-06-15 14:05:00,2020-06-15,NFINW
0.5,0.5,0.5,0.5,100,2020-06-15 14:54:00,2020-06-15,NFINW
0.514,0.514,0.514,0.514,300,2020-06-15 15:16:00,2020-06-15,NFINW
0.52,0.52,0.52,0.52,210,2020-06-15 15:42:00,2020-06-15,NFINW
0.52,0.52,0.52,0.52,2000,2020-06-16 14:30:00,2020-06-16,NFINW
0.529999,0.529999,0.529999,0.529999,500,2020-06-17 10:07:00,2020-06-17,NFINW
0.54,0.54,0.54,0.54,1000,2020-06-17 10:23:00,2020-06-17,NFINW
0.53,0.54,0.53,0.53,74200,2020-06-17 10:25:00,2020-06-17,NFINW
0.53,0.54,0.53,0.53,25800,2020-06-17 10:26:00,2020-06-17,NFINW
0.53,0.53,0.53,0.53,460,2020-06-17 10:43:00,2020-06-17,NFINW
0.53,0.53,0.53,0.53,188,2020-06-17 10:58:00,2020-06-17,NFINW
0.53,0.53,0.53,0.53,500,2020-06-17 11:16:00,2020-06-17,NFINW
0.523,0.523,0.523,0.523,300,2020-06-17 11:18:00,2020-06-17,NFINW
0.5061,0.523,0.5,0.5,75100,2020-06-17 11:44:00,2020-06-17,NFINW
0.52,0.52,0.52,0.52,800,2020-06-17 11:45:00,2020-06-17,NFINW
0.53,0.55,0.53,0.55,25200,2020-06-17 12:59:00,2020-06-17,NFINW
0.6,0.6,0.6,0.6,300,2020-06-17 13:10:00,2020-06-17,NFINW
0.63,0.63,0.63,0.63,400,2020-06-17 13:22:00,2020-06-17,NFINW
0.585,0.585,0.585,0.585,1346,2020-06-17 13:28:00,2020-06-17,NFINW
0.64,0.64,0.64,0.64,200,2020-06-17 14:42:00,2020-06-17,NFINW
0.5301,0.5301,0.53,0.53,1000,2020-06-17 15:06:00,2020-06-17,NFINW
0.54,0.54,0.54,0.54,241,2020-06-17 15:47:00,2020-06-17,NFINW
0.6,0.6,0.6,0.6,100,2020-06-18 09:34:00,2020-06-18,NFINW
0.6,0.6,0.595,0.6,1000,2020-06-18 10:04:00,2020-06-18,NFINW
0.595,0.595,0.595,0.595,1000,2020-06-18 10:06:00,2020-06-18,NFINW
0.595,0.595,0.595,0.595,677,2020-06-18 10:11:00,2020-06-18,NFINW
0.5722,0.5722,0.5722,0.5722,1388,2020-06-18 10:14:00,2020-06-18,NFINW
0.6,0.6,0.6,0.6,100,2020-06-18 10:35:00,2020-06-18,NFINW
0.525,0.5799,0.525,0.525,1197,2020-06-18 13:14:00,2020-06-18,NFINW
0.495153,0.495153,0.495153,0.495153,200,2020-06-18 13:15:00,2020-06-18,NFINW
0.58,0.58,0.58,0.58,1000,2020-06-18 13:20:00,2020-06-18,NFINW
0.58,0.58,0.58,0.58,100,2020-06-19 10:14:00,2020-06-19,NFINW
0.55,0.55,0.5,0.50005,1516,2020-06-19 11:07:00,2020-06-19,NFINW
0.5,0.5,0.5,0.5,200,2020-06-19 11:13:00,2020-06-19,NFINW
0.5201,0.5201,0.5201,0.5201,100,2020-06-19 12:22:00,2020-06-19,NFINW
0.55,0.58,0.55,0.55,13351,2020-06-19 13:05:00,2020-06-19,NFINW
0.58,0.58,0.58,0.58,9000,2020-06-19 13:50:00,2020-06-19,NFINW
0.52,0.52,0.48,0.48,2100,2020-06-19 14:03:00,2020-06-19,NFINW
