open,high,low,close,volume,datetime,date,ticker
0.133,0.133,0.133,0.133,122448,2020-06-01 09:22:00,2020-06-01,NSCO.WS
0.124,0.15,0.124,0.15,6000,2020-06-02 10:48:00,2020-06-02,NSCO.WS
0.17,0.17,0.17,0.17,100,2020-06-03 14:49:00,2020-06-03,NSCO.WS
0.175,0.175,0.175,0.175,200,2020-06-08 10:56:00,2020-06-08,NSCO.WS
0.175,0.175,0.175,0.175,200,2020-06-08 11:47:00,2020-06-08,NSCO.WS
0.17,0.17,0.17,0.17,200,2020-06-08 12:35:00,2020-06-08,NSCO.WS
0.17,0.1989,0.17,0.1989,27621,2020-06-08 12:44:00,2020-06-08,NSCO.WS
0.17,0.17,0.17,0.17,100,2020-06-08 13:22:00,2020-06-08,NSCO.WS
0.17,0.17,0.17,0.17,10205,2020-06-08 13:32:00,2020-06-08,NSCO.WS
0.17,0.17,0.17,0.17,3600,2020-06-08 13:33:00,2020-06-08,NSCO.WS
0.22,0.22,0.22,0.22,100,2020-06-08 13:54:00,2020-06-08,NSCO.WS
0.2,0.2,0.2,0.2,100,2020-06-08 14:26:00,2020-06-08,NSCO.WS
0.19,0.19,0.19,0.19,700,2020-06-08 15:00:00,2020-06-08,NSCO.WS
0.1767,0.1767,0.1688,0.1688,200,2020-06-10 13:51:00,2020-06-10,NSCO.WS
0.15,0.15,0.15,0.15,100,2020-06-10 13:52:00,2020-06-10,NSCO.WS
0.13,0.13,0.12,0.12,2000,2020-06-10 15:41:00,2020-06-10,NSCO.WS
0.11,0.11,0.11,0.11,10200,2020-06-11 13:36:00,2020-06-11,NSCO.WS
0.11,0.11,0.11,0.11,350,2020-06-11 14:05:00,2020-06-11,NSCO.WS
0.1023,0.1023,0.0977,0.0997,4700,2020-06-12 12:38:00,2020-06-12,NSCO.WS
0.1099,0.1099,0.1099,0.1099,893,2020-06-12 12:56:00,2020-06-12,NSCO.WS
0.11,0.11,0.11,0.11,800,2020-06-12 12:57:00,2020-06-12,NSCO.WS
0.103,0.103,0.103,0.103,263,2020-06-12 14:20:00,2020-06-12,NSCO.WS
0.11,0.11,0.1099,0.11,6783,2020-06-12 15:22:00,2020-06-12,NSCO.WS
0.11,0.11,0.11,0.11,14617,2020-06-12 15:23:00,2020-06-12,NSCO.WS
0.1023,0.1023,0.08,0.08,120409,2020-06-15 12:32:00,2020-06-15,NSCO.WS
0.11,0.11,0.101499,0.101499,9600,2020-06-15 13:39:00,2020-06-15,NSCO.WS
0.1101,0.1101,0.1101,0.1101,4000,2020-06-16 09:38:00,2020-06-16,NSCO.WS
0.1199,0.1199,0.1193,0.1193,200,2020-06-16 10:07:00,2020-06-16,NSCO.WS
0.133,0.133,0.1324,0.1324,200,2020-06-16 10:08:00,2020-06-16,NSCO.WS
0.1278,0.13,0.1278,0.13,2600,2020-06-16 10:49:00,2020-06-16,NSCO.WS
0.13,0.13,0.13,0.13,10100,2020-06-16 11:00:00,2020-06-16,NSCO.WS
0.13,0.13,0.13,0.13,10000,2020-06-16 11:11:00,2020-06-16,NSCO.WS
0.13,0.13,0.13,0.13,5000,2020-06-16 11:37:00,2020-06-16,NSCO.WS
