open,high,low,close,volume,datetime,date,ticker
0.08,0.08,0.08,0.08,2000,2020-06-01 13:39:00,2020-06-01,ORSNW
0.08,0.08,0.0799,0.0799,2000,2020-06-01 14:24:00,2020-06-01,ORSNW
0.08,0.08,0.08,0.08,20000,2020-06-02 11:03:00,2020-06-02,ORSNW
0.079899,0.08,0.079899,0.0799,900,2020-06-02 11:13:00,2020-06-02,ORSNW
0.08,0.08,0.08,0.08,1490,2020-06-03 11:32:00,2020-06-03,ORSNW
0.0889,0.0889,0.0889,0.0889,300,2020-06-03 15:05:00,2020-06-03,ORSNW
0.0889,0.0889,0.0889,0.0889,100,2020-06-03 15:07:00,2020-06-03,ORSNW
0.085,0.0889,0.085,0.0889,300,2020-06-03 15:13:00,2020-06-03,ORSNW
0.0889,0.0889,0.0888,0.0888,200,2020-06-04 13:07:00,2020-06-04,ORSNW
0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,300,2020-06-04 15:50:00,2020-06-04,ORSNW
0.07,0.07,0.07,0.07,780,2020-06-05 12:37:00,2020-06-05,ORSNW
0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,200,2020-06-08 11:13:00,2020-06-08,ORSNW
0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,200,2020-06-08 12:32:00,2020-06-08,ORSNW
0.08900000000000001,0.09,0.08900000000000001,0.09,20100,2020-06-08 12:57:00,2020-06-08,ORSNW
0.09,0.09,0.09,0.09,200,2020-06-08 13:52:00,2020-06-08,ORSNW
0.09,0.09,0.09,0.09,500,2020-06-08 14:10:00,2020-06-08,ORSNW
0.1,0.1,0.1,0.1,1000,2020-06-08 14:22:00,2020-06-08,ORSNW
0.109,0.109,0.109,0.109,3000,2020-06-08 14:24:00,2020-06-08,ORSNW
0.1319,0.1319,0.1319,0.1319,1000,2020-06-08 15:42:00,2020-06-08,ORSNW
0.12,0.12,0.12,0.12,7000,2020-06-08 15:49:00,2020-06-08,ORSNW
0.13,0.13,0.13,0.13,2000,2020-06-09 09:19:00,2020-06-09,ORSNW
0.141547,0.141547,0.141547,0.141547,1013,2020-06-09 11:20:00,2020-06-09,ORSNW
0.1489,0.16,0.1489,0.16,3400,2020-06-09 12:08:00,2020-06-09,ORSNW
0.17,0.17,0.17,0.17,100,2020-06-10 09:42:00,2020-06-10,ORSNW
0.19,0.19,0.19,0.19,1000,2020-06-10 09:46:00,2020-06-10,ORSNW
0.17,0.17,0.17,0.17,1800,2020-06-10 09:52:00,2020-06-10,ORSNW
0.17,0.17,0.17,0.17,100,2020-06-10 10:03:00,2020-06-10,ORSNW
0.19,0.19,0.19,0.19,200,2020-06-10 11:50:00,2020-06-10,ORSNW
0.19,0.19,0.19,0.19,300,2020-06-10 11:59:00,2020-06-10,ORSNW
0.19,0.1989,0.19,0.19,3750,2020-06-10 12:47:00,2020-06-10,ORSNW
0.23,0.23,0.23,0.23,1000,2020-06-10 13:57:00,2020-06-10,ORSNW
0.2,0.2,0.1846,0.1846,27500,2020-06-10 13:58:00,2020-06-10,ORSNW
0.23,0.29,0.23,0.29,5200,2020-06-10 15:31:00,2020-06-10,ORSNW
0.27,0.28,0.25,0.28,3000,2020-06-10 15:55:00,2020-06-10,ORSNW
0.3,0.3,0.3,0.3,4000,2020-06-10 17:34:00,2020-06-10,ORSNW
0.3,0.3,0.3,0.3,1000,2020-06-10 17:36:00,2020-06-10,ORSNW
0.35,0.35,0.35,0.35,200,2020-06-10 17:56:00,2020-06-10,ORSNW
0.28,0.28,0.28,0.28,6000,2020-06-10 18:01:00,2020-06-10,ORSNW
0.25,0.25,0.25,0.25,200,2020-06-10 18:04:00,2020-06-10,ORSNW
0.25,0.25,0.25,0.25,800,2020-06-10 18:05:00,2020-06-10,ORSNW
0.25,0.25,0.25,0.25,200,2020-06-10 18:50:00,2020-06-10,ORSNW
0.22,0.22,0.22,0.22,1000,2020-06-11 09:35:00,2020-06-11,ORSNW
0.2,0.2,0.2,0.2,100,2020-06-11 09:47:00,2020-06-11,ORSNW
0.2,0.2,0.2,0.2,400,2020-06-11 09:50:00,2020-06-11,ORSNW
0.194999,0.194999,0.194999,0.194999,100,2020-06-11 10:02:00,2020-06-11,ORSNW
0.19,0.19,0.19,0.19,1200,2020-06-11 10:04:00,2020-06-11,ORSNW
0.2,0.2,0.2,0.2,100,2020-06-11 10:06:00,2020-06-11,ORSNW
0.19,0.19,0.19,0.19,400,2020-06-11 10:07:00,2020-06-11,ORSNW
0.19,0.19,0.19,0.19,400,2020-06-11 10:08:00,2020-06-11,ORSNW
0.19,0.19,0.19,0.19,630,2020-06-11 10:11:00,2020-06-11,ORSNW
0.2,0.2,0.1999,0.1999,200,2020-06-11 10:31:00,2020-06-11,ORSNW
0.2,0.2,0.2,0.2,1500,2020-06-11 10:34:00,2020-06-11,ORSNW
0.2,0.2,0.2,0.2,5000,2020-06-11 10:35:00,2020-06-11,ORSNW
0.2,0.2,0.1999,0.1999,4320,2020-06-11 10:36:00,2020-06-11,ORSNW
0.25,0.25,0.24999,0.24999,5100,2020-06-11 10:52:00,2020-06-11,ORSNW
0.25,0.25,0.25,0.25,100,2020-06-11 10:53:00,2020-06-11,ORSNW
0.25,0.25,0.25,0.25,1000,2020-06-11 10:54:00,2020-06-11,ORSNW
0.25,0.25,0.25,0.25,1000,2020-06-11 10:57:00,2020-06-11,ORSNW
0.249899,0.249899,0.249899,0.249899,100,2020-06-11 11:06:00,2020-06-11,ORSNW
0.25,0.25,0.25,0.25,500,2020-06-11 11:16:00,2020-06-11,ORSNW
