open,high,low,close,volume,datetime,date,ticker
10.59,10.59,10.59,10.59,159,2020-06-01 14:20:00,2020-06-01,PACQ
10.47,10.47,10.47,10.47,100,2020-06-01 15:50:00,2020-06-01,PACQ
10.47,10.47,10.46,10.46,200,2020-06-02 09:49:00,2020-06-02,PACQ
10.72,10.72,10.72,10.72,200,2020-06-02 13:41:00,2020-06-02,PACQ
10.52,10.52,10.52,10.52,100,2020-06-02 15:59:00,2020-06-02,PACQ
11.18,11.18,11.18,11.18,200,2020-06-03 13:32:00,2020-06-03,PACQ
10.75,10.75,10.75,10.75,200,2020-06-03 13:53:00,2020-06-03,PACQ
10.45,10.45,10.45,10.45,100,2020-06-03 15:59:00,2020-06-03,PACQ
10.44,10.44,10.44,10.44,100,2020-06-04 10:16:00,2020-06-04,PACQ
10.44,10.44,10.44,10.44,200,2020-06-08 11:31:00,2020-06-08,PACQ
10.545,10.545,10.545,10.545,100,2020-06-08 11:59:00,2020-06-08,PACQ
10.43,10.44,10.43,10.43,2421,2020-06-08 13:23:00,2020-06-08,PACQ
10.43,10.43,10.43,10.43,535,2020-06-08 13:24:00,2020-06-08,PACQ
10.43,10.43,10.43,10.43,711,2020-06-08 13:27:00,2020-06-08,PACQ
10.43,10.43,10.43,10.43,100,2020-06-09 07:09:00,2020-06-09,PACQ
10.5,10.5,10.5,10.5,119,2020-06-11 09:46:00,2020-06-11,PACQ
10.51,10.51,10.51,10.51,800,2020-06-11 10:25:00,2020-06-11,PACQ
10.5,10.5,10.5,10.5,125,2020-06-11 10:31:00,2020-06-11,PACQ
10.45,10.45,10.45,10.45,700,2020-06-11 11:03:00,2020-06-11,PACQ
10.45,10.45,10.45,10.45,200,2020-06-11 11:31:00,2020-06-11,PACQ
10.46,10.46,10.46,10.46,750,2020-06-11 11:47:00,2020-06-11,PACQ
10.45,10.455,10.45,10.455,2200,2020-06-11 11:48:00,2020-06-11,PACQ
10.455,10.455,10.455,10.455,200,2020-06-11 11:49:00,2020-06-11,PACQ
10.47,10.47,10.47,10.47,10000,2020-06-11 11:50:00,2020-06-11,PACQ
10.47,10.47,10.47,10.47,10800,2020-06-11 11:51:00,2020-06-11,PACQ
10.45,10.45,10.45,10.45,100,2020-06-11 15:56:00,2020-06-11,PACQ
10.49,10.49,10.49,10.49,599,2020-06-12 15:28:00,2020-06-12,PACQ
10.62,10.66,10.62,10.65,3505,2020-06-15 10:41:00,2020-06-15,PACQ
10.6,10.6,10.6,10.6,205,2020-06-15 12:20:00,2020-06-15,PACQ
10.55,10.55,10.55,10.55,200,2020-06-16 09:56:00,2020-06-16,PACQ
10.4966,10.52,10.4966,10.52,200,2020-06-16 09:59:00,2020-06-16,PACQ
10.54,10.549000000000001,10.4966,10.4966,800,2020-06-16 10:00:00,2020-06-16,PACQ
10.54,10.54,10.49,10.49,400,2020-06-16 10:01:00,2020-06-16,PACQ
10.85,10.85,10.85,10.85,100,2020-06-16 10:02:00,2020-06-16,PACQ
10.95,10.95,10.95,10.95,200,2020-06-16 10:03:00,2020-06-16,PACQ
10.93,10.93,10.88,10.88,300,2020-06-16 10:04:00,2020-06-16,PACQ
10.6501,10.7313,10.6501,10.7313,300,2020-06-16 10:09:00,2020-06-16,PACQ
10.7148,10.7148,10.5927,10.5927,500,2020-06-16 10:11:00,2020-06-16,PACQ
10.6411,10.6561,10.54,10.6561,1200,2020-06-16 10:12:00,2020-06-16,PACQ
10.75,10.75,10.75,10.75,1070,2020-06-16 15:24:00,2020-06-16,PACQ
10.74,10.75,10.74,10.75,3680,2020-06-16 15:46:00,2020-06-16,PACQ
10.65,10.65,10.65,10.65,100,2020-06-17 12:41:00,2020-06-17,PACQ
11.31,11.31,11.31,11.31,800,2020-06-18 10:09:00,2020-06-18,PACQ
10.97,10.97,10.93,10.97,1010,2020-06-18 11:32:00,2020-06-18,PACQ
10.9499,10.9499,10.9499,10.9499,100,2020-06-19 09:33:00,2020-06-19,PACQ
10.71,10.71,10.71,10.71,355,2020-06-19 15:19:00,2020-06-19,PACQ
10.51,10.7438,10.51,10.7438,200,2020-06-22 09:52:00,2020-06-22,PACQ
10.7102,10.7102,10.7102,10.7102,100,2020-06-22 09:54:00,2020-06-22,PACQ
10.75,10.75,10.75,10.75,100,2020-06-22 10:30:00,2020-06-22,PACQ
10.6302,10.6302,10.6302,10.6302,165,2020-06-22 10:40:00,2020-06-22,PACQ
10.75,10.75,10.74,10.74,200,2020-06-22 11:11:00,2020-06-22,PACQ
10.59,10.59,10.59,10.59,200,2020-06-22 11:12:00,2020-06-22,PACQ
10.59,10.59,10.59,10.59,190,2020-06-22 11:57:00,2020-06-22,PACQ
10.75,10.75,10.75,10.75,100,2020-06-22 13:09:00,2020-06-22,PACQ
10.6585,10.6585,10.63,10.63,200,2020-06-22 15:57:00,2020-06-22,PACQ
10.63,10.63,10.63,10.63,100,2020-06-23 10:36:00,2020-06-23,PACQ
10.5301,10.63,10.5301,10.5507,300,2020-06-23 10:37:00,2020-06-23,PACQ
