open,high,low,close,volume,datetime,date,ticker
10.5,10.5,10.5,10.5,600,2020-06-15 14:27:00,2020-06-15,PCPL
10.55,10.55,10.55,10.55,4900,2020-06-15 14:28:00,2020-06-15,PCPL
10.45,10.45,10.25,10.25,2300,2020-06-15 14:31:00,2020-06-15,PCPL
10.16,10.16,10.03,10.03,8700,2020-06-15 14:33:00,2020-06-15,PCPL
10.05,10.05,10.05,10.05,1000,2020-06-15 15:02:00,2020-06-15,PCPL
10.05,10.05,10.05,10.05,9000,2020-06-15 15:03:00,2020-06-15,PCPL
10.05,10.05,9.95,9.95,8600,2020-06-15 15:04:00,2020-06-15,PCPL
9.9,9.9,9.9,9.9,1600,2020-06-15 15:05:00,2020-06-15,PCPL
9.9,9.9,9.9,9.9,20000,2020-06-15 15:06:00,2020-06-15,PCPL
9.86,9.86,9.86,9.86,7000,2020-06-15 15:12:00,2020-06-15,PCPL
9.9,9.9,9.9,9.9,55100,2020-06-15 15:45:00,2020-06-15,PCPL
9.95,9.95,9.95,9.95,100,2020-06-16 09:30:00,2020-06-16,PCPL
9.95,9.96,9.95,9.95,6935,2020-06-16 10:58:00,2020-06-16,PCPL
9.94,9.94,9.94,9.94,200,2020-06-16 11:01:00,2020-06-16,PCPL
10.0,10.0,10.0,10.0,1000,2020-06-16 11:54:00,2020-06-16,PCPL
10.01,10.01,10.01,10.01,4000,2020-06-16 12:21:00,2020-06-16,PCPL
10.01,10.01,10.01,10.01,1500,2020-06-16 12:23:00,2020-06-16,PCPL
10.02,10.03,10.02,10.03,2000,2020-06-16 12:42:00,2020-06-16,PCPL
10.01,10.04,9.915,10.02,11900,2020-06-16 13:06:00,2020-06-16,PCPL
9.9725,9.9725,9.915,9.915,1295,2020-06-16 13:07:00,2020-06-16,PCPL
9.9725,9.9725,9.9725,9.9725,800,2020-06-16 13:08:00,2020-06-16,PCPL
10.04,10.04,10.04,10.04,200,2020-06-16 15:04:00,2020-06-16,PCPL
10.0,10.0,10.0,10.0,1100,2020-06-16 15:06:00,2020-06-16,PCPL
10.03,10.03,10.03,10.03,7085,2020-06-16 15:56:00,2020-06-16,PCPL
10.01,10.01,10.005,10.005,44898,2020-06-16 15:57:00,2020-06-16,PCPL
10.0,10.0,10.0,10.0,100000,2020-06-16 15:59:00,2020-06-16,PCPL
10.99,10.99,10.99,10.99,100,2020-06-17 09:31:00,2020-06-17,PCPL
10.17,10.17,10.16,10.16,1400,2020-06-17 09:32:00,2020-06-17,PCPL
10.01,10.05,10.01,10.05,30000,2020-06-17 12:29:00,2020-06-17,PCPL
10.01,10.01,10.01,10.01,300000,2020-06-17 12:34:00,2020-06-17,PCPL
10.01,10.01,10.01,10.01,5000,2020-06-17 12:37:00,2020-06-17,PCPL
10.045,10.045,10.045,10.045,125,2020-06-17 14:43:00,2020-06-17,PCPL
10.117,10.117,10.117,10.117,200,2020-06-18 11:34:00,2020-06-18,PCPL
10.01,10.01,10.01,10.01,400,2020-06-18 13:34:00,2020-06-18,PCPL
10.025,10.025,10.025,10.025,100000,2020-06-18 15:39:00,2020-06-18,PCPL
10.0,10.025,10.0,10.025,101000,2020-06-18 15:48:00,2020-06-18,PCPL
10.03,10.03,10.03,10.03,2300,2020-06-18 15:49:00,2020-06-18,PCPL
10.03,10.03,10.03,10.03,17700,2020-06-18 15:50:00,2020-06-18,PCPL
9.78,10.045,9.78,10.045,10358,2020-06-18 15:53:00,2020-06-18,PCPL
10.02,10.02,10.01,10.01,400,2020-06-18 15:54:00,2020-06-18,PCPL
9.94,9.94,9.94,9.94,100,2020-06-19 10:01:00,2020-06-19,PCPL
10.05,10.05,10.05,10.05,100,2020-06-19 10:06:00,2020-06-19,PCPL
10.07,10.08,10.07,10.08,1600,2020-06-19 10:10:00,2020-06-19,PCPL
10.07,10.09,10.07,10.07,3800,2020-06-19 10:16:00,2020-06-19,PCPL
10.09,10.09,10.09,10.09,400,2020-06-19 10:17:00,2020-06-19,PCPL
10.07,10.07,10.07,10.07,200,2020-06-19 10:20:00,2020-06-19,PCPL
10.11,10.11,10.09,10.09,7700,2020-06-19 10:22:00,2020-06-19,PCPL
10.09,10.14,10.09,10.14,800,2020-06-19 10:23:00,2020-06-19,PCPL
10.135,10.135,10.11,10.11,5100,2020-06-19 10:28:00,2020-06-19,PCPL
10.17,10.17,10.09,10.17,700,2020-06-19 10:29:00,2020-06-19,PCPL
10.07,10.07,10.07,10.07,100,2020-06-19 10:58:00,2020-06-19,PCPL
10.03,10.03,10.03,10.03,2400,2020-06-19 12:22:00,2020-06-19,PCPL
10.04,10.04,10.03,10.03,11400,2020-06-19 12:23:00,2020-06-19,PCPL
10.04,10.04,10.03,10.03,2030,2020-06-19 15:58:00,2020-06-19,PCPL
10.1,10.1,10.1,10.1,157,2020-06-22 09:30:00,2020-06-22,PCPL
