open,high,low,close,volume,datetime,date,ticker
10.5,10.5,10.5,10.5,24600,2020-06-01 08:00:00,2020-06-01,SAMA
10.5,10.5,10.5,10.5,400,2020-06-01 08:01:00,2020-06-01,SAMA
10.51,10.51,10.5,10.5,2600,2020-06-01 08:05:00,2020-06-01,SAMA
10.5,10.5,10.5,10.5,100,2020-06-01 08:06:00,2020-06-01,SAMA
10.5,10.5,10.5,10.5,1000,2020-06-01 08:07:00,2020-06-01,SAMA
10.5,10.5,10.5,10.5,1000,2020-06-01 08:08:00,2020-06-01,SAMA
10.4999,10.4999,10.4999,10.4999,100,2020-06-01 08:10:00,2020-06-01,SAMA
10.4999,10.4999,10.4999,10.4999,100,2020-06-01 08:14:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,50000,2020-06-01 08:16:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,100,2020-06-01 08:19:00,2020-06-01,SAMA
10.45,10.5,10.42,10.5,21344,2020-06-01 08:20:00,2020-06-01,SAMA
10.5,10.5,10.49,10.5,77356,2020-06-01 08:21:00,2020-06-01,SAMA
10.5,10.5,10.4,10.4,7944,2020-06-01 08:22:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,50000,2020-06-01 08:23:00,2020-06-01,SAMA
10.4,10.45,10.39,10.39,5100,2020-06-01 08:25:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,600,2020-06-01 08:28:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,10000,2020-06-01 08:29:00,2020-06-01,SAMA
10.41,10.45,10.4,10.45,7200,2020-06-01 08:30:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,150000,2020-06-01 08:32:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,7300,2020-06-01 08:33:00,2020-06-01,SAMA
10.41,10.41,10.41,10.41,100,2020-06-01 08:34:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,25000,2020-06-01 08:39:00,2020-06-01,SAMA
10.41,10.45,10.4,10.42,52800,2020-06-01 08:41:00,2020-06-01,SAMA
10.45,10.45,10.42,10.45,15000,2020-06-01 08:42:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,100,2020-06-01 08:44:00,2020-06-01,SAMA
10.41,10.41,10.4,10.4,75500,2020-06-01 08:46:00,2020-06-01,SAMA
10.42,10.4499,10.4,10.4,85900,2020-06-01 08:47:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,60000,2020-06-01 08:48:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,25000,2020-06-01 08:49:00,2020-06-01,SAMA
10.4,10.42,10.4,10.4,76000,2020-06-01 08:50:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,200000,2020-06-01 08:51:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,50000,2020-06-01 08:52:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,1450,2020-06-01 08:58:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,3000,2020-06-01 08:59:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,350,2020-06-01 09:00:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,100,2020-06-01 09:02:00,2020-06-01,SAMA
10.38,10.38,10.38,10.38,500,2020-06-01 09:03:00,2020-06-01,SAMA
10.38,10.38,10.38,10.38,10000,2020-06-01 09:05:00,2020-06-01,SAMA
10.38,10.38,10.38,10.38,100,2020-06-01 09:06:00,2020-06-01,SAMA
10.38,10.38,10.38,10.38,100,2020-06-01 09:07:00,2020-06-01,SAMA
10.38,10.39,10.38,10.39,10200,2020-06-01 09:08:00,2020-06-01,SAMA
10.38,10.4,10.38,10.4,612100,2020-06-01 09:09:00,2020-06-01,SAMA
10.38,10.4,10.38,10.4,95000,2020-06-01 09:10:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,223000,2020-06-01 09:11:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,113347,2020-06-01 09:12:00,2020-06-01,SAMA
10.4,10.42,10.4,10.4,170400,2020-06-01 09:13:00,2020-06-01,SAMA
10.4,10.42,10.4,10.4,350000,2020-06-01 09:14:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,125000,2020-06-01 09:15:00,2020-06-01,SAMA
10.4,10.44,10.4,10.42,230800,2020-06-01 09:16:00,2020-06-01,SAMA
10.4,10.4,10.4,10.4,124499,2020-06-01 09:17:00,2020-06-01,SAMA
10.4,10.43,10.4,10.43,60500,2020-06-01 09:18:00,2020-06-01,SAMA
10.41,10.45,10.41,10.45,63100,2020-06-01 09:19:00,2020-06-01,SAMA
10.45,10.49,10.43,10.49,56535,2020-06-01 09:20:00,2020-06-01,SAMA
10.45,10.45,10.45,10.45,50000,2020-06-01 09:21:00,2020-06-01,SAMA
10.47,10.47,10.47,10.47,1000,2020-06-01 09:22:00,2020-06-01,SAMA
10.46,10.46,10.46,10.46,10000,2020-06-01 09:25:00,2020-06-01,SAMA
10.46,10.49,10.46,10.49,255623,2020-06-01 09:28:00,2020-06-01,SAMA
10.48,10.49,10.48,10.49,1200,2020-06-01 09:29:00,2020-06-01,SAMA
10.49,10.5,10.4635,10.47,72307,2020-06-01 09:30:00,2020-06-01,SAMA
10.47,10.47,10.47,10.47,50000,2020-06-01 09:31:00,2020-06-01,SAMA
