open,high,low,close,volume,datetime,date,ticker
17.03,17.03,17.03,17.03,146,2020-06-01 08:31:00,2020-06-01,SMPL
17.0196,17.02,17.0196,17.02,500,2020-06-01 09:19:00,2020-06-01,SMPL
17.03,17.03,17.03,17.03,3785,2020-06-01 09:22:00,2020-06-01,SMPL
17.04,17.19,17.04,17.16,9406,2020-06-01 09:30:00,2020-06-01,SMPL
17.1,17.1,17.1,17.1,100,2020-06-01 09:31:00,2020-06-01,SMPL
17.14,17.14,17.12,17.12,200,2020-06-01 09:32:00,2020-06-01,SMPL
17.1,17.23,17.1,17.21,2263,2020-06-01 09:33:00,2020-06-01,SMPL
17.165,17.35,17.165,17.35,2849,2020-06-01 09:34:00,2020-06-01,SMPL
17.33,17.42,17.32,17.4,4839,2020-06-01 09:35:00,2020-06-01,SMPL
17.4,17.43,17.36,17.36,2722,2020-06-01 09:36:00,2020-06-01,SMPL
17.38,17.38,17.27,17.27,2528,2020-06-01 09:37:00,2020-06-01,SMPL
17.29,17.31,17.24,17.27,1990,2020-06-01 09:38:00,2020-06-01,SMPL
17.27,17.29,17.27,17.29,200,2020-06-01 09:39:00,2020-06-01,SMPL
17.3,17.37,17.3,17.3676,3800,2020-06-01 09:40:00,2020-06-01,SMPL
17.36,17.52,17.36,17.52,4683,2020-06-01 09:41:00,2020-06-01,SMPL
17.505,17.58,17.505,17.58,1567,2020-06-01 09:42:00,2020-06-01,SMPL
17.54,17.54,17.54,17.54,400,2020-06-01 09:43:00,2020-06-01,SMPL
17.54,17.54,17.41,17.41,2392,2020-06-01 09:44:00,2020-06-01,SMPL
17.37,17.38,17.31,17.35,6100,2020-06-01 09:45:00,2020-06-01,SMPL
17.3,17.4,17.3,17.31,1564,2020-06-01 09:46:00,2020-06-01,SMPL
17.32,17.4297,17.32,17.385,2600,2020-06-01 09:47:00,2020-06-01,SMPL
17.385,17.385,17.32,17.35,1600,2020-06-01 09:48:00,2020-06-01,SMPL
17.315,17.37,17.315,17.37,2100,2020-06-01 09:49:00,2020-06-01,SMPL
17.31,17.31,17.24,17.27,2702,2020-06-01 09:50:00,2020-06-01,SMPL
17.235,17.24,17.18,17.21,700,2020-06-01 09:51:00,2020-06-01,SMPL
17.18,17.18,17.09,17.135,900,2020-06-01 09:52:00,2020-06-01,SMPL
17.1,17.14,17.05,17.06,600,2020-06-01 09:53:00,2020-06-01,SMPL
17.07,17.0916,17.0105,17.09,780,2020-06-01 09:54:00,2020-06-01,SMPL
17.05,17.06,17.05,17.06,700,2020-06-01 09:55:00,2020-06-01,SMPL
17.06,17.0883,17.02,17.02,800,2020-06-01 09:56:00,2020-06-01,SMPL
17.02,17.055,17.01,17.025,700,2020-06-01 09:57:00,2020-06-01,SMPL
17.0,17.09,16.96,17.0487,11324,2020-06-01 09:58:00,2020-06-01,SMPL
17.015,17.015,17.015,17.015,200,2020-06-01 09:59:00,2020-06-01,SMPL
17.04,17.05,16.97,16.97,1000,2020-06-01 10:00:00,2020-06-01,SMPL
17.03,17.03,16.98,17.01,2022,2020-06-01 10:01:00,2020-06-01,SMPL
17.01,17.01,16.9701,16.9701,1617,2020-06-01 10:02:00,2020-06-01,SMPL
16.96,17.0,16.96,17.0,901,2020-06-01 10:03:00,2020-06-01,SMPL
16.99,17.04,16.97,17.04,6402,2020-06-01 10:04:00,2020-06-01,SMPL
17.04,17.04,17.035,17.035,1400,2020-06-01 10:05:00,2020-06-01,SMPL
17.02,17.07,17.02,17.048,5687,2020-06-01 10:06:00,2020-06-01,SMPL
17.035,17.04,17.02,17.04,9881,2020-06-01 10:07:00,2020-06-01,SMPL
17.05,17.07,16.995,17.025,15052,2020-06-01 10:08:00,2020-06-01,SMPL
17.025,17.03,17.02,17.0257,1543,2020-06-01 10:09:00,2020-06-01,SMPL
17.04,17.085,17.04,17.085,2400,2020-06-01 10:10:00,2020-06-01,SMPL
17.08,17.14,17.08,17.13,4181,2020-06-01 10:11:00,2020-06-01,SMPL
17.11,17.13,17.11,17.13,458,2020-06-01 10:12:00,2020-06-01,SMPL
17.08,17.08,17.06,17.065,1000,2020-06-01 10:13:00,2020-06-01,SMPL
17.06,17.08,17.06,17.08,1100,2020-06-01 10:14:00,2020-06-01,SMPL
17.08,17.08,17.06,17.06,400,2020-06-01 10:15:00,2020-06-01,SMPL
17.06,17.06,17.06,17.06,100,2020-06-01 10:16:00,2020-06-01,SMPL
17.08,17.085,17.06,17.0684,2000,2020-06-01 10:17:00,2020-06-01,SMPL
17.06,17.06,17.012,17.0206,1100,2020-06-01 10:18:00,2020-06-01,SMPL
17.03,17.05,17.03,17.05,800,2020-06-01 10:19:00,2020-06-01,SMPL
17.06,17.065,17.06,17.065,300,2020-06-01 10:20:00,2020-06-01,SMPL
17.06,17.06,17.02,17.02,300,2020-06-01 10:21:00,2020-06-01,SMPL
17.02,17.0201,17.0072,17.015,950,2020-06-01 10:22:00,2020-06-01,SMPL
17.0,17.05,17.0,17.05,846,2020-06-01 10:23:00,2020-06-01,SMPL
17.06,17.06,17.06,17.06,400,2020-06-01 10:24:00,2020-06-01,SMPL
17.06,17.06,17.02,17.02,370,2020-06-01 10:25:00,2020-06-01,SMPL
17.03,17.035,17.01,17.02,600,2020-06-01 10:26:00,2020-06-01,SMPL
