open,high,low,close,volume,datetime,date,ticker
18.0,20.0,18.0,20.0,10791,2020-06-01 04:00:00,2020-06-01,SPCE
19.5,20.0,19.5,19.76,14559,2020-06-01 04:01:00,2020-06-01,SPCE
19.89,19.99,19.8,19.8,7269,2020-06-01 04:02:00,2020-06-01,SPCE
19.9,19.9,19.55,19.55,5638,2020-06-01 04:03:00,2020-06-01,SPCE
19.63,19.63,19.25,19.25,4900,2020-06-01 04:04:00,2020-06-01,SPCE
19.4,19.4,19.0,19.25,1362,2020-06-01 04:05:00,2020-06-01,SPCE
19.47,19.58,19.47,19.58,2238,2020-06-01 04:06:00,2020-06-01,SPCE
19.6,19.79,19.6,19.79,1134,2020-06-01 04:07:00,2020-06-01,SPCE
19.6,19.77,19.6,19.6,3945,2020-06-01 04:08:00,2020-06-01,SPCE
19.6,19.68,19.5,19.5,3480,2020-06-01 04:09:00,2020-06-01,SPCE
19.5,19.5,19.5,19.5,1525,2020-06-01 04:10:00,2020-06-01,SPCE
19.35,19.35,19.15,19.15,1902,2020-06-01 04:11:00,2020-06-01,SPCE
19.12,19.2,19.02,19.2,2185,2020-06-01 04:12:00,2020-06-01,SPCE
19.2,19.2,19.2,19.2,860,2020-06-01 04:13:00,2020-06-01,SPCE
19.22,19.23,19.22,19.23,601,2020-06-01 04:14:00,2020-06-01,SPCE
19.23,19.23,19.23,19.23,1200,2020-06-01 04:15:00,2020-06-01,SPCE
19.15,19.16,19.1,19.16,4216,2020-06-01 04:16:00,2020-06-01,SPCE
19.15,19.16,19.15,19.16,1200,2020-06-01 04:17:00,2020-06-01,SPCE
19.15,19.23,19.15,19.23,1791,2020-06-01 04:18:00,2020-06-01,SPCE
19.24,19.24,19.16,19.16,1241,2020-06-01 04:19:00,2020-06-01,SPCE
19.15,19.15,19.15,19.15,100,2020-06-01 04:20:00,2020-06-01,SPCE
19.12,19.12,18.9,18.95,5878,2020-06-01 04:21:00,2020-06-01,SPCE
18.9,18.9,18.89,18.9,1915,2020-06-01 04:22:00,2020-06-01,SPCE
18.98,19.08,18.98,19.0,5176,2020-06-01 04:23:00,2020-06-01,SPCE
18.96,18.96,18.9,18.9,600,2020-06-01 04:24:00,2020-06-01,SPCE
18.88,18.88,18.88,18.88,100,2020-06-01 04:25:00,2020-06-01,SPCE
18.87,18.87,18.8,18.8,832,2020-06-01 04:26:00,2020-06-01,SPCE
18.8,18.88,18.75,18.88,5632,2020-06-01 04:27:00,2020-06-01,SPCE
18.88,18.94,18.8,18.94,10557,2020-06-01 04:28:00,2020-06-01,SPCE
19.03,19.03,19.03,19.03,500,2020-06-01 04:29:00,2020-06-01,SPCE
19.02,19.02,19.02,19.02,263,2020-06-01 04:30:00,2020-06-01,SPCE
19.13,19.22,19.13,19.22,1890,2020-06-01 04:31:00,2020-06-01,SPCE
19.21,19.22,19.1,19.2,1947,2020-06-01 04:32:00,2020-06-01,SPCE
19.15,19.15,19.15,19.15,100,2020-06-01 04:35:00,2020-06-01,SPCE
19.09,19.09,19.09,19.09,500,2020-06-01 04:37:00,2020-06-01,SPCE
19.02,19.02,18.97,18.97,1169,2020-06-01 04:38:00,2020-06-01,SPCE
18.92,18.92,18.81,18.91,2348,2020-06-01 04:40:00,2020-06-01,SPCE
18.91,18.91,18.91,18.91,200,2020-06-01 04:41:00,2020-06-01,SPCE
18.8,18.8,18.8,18.8,200,2020-06-01 04:42:00,2020-06-01,SPCE
18.75,18.75,18.7,18.7,350,2020-06-01 04:43:00,2020-06-01,SPCE
18.67,18.67,18.62,18.62,990,2020-06-01 04:44:00,2020-06-01,SPCE
18.66,18.66,18.65,18.65,996,2020-06-01 04:45:00,2020-06-01,SPCE
18.7,18.79,18.7,18.79,500,2020-06-01 04:46:00,2020-06-01,SPCE
18.78,18.79,18.75,18.79,2049,2020-06-01 04:47:00,2020-06-01,SPCE
18.94,18.97,18.9,18.97,1000,2020-06-01 04:48:00,2020-06-01,SPCE
18.94,18.96,18.94,18.96,1000,2020-06-01 04:49:00,2020-06-01,SPCE
18.94,18.94,18.94,18.94,700,2020-06-01 04:50:00,2020-06-01,SPCE
18.94,18.95,18.88,18.88,818,2020-06-01 04:51:00,2020-06-01,SPCE
18.87,18.87,18.87,18.87,400,2020-06-01 04:52:00,2020-06-01,SPCE
18.87,18.87,18.87,18.87,136,2020-06-01 04:53:00,2020-06-01,SPCE
18.87,18.88,18.87,18.88,901,2020-06-01 04:55:00,2020-06-01,SPCE
18.88,18.88,18.88,18.88,260,2020-06-01 04:56:00,2020-06-01,SPCE
18.81,18.81,18.8,18.81,1768,2020-06-01 04:57:00,2020-06-01,SPCE
18.8,18.8,18.8,18.8,100,2020-06-01 04:58:00,2020-06-01,SPCE
18.8,18.8,18.8,18.8,100,2020-06-01 05:00:00,2020-06-01,SPCE
18.95,18.95,18.95,18.95,367,2020-06-01 05:02:00,2020-06-01,SPCE
18.89,18.89,18.89,18.89,197,2020-06-01 05:04:00,2020-06-01,SPCE
18.93,18.93,18.93,18.93,818,2020-06-01 05:06:00,2020-06-01,SPCE
18.93,18.93,18.93,18.93,194,2020-06-01 05:12:00,2020-06-01,SPCE
18.93,18.93,18.91,18.91,300,2020-06-01 05:13:00,2020-06-01,SPCE
18.92,18.92,18.92,18.92,236,2020-06-01 05:14:00,2020-06-01,SPCE
18.9,18.9,18.9,18.9,1633,2020-06-01 05:20:00,2020-06-01,SPCE
18.8,18.8,18.8,18.8,999,2020-06-01 05:23:00,2020-06-01,SPCE
18.71,18.71,18.71,18.71,1611,2020-06-01 05:25:00,2020-06-01,SPCE
