open,high,low,close,volume,datetime,date,ticker
0.35,0.35,0.35,0.35,300,2020-06-04 09:30:00,2020-06-04,THCAW
0.32,0.32,0.32,0.32,300,2020-06-04 14:46:00,2020-06-04,THCAW
0.3,0.3001,0.3,0.3001,5000,2020-06-05 09:43:00,2020-06-05,THCAW
0.33,0.33,0.33,0.33,1300,2020-06-05 13:43:00,2020-06-05,THCAW
0.377802,0.377802,0.377802,0.377802,515,2020-06-08 15:05:00,2020-06-08,THCAW
0.38,0.38,0.38,0.38,101,2020-06-08 15:07:00,2020-06-08,THCAW
0.38,0.38,0.38,0.38,500,2020-06-09 13:56:00,2020-06-09,THCAW
0.38,0.38,0.38,0.38,900,2020-06-09 14:05:00,2020-06-09,THCAW
0.389899,0.39,0.389851,0.389851,2300,2020-06-10 10:15:00,2020-06-10,THCAW
0.39,0.39,0.389851,0.389851,200,2020-06-10 10:28:00,2020-06-10,THCAW
0.39,0.39,0.388501,0.388501,2000,2020-06-10 10:54:00,2020-06-10,THCAW
0.3801,0.3801,0.38,0.38,4000,2020-06-10 10:57:00,2020-06-10,THCAW
0.4,0.4,0.4,0.4,500,2020-06-10 11:52:00,2020-06-10,THCAW
0.4,0.4,0.4,0.4,500,2020-06-10 12:24:00,2020-06-10,THCAW
0.4,0.4,0.4,0.4,500,2020-06-10 12:40:00,2020-06-10,THCAW
0.41,0.44,0.41,0.44,200,2020-06-11 10:37:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,300,2020-06-11 11:07:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,300,2020-06-11 11:39:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,300,2020-06-11 12:12:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,300,2020-06-11 12:44:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,300,2020-06-11 13:17:00,2020-06-11,THCAW
0.4,0.4,0.33625,0.33625,3000,2020-06-11 13:49:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,200,2020-06-11 13:50:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,200,2020-06-11 14:11:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,200,2020-06-11 14:35:00,2020-06-11,THCAW
0.4,0.4,0.4,0.4,7200,2020-06-12 09:35:00,2020-06-12,THCAW
0.4,0.4,0.4,0.4,7300,2020-06-12 09:37:00,2020-06-12,THCAW
0.4,0.4,0.399999,0.4,12000,2020-06-12 09:49:00,2020-06-12,THCAW
0.375001,0.375001,0.375001,0.375001,500,2020-06-12 11:24:00,2020-06-12,THCAW
0.4,0.4,0.4,0.4,15300,2020-06-12 16:27:00,2020-06-12,THCAW
0.38,0.38,0.38,0.38,600,2020-06-15 11:16:00,2020-06-15,THCAW
0.39,0.39,0.3899,0.3899,14000,2020-06-17 13:35:00,2020-06-17,THCAW
0.4,0.4,0.3999,0.3999,1000,2020-06-17 13:37:00,2020-06-17,THCAW
0.55,0.55,0.55,0.55,900,2020-06-17 14:06:00,2020-06-17,THCAW
0.42,0.42,0.42,0.42,900,2020-06-17 14:08:00,2020-06-17,THCAW
0.3429,0.3446,0.3429,0.3446,1000,2020-06-17 14:59:00,2020-06-17,THCAW
0.4,0.4,0.4,0.4,2000,2020-06-18 12:50:00,2020-06-18,THCAW
0.45,0.45,0.45,0.45,497,2020-06-19 11:18:00,2020-06-19,THCAW
0.5,0.5,0.5,0.5,1000,2020-06-19 12:56:00,2020-06-19,THCAW
0.54,0.54,0.54,0.54,2000,2020-06-19 14:19:00,2020-06-19,THCAW
0.54,0.55,0.54,0.55,10000,2020-06-19 14:34:00,2020-06-19,THCAW
0.55,0.55,0.5475,0.5475,1000,2020-06-19 15:35:00,2020-06-19,THCAW
0.55,0.55,0.55,0.55,500,2020-06-22 09:39:00,2020-06-22,THCAW
0.55,0.55,0.55,0.55,100,2020-06-22 10:18:00,2020-06-22,THCAW
0.55,0.55,0.55,0.55,200,2020-06-22 11:24:00,2020-06-22,THCAW
0.55,0.55,0.5477,0.5477,1000,2020-06-22 11:52:00,2020-06-22,THCAW
0.5001,0.5001,0.5,0.5,1690,2020-06-25 10:44:00,2020-06-25,THCAW
0.3407,0.3407,0.3407,0.3407,499,2020-06-25 10:45:00,2020-06-25,THCAW
0.35,0.35,0.3307,0.3308,26516,2020-06-25 10:57:00,2020-06-25,THCAW
0.3308,0.3308,0.3308,0.3308,300,2020-06-25 11:18:00,2020-06-25,THCAW
0.3,0.3,0.3,0.3,2500,2020-06-25 12:20:00,2020-06-25,THCAW
0.4486,0.4499,0.4486,0.4486,300,2020-06-25 12:30:00,2020-06-25,THCAW
0.3501,0.3501,0.3501,0.3501,2200,2020-06-25 12:56:00,2020-06-25,THCAW
0.39,0.39,0.39,0.39,300,2020-06-25 13:06:00,2020-06-25,THCAW
0.37,0.37,0.37,0.37,1700,2020-06-25 13:16:00,2020-06-25,THCAW
0.38,0.38,0.38,0.38,1000,2020-06-25 13:26:00,2020-06-25,THCAW
0.38,0.380135,0.38,0.380135,2500,2020-06-25 13:29:00,2020-06-25,THCAW
0.38,0.38,0.38,0.38,1000,2020-06-25 13:35:00,2020-06-25,THCAW
0.39,0.3999,0.39,0.3999,1503,2020-06-25 14:11:00,2020-06-25,THCAW
0.3999,0.4,0.3999,0.4,11000,2020-06-25 14:13:00,2020-06-25,THCAW
0.4,0.4,0.4,0.4,5200,2020-06-25 14:15:00,2020-06-25,THCAW
0.4,0.4,0.4,0.4,4315,2020-06-25 14:26:00,2020-06-25,THCAW
0.45,0.45,0.45,0.45,200,2020-06-25 14:30:00,2020-06-25,THCAW
0.45,0.45,0.45,0.45,100,2020-06-25 14:43:00,2020-06-25,THCAW
0.38,0.38,0.38,0.38,100,2020-06-25 15:38:00,2020-06-25,THCAW
0.38,0.38,0.38,0.38,900,2020-06-25 15:48:00,2020-06-25,THCAW
0.44,0.44,0.44,0.44,100,2020-06-26 13:39:00,2020-06-26,THCAW
0.44,0.44,0.44,0.44,100,2020-06-26 14:19:00,2020-06-26,THCAW
0.455,0.4572,0.455,0.4572,2000,2020-06-29 14:35:00,2020-06-29,THCAW
0.5239,0.5239,0.48,0.480001,6900,2020-06-30 11:34:00,2020-06-30,THCAW
0.539999,0.539999,0.539999,0.539999,350,2020-06-30 11:48:00,2020-06-30,THCAW
0.5696,0.5696,0.55,0.557501,500,2020-06-30 13:43:00,2020-06-30,THCAW
0.55,0.55,0.55,0.55,1000,2020-06-30 13:44:00,2020-06-30,THCAW
0.55,0.55,0.55,0.55,500,2020-06-30 15:12:00,2020-06-30,THCAW
0.55,0.55,0.55,0.55,100,2020-06-30 15:51:00,2020-06-30,THCAW
0.54,0.54,0.54,0.54,100,2020-06-30 15:59:00,2020-06-30,THCAW
0.5,0.5,0.5,0.5,1500,2020-07-01 10:25:00,2020-07-01,THCAW
0.499999,0.499999,0.499999,0.499999,500,2020-07-01 11:15:00,2020-07-01,THCAW
