open,high,low,close,volume,datetime,date,ticker
10.08,10.08,10.08,10.08,20025,2020-06-01 15:43:00,2020-06-01,THCB
10.09,10.09,10.09,10.09,15400,2020-06-01 15:52:00,2020-06-01,THCB
10.09,10.09,10.09,10.09,100,2020-06-01 15:54:00,2020-06-01,THCB
10.09,10.09,10.09,10.09,3300,2020-06-01 15:57:00,2020-06-01,THCB
10.09,10.105,10.09,10.105,1200,2020-06-01 15:58:00,2020-06-01,THCB
10.06,10.06,10.06,10.06,125,2020-06-02 09:30:00,2020-06-02,THCB
10.09,10.09,10.08,10.08,2900,2020-06-02 15:16:00,2020-06-02,THCB
10.08,10.08,10.08,10.08,100,2020-06-02 15:22:00,2020-06-02,THCB
10.085,10.085,10.08,10.08,275,2020-06-02 15:57:00,2020-06-02,THCB
10.1,10.1,10.1,10.1,100,2020-06-03 13:32:00,2020-06-03,THCB
10.09,10.09,10.09,10.09,230,2020-06-04 12:31:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,400372,2020-06-04 12:59:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,250000,2020-06-04 13:08:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,24983,2020-06-04 13:09:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,483,2020-06-04 13:25:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,224517,2020-06-04 14:33:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,100,2020-06-04 14:46:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,783,2020-06-04 14:48:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,500,2020-06-04 14:49:00,2020-06-04,THCB
10.1,10.11,10.1,10.1,800,2020-06-04 14:50:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,1100,2020-06-04 14:51:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,300,2020-06-04 14:52:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,600,2020-06-04 14:53:00,2020-06-04,THCB
10.11,10.11,10.1,10.1,900,2020-06-04 14:54:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,500,2020-06-04 14:55:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,700,2020-06-04 14:56:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,600,2020-06-04 14:57:00,2020-06-04,THCB
10.1,10.11,10.1,10.1,700,2020-06-04 14:58:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,600,2020-06-04 14:59:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,900,2020-06-04 15:00:00,2020-06-04,THCB
10.11,10.11,10.1,10.1,600,2020-06-04 15:01:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,700,2020-06-04 15:02:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,600,2020-06-04 15:03:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,700,2020-06-04 15:04:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,800,2020-06-04 15:05:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,500,2020-06-04 15:06:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,700,2020-06-04 15:07:00,2020-06-04,THCB
10.1,10.11,10.1,10.1,700,2020-06-04 15:08:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,500,2020-06-04 15:09:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,900,2020-06-04 15:10:00,2020-06-04,THCB
10.1,10.1,10.1,10.1,700,2020-06-04 15:11:00,2020-06-04,THCB
