open,high,low,close,volume,datetime,date,ticker
12.8799,12.8799,12.8799,12.8799,400,2020-06-01 08:37:00,2020-06-01,VVNT
11.65,11.65,11.65,11.65,410,2020-06-01 08:59:00,2020-06-01,VVNT
11.7,11.7,11.7,11.7,100,2020-06-01 09:27:00,2020-06-01,VVNT
11.54,11.7,11.54,11.65,1988,2020-06-01 09:30:00,2020-06-01,VVNT
11.56,11.56,11.56,11.56,100,2020-06-01 09:33:00,2020-06-01,VVNT
11.5339,11.5339,11.5339,11.5339,200,2020-06-01 09:34:00,2020-06-01,VVNT
11.57,11.57,11.57,11.57,200,2020-06-01 09:40:00,2020-06-01,VVNT
11.56,11.56,11.56,11.56,1202,2020-06-01 09:41:00,2020-06-01,VVNT
11.56,11.675,11.56,11.675,500,2020-06-01 09:42:00,2020-06-01,VVNT
11.58,11.58,11.5306,11.57,306,2020-06-01 09:43:00,2020-06-01,VVNT
11.57,11.59,11.52,11.52,700,2020-06-01 09:44:00,2020-06-01,VVNT
11.5614,11.5614,11.5614,11.5614,1000,2020-06-01 09:46:00,2020-06-01,VVNT
11.6,11.6,11.51,11.565,900,2020-06-01 09:47:00,2020-06-01,VVNT
11.625,11.625,11.6,11.6,200,2020-06-01 09:48:00,2020-06-01,VVNT
11.57,11.57,11.57,11.57,100,2020-06-01 09:49:00,2020-06-01,VVNT
11.59,11.615,11.59,11.61,800,2020-06-01 09:53:00,2020-06-01,VVNT
11.605,11.605,11.605,11.605,300,2020-06-01 09:54:00,2020-06-01,VVNT
11.58,11.58,11.58,11.58,200,2020-06-01 09:55:00,2020-06-01,VVNT
11.6,11.6,11.6,11.6,100,2020-06-01 09:56:00,2020-06-01,VVNT
11.665,11.665,11.635,11.635,500,2020-06-01 09:57:00,2020-06-01,VVNT
11.6,11.6,11.59,11.6,1553,2020-06-01 09:58:00,2020-06-01,VVNT
11.575,11.575,11.575,11.575,130,2020-06-01 09:59:00,2020-06-01,VVNT
11.575,11.65,11.575,11.65,500,2020-06-01 10:00:00,2020-06-01,VVNT
