open,high,low,close,volume,datetime,date,ticker
0.89,0.89,0.89,0.89,1000,2020-06-01 09:30:00,2020-06-01,XYNO
1.2,1.2,1.2,1.2,200,2020-06-01 15:24:00,2020-06-01,XYNO
0.66,0.66,0.66,0.66,934,2020-06-01 15:46:00,2020-06-01,XYNO
0.51,0.51,0.51,0.51,400,2020-06-03 09:41:00,2020-06-03,XYNO
0.61,0.61,0.61,0.61,1000,2020-06-03 10:21:00,2020-06-03,XYNO
0.61,0.61,0.61,0.61,350,2020-06-03 11:39:00,2020-06-03,XYNO
0.55,0.55,0.55,0.55,500,2020-06-03 15:57:00,2020-06-03,XYNO
0.51,0.51,0.51,0.51,1000,2020-06-04 10:57:00,2020-06-04,XYNO
0.52,0.52,0.52,0.52,500,2020-06-05 14:50:00,2020-06-05,XYNO
0.6,0.6,0.6,0.6,1000,2020-06-11 12:55:00,2020-06-11,XYNO
0.54,0.54,0.54,0.54,500,2020-06-11 15:40:00,2020-06-11,XYNO
0.53,0.53,0.53,0.53,500,2020-06-15 09:30:00,2020-06-15,XYNO
0.53,0.53,0.53,0.53,100,2020-06-15 09:43:00,2020-06-15,XYNO
0.48,0.48,0.48,0.48,700,2020-06-18 10:06:00,2020-06-18,XYNO
0.53,0.53,0.53,0.53,300,2020-06-18 15:37:00,2020-06-18,XYNO
0.53,0.53,0.53,0.53,1000,2020-06-22 10:19:00,2020-06-22,XYNO
0.6,0.6,0.6,0.6,1000,2020-06-22 10:34:00,2020-06-22,XYNO
0.6,0.6,0.6,0.6,500,2020-06-22 10:41:00,2020-06-22,XYNO
0.52,0.52,0.52,0.52,100,2020-06-22 13:37:00,2020-06-22,XYNO
0.53,0.53,0.53,0.53,500,2020-06-22 14:00:00,2020-06-22,XYNO
0.212,0.212,0.212,0.212,100,2020-06-24 15:21:00,2020-06-24,XYNO
0.78,0.78,0.78,0.78,100,2020-06-29 13:11:00,2020-06-29,XYNO
0.78,0.78,0.78,0.78,100,2020-06-29 14:42:00,2020-06-29,XYNO
0.25,0.25,0.25,0.25,100,2020-07-06 14:35:00,2020-07-06,XYNO
0.2001,0.2001,0.2001,0.2001,500,2020-07-30 13:53:00,2020-07-30,XYNO
0.2001,0.2001,0.2001,0.2001,300,2020-08-20 09:46:00,2020-08-20,XYNO
