open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
13.75,14.0,12.09,12.88,1030118,2019-07-12 01:00:00.000000,2019-07-12,RPAY,12.42,11.93,11.74,11.55,-0.1,-0.13,-0.15,-0.16
12.49,12.6,12.25,12.42,418941,2019-07-15 01:00:00.000000,2019-07-15,RPAY,12.0,11.85,11.54,11.69,-0.04,-0.05,-0.08,-0.06
12.5,12.75,11.8,12.0,894934,2019-07-16 01:00:00.000000,2019-07-16,RPAY,11.93,11.74,11.55,11.7,-0.05,-0.06,-0.08,-0.06
11.31,12.1,11.21,11.93,517356,2019-07-17 01:00:00.000000,2019-07-17,RPAY,11.85,11.54,11.69,11.9,0.05,0.02,0.03,0.05
11.81,11.98,11.32,11.85,783400,2019-07-18 01:00:00.000000,2019-07-18,RPAY,11.74,11.55,11.7,11.61,-0.01,-0.02,-0.01,-0.02
11.79,11.96,11.66,11.74,115371,2019-07-19 01:00:00.000000,2019-07-19,RPAY,11.54,11.69,11.9,11.59,-0.02,-0.01,0.01,-0.02
11.67,11.76,11.4,11.54,107358,2019-07-22 01:00:00.000000,2019-07-22,RPAY,11.55,11.7,11.61,11.62,-0.01,0.0,-0.01,-0.0
11.66,11.66,11.43,11.55,187197,2019-07-23 01:00:00.000000,2019-07-23,RPAY,11.69,11.9,11.59,11.67,0.0,0.02,-0.01,0.0
11.5,11.8,11.44,11.69,448972,2019-07-24 01:00:00.000000,2019-07-24,RPAY,11.7,11.61,11.62,11.8,0.02,0.01,0.01,0.03
11.76,11.8,11.59,11.7,462603,2019-07-25 01:00:00.000000,2019-07-25,RPAY,11.9,11.59,11.67,11.51,0.01,-0.01,-0.01,-0.02
11.61,12.04,11.53,11.9,462634,2019-07-26 01:00:00.000000,2019-07-26,RPAY,11.61,11.62,11.8,11.53,0.0,0.0,0.02,-0.01
11.85,11.85,11.48,11.61,102540,2019-07-29 01:00:00.000000,2019-07-29,RPAY,11.59,11.67,11.51,11.45,-0.02,-0.02,-0.03,-0.03
11.55,11.66,11.51,11.59,96316,2019-07-30 01:00:00.000000,2019-07-30,RPAY,11.62,11.8,11.53,11.62,0.01,0.02,-0.0,0.01
11.61,11.74,11.45,11.62,280797,2019-07-31 01:00:00.000000,2019-07-31,RPAY,11.67,11.51,11.45,11.53,0.01,-0.01,-0.01,-0.01
11.61,11.85,11.51,11.67,524821,2019-08-01 01:00:00.000000,2019-08-01,RPAY,11.8,11.53,11.62,11.29,0.02,-0.01,0.0,-0.03
11.2,12.5,11.2,11.8,275110,2019-08-02 01:00:00.000000,2019-08-02,RPAY,11.51,11.45,11.53,11.74,0.03,0.02,0.03,0.05
11.68,11.9,11.0,11.51,241767,2019-08-05 01:00:00.000000,2019-08-05,RPAY,11.53,11.62,11.29,11.77,-0.01,-0.01,-0.03,0.01
11.45,11.6,11.35,11.53,132982,2019-08-06 01:00:00.000000,2019-08-06,RPAY,11.45,11.53,11.74,11.72,0.0,0.01,0.03,0.02
11.35,11.53,11.25,11.45,70777,2019-08-07 01:00:00.000000,2019-08-07,RPAY,11.62,11.29,11.77,11.86,0.02,-0.01,0.04,0.04
11.49,11.87,11.4,11.62,173663,2019-08-08 01:00:00.000000,2019-08-08,RPAY,11.53,11.74,11.72,11.84,0.0,0.02,0.02,0.03
