open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.75,11.3,10.74,10.95,170519,2019-11-21 01:00:00.000000,2019-11-21,ACEL,10.7,10.45,10.55,10.95,-0.0,-0.03,-0.02,0.02
10.95,11.0,10.65,10.7,243282,2019-11-22 01:00:00.000000,2019-11-22,ACEL,10.35,10.55,10.73,10.83,-0.05,-0.04,-0.02,-0.01
10.79,10.79,10.31,10.35,305348,2019-11-25 01:00:00.000000,2019-11-25,ACEL,10.45,10.55,10.95,11.05,-0.03,-0.02,0.01,0.02
10.7,10.7,10.3,10.45,164076,2019-11-26 01:00:00.000000,2019-11-26,ACEL,10.55,10.73,10.83,11.13,-0.01,0.0,0.01,0.04
10.55,10.62,10.5,10.55,100135,2019-11-27 01:00:00.000000,2019-11-27,ACEL,10.55,10.95,11.05,11.39,0.0,0.04,0.05,0.08
10.55,10.57,10.54,10.55,20124,2019-11-29 01:00:00.000000,2019-11-29,ACEL,10.73,10.83,11.13,11.69,0.02,0.03,0.05,0.11
10.43,10.75,10.4,10.73,223716,2019-12-02 01:00:00.000000,2019-12-02,ACEL,10.95,11.05,11.39,11.75,0.05,0.06,0.09,0.13
10.75,11.04,10.6,10.95,396452,2019-12-03 01:00:00.000000,2019-12-03,ACEL,10.83,11.13,11.69,12.0,0.01,0.04,0.09,0.12
10.92,10.94,10.6,10.83,194454,2019-12-04 01:00:00.000000,2019-12-04,ACEL,11.05,11.39,11.75,11.92,0.01,0.04,0.08,0.09
10.67,11.15,10.67,11.05,221151,2019-12-05 01:00:00.000000,2019-12-05,ACEL,11.13,11.69,12.0,12.27,0.04,0.1,0.12,0.15
10.98,11.15,10.88,11.13,108112,2019-12-06 01:00:00.000000,2019-12-06,ACEL,11.39,11.75,11.92,12.4,0.04,0.07,0.09,0.13
11.15,11.73,11.14,11.39,609952,2019-12-09 01:00:00.000000,2019-12-09,ACEL,11.69,12.0,12.27,12.45,0.05,0.08,0.1,0.12
11.35,11.78,11.32,11.69,323518,2019-12-10 01:00:00.000000,2019-12-10,ACEL,11.75,11.92,12.4,12.55,0.04,0.05,0.09,0.11
11.74,11.89,11.56,11.75,299626,2019-12-11 01:00:00.000000,2019-12-11,ACEL,12.0,12.27,12.45,12.6,0.02,0.05,0.06,0.07
11.66,12.0,11.57,12.0,300022,2019-12-12 01:00:00.000000,2019-12-12,ACEL,11.92,12.4,12.55,12.2,0.02,0.06,0.08,0.05
11.93,12.2,11.79,11.92,294027,2019-12-13 01:00:00.000000,2019-12-13,ACEL,12.27,12.45,12.6,12.01,0.03,0.04,0.06,0.01
12.52,12.62,12.06,12.27,944467,2019-12-16 01:00:00.000000,2019-12-16,ACEL,12.4,12.55,12.2,12.13,-0.01,0.0,-0.03,-0.03
12.25,12.67,12.05,12.4,932255,2019-12-17 01:00:00.000000,2019-12-17,ACEL,12.45,12.6,12.01,12.32,0.02,0.03,-0.02,0.01
12.34,12.54,12.22,12.45,707794,2019-12-18 01:00:00.000000,2019-12-18,ACEL,12.55,12.2,12.13,12.46,0.02,-0.01,-0.02,0.01
12.53,12.67,12.3,12.55,777565,2019-12-19 01:00:00.000000,2019-12-19,ACEL,12.6,12.01,12.32,12.5,0.01,-0.04,-0.02,-0.0
12.52,12.66,12.44,12.6,897912,2019-12-20 01:00:00.000000,2019-12-20,ACEL,12.2,12.13,12.46,12.5,-0.03,-0.03,-0.0,-0.0
12.6,12.63,12.15,12.2,212914,2019-12-23 01:00:00.000000,2019-12-23,ACEL,12.01,12.32,12.5,12.57,-0.05,-0.02,-0.01,-0.0
12.32,12.32,11.95,12.01,33573,2019-12-24 01:00:00.000000,2019-12-24,ACEL,12.13,12.46,12.5,12.4,-0.02,0.01,0.01,0.01
11.96,12.29,11.89,12.13,41159,2019-12-26 01:00:00.000000,2019-12-26,ACEL,12.32,12.5,12.57,12.24,0.03,0.05,0.05,0.02
12.06,12.36,12.04,12.32,96598,2019-12-27 01:00:00.000000,2019-12-27,ACEL,12.46,12.5,12.4,12.11,0.03,0.04,0.03,0.0
12.7,12.7,12.34,12.46,79195,2019-12-30 01:00:00.000000,2019-12-30,ACEL,12.5,12.57,12.24,12.02,-0.02,-0.01,-0.04,-0.05
12.41,12.52,12.32,12.5,102312,2019-12-31 01:00:00.000000,2019-12-31,ACEL,12.5,12.4,12.11,12.0,0.01,-0.0,-0.02,-0.03
12.45,12.65,12.33,12.5,62383,2020-01-02 01:00:00.000000,2020-01-02,ACEL,12.57,12.24,12.02,11.92,0.01,-0.02,-0.03,-0.04
12.5,12.64,12.41,12.57,36497,2020-01-03 01:00:00.000000,2020-01-03,ACEL,12.4,12.11,12.0,12.0,-0.01,-0.03,-0.04,-0.04
12.56,12.58,12.34,12.4,127408,2020-01-06 01:00:00.000000,2020-01-06,ACEL,12.24,12.02,11.92,11.97,-0.03,-0.04,-0.05,-0.05
12.47,12.47,12.24,12.24,50670,2020-01-07 01:00:00.000000,2020-01-07,ACEL,12.11,12.0,12.0,12.09,-0.03,-0.04,-0.04,-0.03
12.3,12.3,12.01,12.11,157136,2020-01-08 01:00:00.000000,2020-01-08,ACEL,12.02,11.92,11.97,12.03,-0.02,-0.03,-0.03,-0.02
12.23,12.26,12.02,12.02,63551,2020-01-09 01:00:00.000000,2020-01-09,ACEL,12.0,12.0,12.09,12.06,-0.02,-0.02,-0.01,-0.01
12.02,12.42,11.91,12.0,90373,2020-01-10 01:00:00.000000,2020-01-10,ACEL,11.92,11.97,12.03,12.1,-0.01,-0.0,0.0,0.01
11.95,12.11,11.83,11.92,115912,2020-01-13 01:00:00.000000,2020-01-13,ACEL,12.0,12.09,12.06,12.1,0.0,0.01,0.01,0.01
11.88,12.19,11.88,12.0,66388,2020-01-14 01:00:00.000000,2020-01-14,ACEL,11.97,12.03,12.1,12.0,0.01,0.01,0.02,0.01
11.99,12.24,11.88,11.97,113228,2020-01-15 01:00:00.000000,2020-01-15,ACEL,12.09,12.06,12.1,11.92,0.01,0.01,0.01,-0.01
11.99,12.22,11.99,12.09,40263,2020-01-16 01:00:00.000000,2020-01-16,ACEL,12.03,12.1,12.0,12.1,0.0,0.01,0.0,0.01
12.0,12.2,11.68,12.03,123019,2020-01-17 01:00:00.000000,2020-01-17,ACEL,12.06,12.1,11.92,12.47,0.01,0.01,-0.01,0.04
12.03,12.2,12.0,12.06,61502,2020-01-21 01:00:00.000000,2020-01-21,ACEL,12.1,12.0,12.1,12.5,0.01,-0.0,0.01,0.04
12.15,12.23,12.04,12.1,106868,2020-01-22 01:00:00.000000,2020-01-22,ACEL,12.1,11.92,12.47,12.25,-0.0,-0.02,0.03,0.01
12.01,12.18,11.89,12.1,81396,2020-01-23 01:00:00.000000,2020-01-23,ACEL,12.0,12.1,12.5,12.26,-0.0,0.01,0.04,0.02
12.13,12.19,11.96,12.0,65674,2020-01-24 01:00:00.000000,2020-01-24,ACEL,11.92,12.47,12.25,12.34,-0.02,0.03,0.01,0.02
11.8,12.1,11.75,11.92,73222,2020-01-27 01:00:00.000000,2020-01-27,ACEL,12.1,12.5,12.26,12.59,0.03,0.06,0.04,0.07
12.1,12.25,11.98,12.1,81435,2020-01-28 01:00:00.000000,2020-01-28,ACEL,12.47,12.25,12.34,12.58,0.03,0.01,0.02,0.04
12.25,12.5,12.08,12.47,106014,2020-01-29 01:00:00.000000,2020-01-29,ACEL,12.5,12.26,12.59,12.63,0.02,0.0,0.03,0.03
12.53,12.7,12.41,12.5,167611,2020-01-30 01:00:00.000000,2020-01-30,ACEL,12.25,12.34,12.58,12.68,-0.02,-0.02,0.0,0.01
12.55,12.72,12.21,12.25,84017,2020-01-31 01:00:00.000000,2020-01-31,ACEL,12.26,12.59,12.63,12.65,-0.02,0.0,0.01,0.01
12.16,12.46,12.16,12.26,119591,2020-02-03 01:00:00.000000,2020-02-03,ACEL,12.34,12.58,12.68,13.0,0.01,0.03,0.04,0.07
12.38,12.44,12.18,12.34,166000,2020-02-04 01:00:00.000000,2020-02-04,ACEL,12.59,12.63,12.65,13.0,0.02,0.02,0.02,0.05
12.5,12.86,12.39,12.59,143101,2020-02-05 01:00:00.000000,2020-02-05,ACEL,12.58,12.68,13.0,13.28,0.01,0.01,0.04,0.06
12.65,12.68,12.55,12.58,97791,2020-02-06 01:00:00.000000,2020-02-06,ACEL,12.63,12.65,13.0,13.01,-0.0,0.0,0.03,0.03
12.65,12.71,12.5,12.63,113667,2020-02-07 01:00:00.000000,2020-02-07,ACEL,12.68,13.0,13.28,13.03,0.0,0.03,0.05,0.03
12.57,12.77,12.31,12.68,756595,2020-02-10 01:00:00.000000,2020-02-10,ACEL,12.65,13.0,13.01,13.06,0.01,0.03,0.04,0.04
12.81,12.81,12.5,12.65,172862,2020-02-11 01:00:00.000000,2020-02-11,ACEL,13.0,13.28,13.03,12.99,0.01,0.04,0.02,0.01
12.63,13.2,12.63,13.0,555758,2020-02-12 01:00:00.000000,2020-02-12,ACEL,13.0,13.01,13.06,12.89,0.03,0.03,0.03,0.02
13.07,13.33,12.91,13.0,170019,2020-02-13 01:00:00.000000,2020-02-13,ACEL,13.28,13.03,12.99,12.72,0.02,-0.0,-0.01,-0.03
13.14,13.35,12.98,13.28,244914,2020-02-14 01:00:00.000000,2020-02-14,ACEL,13.01,13.06,12.89,12.49,-0.01,-0.01,-0.02,-0.05
13.28,13.3,12.95,13.01,113476,2020-02-18 01:00:00.000000,2020-02-18,ACEL,13.03,12.99,12.72,12.25,-0.02,-0.02,-0.04,-0.08
13.01,13.18,12.95,13.03,132440,2020-02-19 01:00:00.000000,2020-02-19,ACEL,13.06,12.89,12.49,12.17,0.0,-0.01,-0.04,-0.06
13.12,13.15,13.03,13.06,97020,2020-02-20 01:00:00.000000,2020-02-20,ACEL,12.99,12.72,12.25,11.99,-0.01,-0.03,-0.07,-0.09
13.09,13.1,12.89,12.99,269885,2020-02-21 01:00:00.000000,2020-02-21,ACEL,12.89,12.49,12.17,11.31,-0.02,-0.05,-0.07,-0.14
12.82,13.03,12.57,12.89,159653,2020-02-24 01:00:00.000000,2020-02-24,ACEL,12.72,12.25,11.99,11.32,-0.01,-0.04,-0.06,-0.12
12.91,12.94,12.69,12.72,154578,2020-02-25 01:00:00.000000,2020-02-25,ACEL,12.49,12.17,11.31,10.9,-0.03,-0.06,-0.12,-0.16
12.72,12.74,12.46,12.49,273246,2020-02-26 01:00:00.000000,2020-02-26,ACEL,12.25,11.99,11.32,10.78,-0.04,-0.06,-0.11,-0.15
12.29,12.56,12.09,12.25,374369,2020-02-27 01:00:00.000000,2020-02-27,ACEL,12.17,11.31,10.9,9.87,-0.01,-0.08,-0.11,-0.2
12.0,12.31,11.79,12.17,174689,2020-02-28 01:00:00.000000,2020-02-28,ACEL,11.99,11.32,10.78,10.05,-0.0,-0.06,-0.1,-0.16
12.11,12.34,11.92,11.99,150357,2020-03-02 01:00:00.000000,2020-03-02,ACEL,11.31,10.9,9.87,9.75,-0.07,-0.1,-0.18,-0.19
12.12,12.12,11.26,11.31,141217,2020-03-03 01:00:00.000000,2020-03-03,ACEL,11.32,10.78,10.05,8.6,-0.07,-0.11,-0.17,-0.29
11.54,11.99,11.27,11.32,134174,2020-03-04 01:00:00.000000,2020-03-04,ACEL,10.9,9.87,9.75,8.7,-0.06,-0.14,-0.16,-0.25
11.23,11.24,10.76,10.9,285528,2020-03-05 01:00:00.000000,2020-03-05,ACEL,10.78,10.05,8.6,6.86,-0.04,-0.11,-0.23,-0.39
10.83,11.08,10.73,10.78,216897,2020-03-06 01:00:00.000000,2020-03-06,ACEL,9.87,9.75,8.7,7.72,-0.09,-0.1,-0.2,-0.29
10.35,10.51,9.67,9.87,252136,2020-03-09 01:00:00.000000,2020-03-09,ACEL,10.05,8.6,6.86,6.97,-0.03,-0.17,-0.34,-0.33
10.01,10.23,9.94,10.05,390669,2020-03-10 01:00:00.000000,2020-03-10,ACEL,9.75,8.7,7.72,6.0,-0.03,-0.13,-0.23,-0.4
10.01,10.11,9.5,9.75,248990,2020-03-11 01:00:00.000000,2020-03-11,ACEL,8.6,6.86,6.97,5.6,-0.14,-0.31,-0.3,-0.44
9.57,9.59,8.39,8.6,279088,2020-03-12 01:00:00.000000,2020-03-12,ACEL,8.7,7.72,6.0,5.73,-0.09,-0.19,-0.37,-0.4
8.95,9.11,7.88,8.7,218769,2020-03-13 01:00:00.000000,2020-03-13,ACEL,6.86,6.97,5.6,6.97,-0.23,-0.22,-0.37,-0.22
8.2,8.2,6.79,6.86,176208,2020-03-16 01:00:00.000000,2020-03-16,ACEL,7.72,6.0,5.73,7.88,-0.06,-0.27,-0.3,-0.04
6.66,7.75,6.62,7.72,285019,2020-03-17 01:00:00.000000,2020-03-17,ACEL,6.97,5.6,6.97,7.8,0.05,-0.16,0.05,0.17
7.45,7.65,6.6,6.97,184549,2020-03-18 01:00:00.000000,2020-03-18,ACEL,6.0,5.73,7.88,7.56,-0.19,-0.23,0.06,0.01
7.0,7.0,5.73,6.0,530239,2020-03-19 01:00:00.000000,2020-03-19,ACEL,5.6,6.97,7.8,7.2,-0.2,-0.0,0.11,0.03
6.0,6.37,5.58,5.6,299054,2020-03-20 01:00:00.000000,2020-03-20,ACEL,5.73,7.88,7.56,7.5,-0.04,0.31,0.26,0.25
5.71,5.91,5.22,5.73,167511,2020-03-23 01:00:00.000000,2020-03-23,ACEL,6.97,7.8,7.2,7.42,0.22,0.37,0.26,0.3
6.0,7.64,5.95,6.97,349697,2020-03-24 01:00:00.000000,2020-03-24,ACEL,7.88,7.56,7.5,7.39,0.31,0.26,0.25,0.23
7.1,8.7,6.63,7.88,235810,2020-03-25 01:00:00.000000,2020-03-25,ACEL,7.8,7.2,7.42,7.27,0.1,0.01,0.05,0.02
7.9,8.07,7.37,7.8,372224,2020-03-26 01:00:00.000000,2020-03-26,ACEL,7.56,7.5,7.39,7.51,-0.04,-0.05,-0.06,-0.05
7.57,7.66,7.27,7.56,172981,2020-03-27 01:00:00.000000,2020-03-27,ACEL,7.2,7.42,7.27,7.75,-0.05,-0.02,-0.04,0.02
7.62,7.99,6.87,7.2,147827,2020-03-30 01:00:00.000000,2020-03-30,ACEL,7.5,7.39,7.51,8.3,-0.02,-0.03,-0.01,0.09
7.21,7.67,7.2,7.5,178177,2020-03-31 01:00:00.000000,2020-03-31,ACEL,7.42,7.27,7.75,8.79,0.03,0.01,0.07,0.22
7.35,7.77,7.22,7.42,235810,2020-04-01 01:00:00.000000,2020-04-01,ACEL,7.39,7.51,8.3,8.16,0.01,0.02,0.13,0.11
7.5,7.68,7.23,7.39,90914,2020-04-02 01:00:00.000000,2020-04-02,ACEL,7.27,7.75,8.79,8.46,-0.03,0.03,0.17,0.13
